comp_id,series_key,year,date,race_country,total_runners,total_men,total_women,dnf_count,mean_time_sec,p1_time_sec,p10_time_sec,p25_time_sec,median_time_sec,p75_time_sec,mean_time,p1_time,p10_time,p25_time,median_time,p75_time,m_top1_sec,m_top3_sec,m_top10_sec,m_top25_sec,w_top1_sec,w_top3_sec,w_top10_sec,w_top25_sec,m_top1,m_top3,m_top10,m_top25,w_top1,w_top3,w_top10,w_top25,sub3_count,sub3_pct,sub4_count,sub4_pct,bq_count,bq_pct,m_sub3_count,m_sub3_pct,m_sub4_count,m_sub4_pct,m_bq_count,m_bq_pct,w_sub3_count,w_sub3_pct,w_sub4_count,w_sub4_pct,w_bq_count,w_bq_pct
2552196,valencia_marathon,2019,2019-12-01,ESP,21234,13966,3013,0,13700.57299613827,9117.0,10783.0,12136.0,13602.0,15118.0,03:48:21,02:31:57,02:59:43,03:22:16,03:46:42,04:11:58,7490.0,7852.0,8313.0,8546.0,8332.0,9042.0,9787.0,10607.0,02:04:50,02:10:52,02:18:33,02:22:26,02:18:52,02:30:42,02:43:07,02:56:47,2160,10.17236507487991,13806,65.0183667702741,3033,14.283695959310538,1439,10.303594443648862,9663,69.18946011742804,2530,18.11542317055707,35,1.1616329239960173,1124,37.30501161632924,503,16.694324593428476
11097454,eindhoven_marathon,2021,2021-10-10,NED,1526,1243,283,0,13807.865661861075,9367.75,11018.0,12374.75,13743.0,15167.25,03:50:08,02:36:08,03:03:38,03:26:15,03:49:03,04:12:47,7592.0,7621.0,8989.0,9662.0,10083.0,10964.0,11963.0,12452.0,02:06:32,02:07:01,02:29:49,02:41:02,02:48:03,03:02:44,03:19:23,03:27:32,131,8.584534731323721,983,64.41677588466578,255,16.710353866317167,129,10.378117457763475,845,67.98069187449718,210,16.894609814963797,2,0.7067137809187279,138,48.76325088339223,45,15.901060070671377
30860015,athens_marathon,2025,2025-11-09,GRE,18975,14671,4304,0,17187.727272727272,10734.22,13099.0,14584.5,16744.0,19308.5,04:46:28,02:58:54,03:38:19,04:03:04,04:39:04,05:21:48,8410.0,8632.0,8895.0,9542.0,9568.0,10327.0,10884.0,11503.0,02:20:10,02:23:52,02:28:15,02:39:02,02:39:28,02:52:07,03:01:24,03:11:43,214,1.1277997364953887,4388,23.125164690382082,601,3.167325428194993,207,1.4109467657283075,3853,26.262695112807577,417,2.84234203530775,7,0.16263940520446096,535,12.430297397769516,184,4.275092936802974
33630190,milton_keynes_marathon,2021,2021-06-27,GBR,847,669,177,11,14765.687131050767,9737.4,11009.0,12464.0,14274.0,16570.0,04:06:06,02:42:17,03:03:29,03:27:44,03:57:54,04:36:10,9065.0,9376.0,9759.0,10231.0,10364.0,10736.0,12088.0,12859.0,02:31:05,02:36:16,02:42:39,02:50:31,02:52:44,02:58:56,03:21:28,03:34:19,74,8.736717827626919,438,51.71192443919716,152,17.945690672963398,71,10.612855007473842,382,57.100149476831085,115,17.189835575485798,3,1.694915254237288,55,31.07344632768362,37,20.903954802259886
39275322,chicago_marathon,2021,2021-10-10,USA,26081,14204,11877,0,16948.45788121621,10051.8,12495.0,14305.0,16720.0,19374.0,04:42:28,02:47:32,03:28:15,03:58:25,04:38:40,05:22:54,7572.0,7611.0,8095.0,8669.0,8551.0,8839.0,9200.0,9649.0,02:06:12,02:06:51,02:14:55,02:24:29,02:22:31,02:27:19,02:33:20,02:40:49,711,2.7261224646294235,6812,26.118630420612703,1395,5.348721291361527,623,4.386088425795551,4839,34.06786820613912,735,5.174598704590256,88,0.740927843731582,1973,16.611939041845584,660,5.556958827986866
50309119,eindhoven_marathon,2018,2018-10-14,NED,2083,1699,381,0,14330.407105136823,9244.12,11302.2,12689.5,14270.0,15895.0,03:58:50,02:34:04,03:08:22,03:31:30,03:57:50,04:24:55,7652.0,7669.0,8693.0,9356.0,9022.0,9588.0,10837.0,11623.0,02:07:32,02:07:49,02:24:53,02:35:56,02:30:22,02:39:48,03:00:37,03:13:43,149,7.153144503120499,1105,53.04848775804128,250,12.00192030724916,141,8.298999411418482,976,57.44555620953502,195,11.477339611536198,8,2.099737532808399,128,33.59580052493438,55,14.435695538057743
52477887,melbourne_marathon,2018,2018-10-14,AUS,6417,4582,1835,207,15750.704067321178,10083.0,12356.6,13733.0,15508.0,17497.0,04:22:31,02:48:03,03:25:57,03:48:53,04:18:28,04:51:37,8113.0,8285.0,8983.0,9434.0,8719.0,10449.0,11227.0,11947.0,02:15:13,02:18:05,02:29:43,02:37:14,02:25:19,02:54:09,03:07:07,03:19:07,163,2.540127785569581,2230,34.7514414835593,333,5.189340813464235,158,3.4482758620689653,1880,41.03011785246618,241,5.259711916193802,5,0.2724795640326975,350,19.07356948228883,92,5.013623978201634
76316027,fukuoka_marathon,2022,2022-11-13,JPN,10715,8758,1956,456,18017.214372375176,10434.96,13329.4,15411.5,17994.0,20692.0,05:00:17,02:53:55,03:42:09,04:16:52,04:59:54,05:44:52,8902.0,9023.0,9319.0,9625.0,10283.0,10497.0,11394.0,12274.0,02:28:22,02:30:23,02:35:19,02:40:25,02:51:23,02:54:57,03:09:54,03:24:34,187,1.7452169855342976,1954,18.23611759216052,427,3.9850676621558563,182,2.078100022836264,1796,20.506965060516098,340,3.8821648778259874,5,0.2556237218813906,158,8.077709611451942,87,4.447852760736196
95051731,brighton_marathon,2026,2026-04-12,GBR,14030,9236,4754,0,16347.835780470421,10620.29,12524.0,14015.25,15993.0,18256.5,04:32:28,02:57:00,03:28:44,03:53:35,04:26:33,05:04:16,8704.0,9119.0,9428.0,9835.0,10178.0,10436.0,11207.0,11682.0,02:25:04,02:31:59,02:37:08,02:43:55,02:49:38,02:53:56,03:06:47,03:14:42,227,1.6179615110477548,4382,31.233071988595867,18,0.12829650748396293,219,2.3711563447379818,3684,39.88739714161975,12,0.12992637505413598,7,0.1472444257467396,687,14.4509886411443,6,0.12620950778291964
97612263,barcelona_marathon,2019,2019-03-10,ESP,13445,9,4,0,14659.616288583116,9986.88,11695.0,12944.0,14432.0,16191.0,04:04:20,02:46:27,03:14:55,03:35:44,04:00:32,04:29:51,7609.0,8828.0,,,10960.0,14058.0,,,02:06:49,02:27:08,,,03:02:40,03:54:18,,,602,4.477500929713648,6659,49.52770546671625,11,0.08181480104127929,4,44.44444444444444,8,88.88888888888889,7,77.77777777777779,0,0.0,4,100.0,4,100.0
