cohort,sex,mrc,entry_age,has_boot,peak_age,chrono_peak_age,peak_improve_log,peak_improve_pct,improve_span,span_censored,end_log,end_pct,decline_pct,peak_age_lo,peak_age_hi,peak_improve_pct_lo,peak_improve_pct_hi,improve_span_lo,improve_span_hi,end_pct_lo,end_pct_hi,decline_pct_lo,decline_pct_hi
ALL,M,mrc2,35,True,3.133,38.133,0.021,2.037,7.386,False,0.021,2.166,4.203,2.957,3.108,1.942,2.038,7.173,7.388,2.066,2.412,4.044,4.404
ALL,M,mrc5,35,True,3.283,38.283,0.04,3.942,10.0,True,-0.004,-0.444,3.497,3.145,3.397,3.864,4.036,10.0,10.0,-0.598,-0.304,3.293,3.625
ALL,M,mrc2,45,True,1.554,46.554,0.013,1.3,4.105,False,0.063,6.551,7.851,1.504,1.554,1.286,1.354,4.038,4.138,6.412,6.662,7.719,7.996
ALL,M,mrc5,45,True,2.256,47.256,0.02,2.029,5.513,False,0.053,5.399,7.428,2.206,2.294,1.959,2.109,5.469,5.553,5.274,5.467,7.271,7.522
ALL,M,mrc2,55,True,1.103,56.103,0.011,1.127,2.569,False,0.105,11.125,12.252,1.103,1.153,1.116,1.191,2.546,2.661,10.813,11.25,11.938,12.412
ALL,M,mrc5,55,True,1.303,56.303,0.006,0.646,2.743,False,0.11,11.585,12.231,1.29,1.353,0.577,0.758,2.654,2.865,11.337,11.74,12.01,12.405
ALL,M,mrc2,65,True,0.952,65.952,0.011,1.08,2.013,False,0.148,15.895,16.975,0.927,0.952,1.064,1.141,2.001,2.102,15.328,16.124,16.421,17.231
ALL,M,mrc5,65,True,0.0,65.0,0.0,0.0,0.0,False,0.167,18.134,18.134,0.0,0.427,0.0,0.031,0.0,0.728,17.652,18.425,17.683,18.425
ALL,W,mrc2,35,True,2.506,37.506,0.014,1.43,6.226,False,0.029,2.919,4.349,2.256,2.556,1.356,1.471,6.011,6.257,2.729,3.232,4.092,4.627
ALL,W,mrc5,35,True,2.807,37.807,0.028,2.74,8.822,False,0.008,0.764,3.504,2.657,2.907,2.451,2.909,8.102,9.119,0.522,1.342,3.201,3.888
ALL,W,mrc2,45,True,1.353,46.353,0.01,1.014,3.443,False,0.064,6.575,7.589,1.353,1.404,0.992,1.083,3.369,3.526,6.361,6.736,7.374,7.769
ALL,W,mrc5,45,True,1.98,46.98,0.014,1.39,4.699,False,0.052,5.305,6.695,1.905,2.03,1.312,1.615,4.601,4.905,4.992,5.407,6.416,6.851
ALL,W,mrc2,55,True,1.053,56.053,0.009,0.899,2.315,False,0.099,10.361,11.26,1.028,1.103,0.867,0.972,2.275,2.429,9.824,10.632,10.715,11.55
ALL,W,mrc5,55,True,1.153,56.153,0.004,0.406,2.342,False,0.096,10.052,10.458,1.003,1.482,0.264,0.993,1.995,3.215,8.963,10.42,9.708,10.744
