race_id,competition_id,series_key,country,year,course_id,temp_field,wbgt_field,wbgt_max,total_gain_m,net_gain_m
224,2994848015,HK_marathon,HKG,2018,,,,,,
225,3838380702,HK_marathon,HKG,2019,,,,,,
228,3736919065,HK_marathon,HKG,2024,,,,,,
229,2952046372,HK_marathon,HKG,2025,,,,,,
92,1777922628,abingdon_marathon,GBR,2022,1.0,14.792,14.842,18.362,84.4,-0.2
93,3346546159,abingdon_marathon,GBR,2023,1.0,10.069,10.063,13.255,84.4,-0.2
94,1921981043,abingdon_marathon,GBR,2024,1.0,14.141,13.591,16.579,84.4,-0.2
95,2363542723,abingdon_marathon,GBR,2025,1.0,13.253,12.744,14.438,84.4,-0.2
302,680430982,amsterdam_marathon,NED,2016,1.0,12.068,11.531,16.729,41.3,0.9
303,2834852523,amsterdam_marathon,NED,2017,1.0,15.297,15.222,20.28,41.3,0.9
304,1252737849,amsterdam_marathon,NED,2018,1.0,12.022,10.92,14.277,41.3,0.9
305,3828059282,amsterdam_marathon,NED,2019,1.0,10.78,10.935,14.023,41.3,0.9
306,2369528365,amsterdam_marathon,NED,2021,1.0,10.584,9.306,11.616,41.3,0.9
307,2335857687,amsterdam_marathon,NED,2022,1.0,14.703,13.713,16.068,41.3,0.9
308,189578042,amsterdam_marathon,NED,2023,1.0,8.617,8.069,9.755,41.3,0.9
309,837634668,amsterdam_marathon,NED,2024,1.0,14.5,13.909,15.135,41.3,0.9
310,3481443548,amsterdam_marathon,NED,2025,1.0,9.056,8.503,13.671,41.3,0.9
222,4216120418,athens_marathon,GRE,2024,1.0,14.691,12.467,14.226,318.5,56.4
223,30860015,athens_marathon,GRE,2025,1.0,21.186,20.707,22.345,318.5,56.4
45,1503545471,barcelona_marathon,ESP,2021,1.0,10.839,8.969,15.38,135.7,0.6
46,1237978925,barcelona_marathon,ESP,2022,1.0,19.609,18.584,19.987,135.7,0.6
47,3887402584,barcelona_marathon,ESP,2023,1.0,14.132,13.575,16.164,135.7,0.6
48,3491215129,barcelona_marathon,ESP,2024,2.0,10.859,9.48,12.847,121.9,-16.9
49,452334971,barcelona_marathon,ESP,2025,2.0,9.685,9.76,13.01,121.9,-16.9
96,521474854,belfast_marathon,GBR,2014,1.0,10.736,10.111,11.69,146.5,-27.3
97,2979388557,belfast_marathon,GBR,2015,1.0,11.457,10.684,12.041,146.5,-27.3
98,3555905406,belfast_marathon,GBR,2016,1.0,10.585,9.372,9.749,146.5,-27.3
99,1401170003,belfast_marathon,GBR,2017,1.0,11.945,12.034,15.17,146.5,-27.3
100,1947636292,belfast_marathon,GBR,2018,1.0,12.837,12.938,16.599,146.5,-27.3
102,863358528,belfast_marathon,GBR,2021,1.0,11.856,11.082,12.348,146.5,-27.3
103,1238049322,belfast_marathon,GBR,2022,1.0,10.713,10.994,14.205,146.5,-27.3
