target,kind,weather_set,n,r2,r2_sd,r2_lo,r2_hi,beta_weather,se_weather,z_weather,beta_weather_lo,beta_weather_hi,beta_course,se_course,z_course,beta_course_lo,beta_course_hi
v_ALL_B,slice,temp,343,0.4577434094453201,0.03932237238387104,0.38326017248427247,0.5347904091385398,0.6267986314316119,0.04039714497340176,15.515914103442407,0.5476216821869206,0.7059755806763031,0.17718740025236532,0.04039714497340177,4.386136702705817,0.09801045100767407,0.25636434949705655
v_ALL_B,slice,WBGT,343,0.33058420174799397,0.03662218180843771,0.26476238489084636,0.4077474292533443,0.5088883390051425,0.0445591423004669,11.420514685261576,0.4215540248937374,0.5962226531165477,0.22504291264991524,0.04455914230046691,5.050431876188899,0.13770859853851006,0.3123772267613204
v_ALL_M,slice,temp,343,0.44758152169193566,0.03827158428090592,0.37390127202366347,0.521387859067412,0.6169830240505226,0.04077390924633491,15.13180942065255,0.5370676304000477,0.6968984177009976,0.1819040371799038,0.040773909246334915,4.461285183153116,0.10198864352942888,0.26181943083037873
v_ALL_M,slice,WBGT,343,0.3305526867801386,0.035190727868623796,0.2666531330506719,0.40241740828543154,0.5071008172119346,0.04456019117279224,11.38013109606142,0.4197644473485469,0.5944371870753222,0.22844411157169117,0.04456019117279225,5.126641191592902,0.14110774170830345,0.31578048143507886
v_ALL_W,slice,temp,337,0.3959040559129261,0.04450519246605079,0.3099206082402805,0.4790672499061898,0.5931709895364524,0.042995444930464956,13.796135625431189,0.5089014659536902,0.6774405131192146,0.14008801483830188,0.042995444930464935,3.258205957976745,0.05581849125553978,0.22435753842106398
v_ALL_W,slice,WBGT,337,0.2730961511496639,0.040967566019694875,0.19717932789183104,0.35884194961549043,0.4724374383642532,0.0468359295117317,10.087072964910726,0.38064070331726046,0.5642341734112459,0.18538531170230232,0.04683592951173168,3.958185812365828,0.09358857665530959,0.27718204674929503
v_Po10_B,slice,temp,265,0.49268867260618954,0.050763262800824736,0.3911645191640363,0.5841794745034441,0.6528468625217196,0.04416277700281644,14.782740281030899,0.5662894101186131,0.7394043149248262,0.20831564394341723,0.04416277700281646,4.716996033336671,0.12175819154031073,0.2948730963465237
v_Po10_B,slice,WBGT,265,0.28138675306224414,0.04552470141271493,0.19663995488577232,0.371132345275849,0.4603551021274641,0.05238281424917892,8.788285026795405,0.35768667276612864,0.5630235314887996,0.2542548992537925,0.05238281424917895,4.853784640976554,0.15158646989245697,0.3569233286151281
v_Po10_M,slice,temp,252,0.510655862810979,0.049622235453677194,0.4124397551288653,0.6066243619048589,0.6596585346484397,0.044467365491501626,14.834666442618694,0.5725040997772647,0.7468129695196147,0.22796944525869442,0.04446736549150159,5.126668574558638,0.14081501038751948,0.31512388012986936
v_Po10_M,slice,WBGT,252,0.2971912044431173,0.04817151363849887,0.20810345809776204,0.3967343350371273,0.46800038111434994,0.05312798337244719,8.808924250587319,0.3638714471086746,0.5721293151200253,0.277482050890494,0.053127983372447146,5.222898240748956,0.17335311688481875,0.38161098489616924
v_Po10_W,slice,temp,203,0.48297125681661546,0.060453952009532894,0.3567813668970689,0.5943386755189868,0.6227765740372827,0.050961642953336696,12.220496395838953,0.5228935892323138,0.7226595588422516,0.269058394384836,0.050961642953336696,5.279625592746308,0.16917540957986701,0.36894137918980496
