target,kind,fit,n,b_temp,z_temp,b_gain,z_gain,r2
v_ALL_B,slice,OLS,343,0.6267986314316119,15.515914103442407,0.17718740025236532,4.386136702705817,0.4577434094453201
v_ALL_B,slice,WLS,343,0.6720494844918687,16.94931097576637,0.41945000186519327,10.248024477861813,0.5522264704132305
v_ALL_B,slice,Robust,343,0.5919245172883443,16.878978394122324,0.15812580054857686,4.509073901591706,0.49707354212399224
v_ALL_B,slice,Robust+WLS,343,0.6244051161900209,18.06627773104776,0.46981259489867927,12.655937483074771,0.598206389436116
v_ALL_M,slice,OLS,343,0.6169830240505226,15.13180942065255,0.1819040371799038,4.461285183153116,0.44758152169193566
v_ALL_M,slice,WLS,343,0.6500881871814276,16.342786058671148,0.4190329684980099,10.02757628243987,0.5326254597232335
v_ALL_M,slice,Robust,343,0.5790408841906558,16.388443427477632,0.16988146416908168,4.762871107389056,0.48722004249551354
v_ALL_M,slice,Robust+WLS,343,0.6047751715691821,17.50900918935496,0.47338692501927776,12.449826652841349,0.5798658973414752
v_ALL_W,slice,OLS,337,0.5931709895364524,13.796135625431189,0.1400880148383019,3.258205957976746,0.3959040559129261
v_ALL_W,slice,WLS,337,0.6557582598414082,16.6951379604604,0.41063054437643565,10.024041514388578,0.5448648945630385
v_ALL_W,slice,Robust,337,0.5638609056670629,15.115672647406148,0.10561532454987901,2.8719572939395532,0.43031447762892405
v_ALL_W,slice,Robust+WLS,337,0.6260879524827234,17.681154997498187,0.46242305856624444,12.205319673400016,0.5858665230169214
v_Po10_B,slice,OLS,265,0.6528468625217196,14.782740281030897,0.2083156439434172,4.71699603333667,0.4926886726061894
v_Po10_B,slice,WLS,265,0.7271401635080104,18.738869158090218,0.3683734750594864,6.90518589564856,0.6064240938063261
v_Po10_B,slice,Robust,265,0.6041713327486231,15.015981751472776,0.20433402327460903,5.218623206000621,0.5042120933554017
v_Po10_B,slice,Robust+WLS,265,0.67182447153925,18.282870675798357,0.38637117892924394,7.797049386607233,0.6029465240778309
v_Po10_M,slice,OLS,252,0.6596585346484397,14.834666442618696,0.22796944525869445,5.1266685745586384,0.510655862810979
v_Po10_M,slice,WLS,252,0.6970141432542837,17.851366888780515,0.38059243277080645,7.177674400736294,0.5982806112822336
v_Po10_M,slice,Robust,252,0.6132014549793672,15.120407038186205,0.22630380136963643,5.707825534444031,0.5269409202463977
v_Po10_M,slice,Robust+WLS,252,0.6383020549768702,17.51364858563345,0.39828876292122317,8.174759360697221,0.5984784009036195
v_Po10_W,slice,OLS,203,0.6227765740372827,12.220496395838953,0.269058394384836,5.279625592746307,0.48297125681661535
v_Po10_W,slice,WLS,203,0.69753006343525,16.78701292726007,0.28971315862688557,5.268398007092051,0.6119418159867516
v_Po10_W,slice,Robust,203,0.5872262503370165,12.94360946661616,0.2635378734320538,5.8653295728113255,0.511154223369465
v_Po10_W,slice,Robust+WLS,203,0.6508659562618839,16.812436474146715,0.3111932946240863,6.155121658894791,0.6189206331749442
