cohort,sex,n_floor,x,dens,lo,hi,n_draws
ALL,M,3,-4.0926417512922395,0.005835872084737617,0.005254755762190876,0.006474519900294946,200
ALL,M,3,-4.034105093011509,0.006252033246000345,0.005694433005159012,0.0069469263455872515,200
ALL,M,3,-3.975568434730778,0.006729058459149008,0.006179572952631351,0.0074081255286934326,200
ALL,M,3,-3.9170317764500475,0.007290154009053295,0.006752462629029869,0.007971873929550385,200
ALL,M,3,-3.858495118169317,0.007952475017684207,0.007333842370911128,0.00867232799430597,200
ALL,M,3,-3.799958459888586,0.008731206296997451,0.00808317502887502,0.00955820779123777,200
ALL,M,3,-3.7414218016078555,0.009626742469825976,0.008775517040084784,0.010527884517359034,200
ALL,M,3,-3.682885143327125,0.010609835549809548,0.009718572712187836,0.011559667951080606,200
ALL,M,3,-3.624348485046394,0.011627298938995846,0.010690179918210254,0.012457512700616236,200
ALL,M,3,-3.5658118267656636,0.012629006609637625,0.011761870629102405,0.01342287305022577,200
ALL,M,3,-3.5072751684849326,0.013601790114116448,0.012693007246010649,0.014471285481208919,200
ALL,M,3,-3.448738510204202,0.014592780191371177,0.013565926633876572,0.01561927374968172,200
ALL,M,3,-3.3902018519234716,0.015698852942093017,0.014586157966395057,0.016745868148267395,200
ALL,M,3,-3.3316651936427406,0.017012850200058605,0.015885047420469763,0.017969621609842047,200
ALL,M,3,-3.27312853536201,0.018563050243239093,0.017411213324491998,0.01958071643532001,200
ALL,M,3,-3.214591877081279,0.02030059979609215,0.019115962584970274,0.021366824171926188,200
ALL,M,3,-3.1560552188005486,0.022141048383380373,0.02086857352863487,0.023272291356452895,200
ALL,M,3,-3.097518560519818,0.024015861270718416,0.022775582064360568,0.025152390390201198,200
ALL,M,3,-3.0389819022390876,0.025899982445578208,0.02459595835693551,0.027036005246527293,200
ALL,M,3,-2.9804452439583566,0.027811142694373653,0.026476401671192574,0.02906653864941941,200
