cohort,group,n_floor,n,n_draws,disatt_sd,disatt_sd_lo,disatt_sd_hi,skew,skew_lo,skew_hi,frac_improver,frac_improver_lo,frac_improver_hi,corr_du,corr_du_lo,corr_du_hi,corr_du_highn,corr_du_highn_lo,corr_du_highn_hi
ALL,M,3,121022.0,2000,0.0096,0.0095,0.0097,0.0589,0.0366,0.0813,0.5262,0.5233,0.5289,0.1539,0.1482,0.1594,0.3013,0.2734,0.327
ALL,W,3,51074.0,2000,0.0098,0.0096,0.0099,0.0899,0.0574,0.1223,0.5299,0.5256,0.5343,0.178,0.1698,0.1862,0.2837,0.2389,0.3279
ALL,M-W,3,,2000,-0.0001,-0.0003,0.0,-0.031,-0.0704,0.0098,-0.0037,-0.0087,0.0017,-0.0241,-0.0341,-0.0137,0.0176,-0.0359,0.0705
ALL,M,5,45903.0,2000,0.0129,0.0128,0.013,0.1029,0.0679,0.1391,0.5587,0.5543,0.5633,0.1893,0.1808,0.1981,0.3013,0.274,0.328
ALL,W,5,20389.0,2000,0.0123,0.0121,0.0125,0.1203,0.069,0.1708,0.5578,0.5509,0.5646,0.2125,0.1992,0.2251,0.2837,0.2361,0.3299
ALL,M-W,5,,2000,0.0006,0.0004,0.0008,-0.0174,-0.0792,0.0468,0.0009,-0.0069,0.0091,-0.0231,-0.0378,-0.0066,0.0176,-0.0361,0.0723
ALL,M,10,3886.0,2000,0.013,0.0127,0.0134,0.0721,-0.0517,0.1995,0.6199,0.6047,0.6354,0.3013,0.2727,0.3277,0.3013,0.2727,0.3277
ALL,W,10,1604.0,2000,0.0121,0.0115,0.0127,0.0507,-0.1498,0.2358,0.6646,0.6415,0.6889,0.2837,0.2358,0.3276,0.2837,0.2358,0.3276
ALL,M-W,10,,2000,0.0009,0.0002,0.0017,0.0214,-0.2084,0.262,-0.0447,-0.0722,-0.0158,0.0176,-0.0335,0.0718,0.0176,-0.0335,0.0718
Po10,M,3,18158.0,2000,0.0093,0.009,0.0096,0.0828,0.0207,0.1461,0.5421,0.5349,0.5494,0.1213,0.1077,0.1361,0.1672,0.1158,0.2191
Po10,W,3,9127.0,2000,0.01,0.0096,0.0103,0.1298,0.0471,0.2094,0.5578,0.5474,0.5685,0.1487,0.1274,0.1679,0.1662,0.0879,0.2451
Po10,M-W,3,,2000,-0.0007,-0.0011,-0.0002,-0.0469,-0.1459,0.0537,-0.0157,-0.0286,-0.0031,-0.0274,-0.052,-0.0018,0.001,-0.0902,0.0969
Po10,M,5,7685.0,2000,0.0119,0.0116,0.0122,0.1651,0.0675,0.2669,0.6057,0.5949,0.6161,0.1237,0.102,0.146,0.1672,0.1121,0.2194
Po10,W,5,3559.0,2000,0.0121,0.0117,0.0126,0.2329,0.0957,0.3816,0.612,0.5968,0.6283,0.1959,0.163,0.2291,0.1662,0.087,0.2438
Po10,M-W,5,,2000,-0.0002,-0.0008,0.0003,-0.0678,-0.2544,0.1093,-0.0062,-0.0257,0.0125,-0.0722,-0.1129,-0.0324,0.001,-0.0917,0.092
Po10,M,10,1491.0,2000,0.0117,0.0111,0.0123,0.1093,-0.0948,0.2977,0.7009,0.6781,0.7243,0.1672,0.114,0.2163,0.1672,0.114,0.2163
Po10,W,10,606.0,2000,0.0114,0.0105,0.0122,-0.0459,-0.3767,0.2966,0.7277,0.6931,0.7657,0.1662,0.0891,0.2481,0.1662,0.0891,0.2481
Po10,M-W,10,,2000,0.0003,-0.0007,0.0014,0.1552,-0.2286,0.5162,-0.0269,-0.0711,0.0135,0.001,-0.0961,0.0925,0.001,-0.0961,0.0925
