cohort,sex,nu,mrc,floor,bin,age_lo,age_hi,age_med,n,mean_rel,ci_lo,ci_hi
ALL,M,8.0,2,5,0,13.0,36.5,30.5,10911,-0.0010732484350515347,-0.0013274212161512812,-0.0008506208336181337
ALL,M,8.0,2,5,1,36.5,43.5,40.5,11722,-0.0009540542324376422,-0.0011743084826614603,-0.0007287619235744623
ALL,M,8.0,2,5,2,43.5,50.5,46.5,10963,0.000375668542411744,0.00012007548884337209,0.0005965231416440984
ALL,M,8.0,2,5,3,50.5,88.0,55.0,12011,0.001563165694531795,0.001358182324641756,0.001787172008491361
ALL,W,8.0,2,5,0,12.0,35.5,29.0,5011,-0.0010486010575559313,-0.0014220986997933256,-0.0006876129235004707
ALL,W,8.0,2,5,1,35.5,42.5,38.5,4929,-0.00020537514205825634,-0.0005473683965326993,9.067289393699698e-05
ALL,W,8.0,2,5,2,42.5,48.5,45.5,4891,0.000789282639648661,0.0004412335997240806,0.0011038121968277935
ALL,W,8.0,2,5,3,48.5,86.5,52.5,5455,0.00044114621156669576,0.0001414166974990491,0.0007127271779548438
Po10,M,8.0,2,5,0,15.5,31.5,26.5,1768,-4.9481044430781865e-05,-0.0005810865784053869,0.0005273102121255007
Po10,M,8.0,2,5,1,31.5,40.5,36.5,1847,-0.0015021340443334952,-0.0020142322943917687,-0.0010018435197278134
Po10,M,8.0,2,5,2,40.5,47.5,43.0,1827,0.0006092430555567203,5.2966772965899885e-05,0.0011453660007583006
Po10,M,8.0,2,5,3,47.5,85.5,52.5,1951,0.0008963798072452406,0.00040097069418452714,0.0014111054767507677
Po10,W,8.0,2,5,0,12.0,32.0,26.5,859,-0.0017310125564420637,-0.002536547320979852,-0.0008717299814637575
Po10,W,8.0,2,5,1,32.0,40.5,36.5,759,0.0005396643918691469,-0.0003883670465359522,0.0014025241873805963
Po10,W,8.0,2,5,2,40.5,47.5,43.5,889,0.0008360462819832193,7.354606242657785e-05,0.001462872101128495
Po10,W,8.0,2,5,3,47.5,86.5,52.0,955,0.00034983179881881507,-0.0003555164111554111,0.001121550471342359
