slice,model,thr,series_key,country,k_editions,yr_min,yr_max,median_v,min_at_3h,m_lo95,m_hi95,n_faster_conf,n_slower_conf,n_boot,tier,n_men,n_women
ALL_B_14-25_mrc2,full_nu8p00,0.9,newport_marathon,GBR,6,2018,2025,-0.017294,-3.112921,-0.020806,-0.012994,43,0,100,1,2281,904
ALL_B_14-25_mrc2,full_nu8p00,0.9,zurich_marathon,SUI,5,2019,2025,-0.016926,-3.046669,-0.019217,-0.012692,41,0,100,1,4549,973
ALL_B_14-25_mrc2,full_nu8p00,0.9,seville_marathon,ESP,7,2018,2025,-0.016054,-2.889766,-0.017113,-0.014424,41,0,100,1,9897,2026
ALL_B_14-25_mrc2,full_nu8p00,0.9,hannover_marathon,GER,6,2018,2025,-0.014278,-2.569967,-0.016241,-0.01115,35,1,100,2,2220,647
ALL_B_14-25_mrc2,full_nu8p00,0.9,dublin_marathon,IRL,10,2014,2025,-0.014163,-2.549388,-0.017388,-0.010613,34,0,100,2,1703,778
ALL_B_14-25_mrc2,full_nu8p00,0.9,eindhoven_marathon,NED,8,2017,2025,-0.013881,-2.498555,-0.016706,-0.010344,32,1,100,2,5373,1067
ALL_B_14-25_mrc2,full_nu8p00,0.9,manchester_marathon,GBR,6,2019,2025,-0.013767,-2.478021,-0.015197,-0.012311,35,3,100,2,15483,6807
ALL_B_14-25_mrc2,full_nu8p00,0.9,frankfurt_marathon,GER,9,2015,2025,-0.012821,-2.307726,-0.014364,-0.011125,34,3,100,2,22406,6306
ALL_B_14-25_mrc2,full_nu8p00,0.9,barcelona_marathon,ESP,5,2021,2025,-0.012295,-2.213021,-0.014833,-0.009614,29,3,100,2,5967,1397
ALL_B_14-25_mrc2,full_nu8p00,0.9,valencia_marathon,ESP,9,2017,2025,-0.011809,-2.125668,-0.012671,-0.009855,29,6,100,3,53729,8419
ALL_B_14-25_mrc2,full_nu8p00,0.9,yorkshire_marathon,GBR,6,2019,2025,-0.011369,-2.046337,-0.012947,-0.007791,29,7,100,3,3354,1545
ALL_B_14-25_mrc2,full_nu8p00,0.9,bostonUK_marathon,GBR,5,2021,2025,-0.011361,-2.045069,-0.015332,-0.008005,29,3,100,3,1099,430
ALL_B_14-25_mrc2,full_nu8p00,0.9,paris_marathon,FRA,11,2014,2025,-0.011284,-2.031044,-0.013303,-0.006637,28,5,100,3,94419,21566
ALL_B_14-25_mrc2,full_nu8p00,0.9,amsterdam_marathon,NED,9,2016,2025,-0.010795,-1.943055,-0.012868,-0.009476,29,7,100,3,22399,5794
ALL_B_14-25_mrc2,full_nu8p00,0.9,san_sebastian_marathon,ESP,3,2022,2025,-0.010559,-1.900602,-0.012172,-0.00267,24,8,100,3,1912,341
ALL_B_14-25_mrc2,full_nu8p00,0.9,chester_marathon,GBR,9,2016,2025,-0.010272,-1.848994,-0.012524,-0.004907,26,8,100,3,5416,2467
ALL_B_14-25_mrc2,full_nu8p00,0.9,malaga_marathon,ESP,7,2018,2025,-0.009239,-1.663107,-0.015725,-0.004649,24,3,100,3,4336,1086
ALL_B_14-25_mrc2,full_nu8p00,0.9,berlin_marathon,GER,11,2014,2025,-0.00922,-1.659591,-0.009889,-0.007418,26,13,100,4,55134,23711
ALL_B_14-25_mrc2,full_nu8p00,0.9,rotterdam_marathon,NED,7,2018,2025,-0.008076,-1.453658,-0.009396,-0.006274,24,14,100,4,34594,9301
ALL_B_14-25_mrc2,full_nu8p00,0.9,abingdon_marathon,GBR,4,2022,2025,-0.007619,-1.371492,-0.009672,-0.003812,21,14,100,4,1144,433
ALL_B_14-25_mrc2,full_nu8p00,0.9,hamburg_marathon,GER,7,2018,2025,-0.007358,-1.324357,-0.008712,-0.005526,24,16,100,5,17234,5059
ALL_B_14-25_mrc2,full_nu8p00,0.9,cologne_marathon,GER,6,2018,2025,-0.006357,-1.144328,-0.008244,-0.004143,23,16,100,5,6913,1943
ALL_B_14-25_mrc2,full_nu8p00,0.9,munich_marathon,GER,7,2018,2025,-0.005011,-0.901972,-0.007053,-0.002079,20,20,100,6,5627,1362
ALL_B_14-25_mrc2,full_nu8p00,0.9,chicago_marathon,USA,11,2014,2025,-0.004473,-0.805098,-0.005502,-0.003295,20,21,100,6,79414,60924
ALL_B_14-25_mrc2,full_nu8p00,0.9,prague_marathon,CZE,10,2014,2025,-0.003354,-0.603785,-0.007083,0.002205,17,21,100,6,7665,1812
ALL_B_14-25_mrc2,full_nu8p00,0.9,stockholm_marathon,SWE,11,2014,2025,-0.002472,-0.444883,-0.006192,0.000531,17,22,100,6,31086,12425
ALL_B_14-25_mrc2,full_nu8p00,0.9,tokyo_marathon,JPN,9,2015,2025,-0.00156,-0.280888,-0.002892,0.000231,17,24,100,7,19797,11302
ALL_B_14-25_mrc2,full_nu8p00,0.9,london_marathon,GBR,12,2014,2025,-0.001101,-0.19816,-0.003144,-0.000209,17,24,100,7,69753,41918
ALL_B_14-25_mrc2,full_nu8p00,0.9,copenhagen_marathon,DEN,10,2014,2025,0.001116,0.200881,-0.000605,0.002297,14,28,100,8,20042,6062
ALL_B_14-25_mrc2,full_nu8p00,0.9,cape_town_marathon,RSA,3,2022,2024,0.00152,0.273664,-0.006778,0.011084,7,24,100,8,107,77
ALL_B_14-25_mrc2,full_nu8p00,0.9,vienna_marathon,AUT,7,2018,2025,0.002052,0.369299,-0.00043,0.006407,12,28,100,8,3380,846
ALL_B_14-25_mrc2,full_nu8p00,0.9,edinburgh_marathon,GBR,10,2014,2025,0.002585,0.465304,-0.000329,0.004728,13,28,100,8,5192,2751
ALL_B_14-25_mrc2,full_nu8p00,0.9,oslo_marathon,NOR,8,2016,2025,0.004299,0.773867,0.000844,0.007579,10,29,100,9,3906,1072
ALL_B_14-25_mrc2,full_nu8p00,0.9,belfast_marathon,GBR,10,2014,2025,0.005916,1.064945,0.002284,0.011197,7,30,100,9,1276,467
ALL_B_14-25_mrc2,full_nu8p00,0.9,madrid_marathon,ESP,5,2021,2025,0.005933,1.06793,0.002858,0.010733,7,31,100,9,1569,256
ALL_B_14-25_mrc2,full_nu8p00,0.9,rome_marathon,ITA,5,2021,2025,0.006693,1.204739,0.004896,0.00901,7,32,100,10,17518,3153
ALL_B_14-25_mrc2,full_nu8p00,0.9,milan_marathon,ITA,4,2022,2025,0.007055,1.269834,0.004927,0.008975,7,31,100,10,9956,1862
ALL_B_14-25_mrc2,full_nu8p00,0.9,boston_marathon,USA,11,2014,2025,0.007372,1.327018,0.006214,0.00984,6,32,100,10,21767,13725
ALL_B_14-25_mrc2,full_nu8p00,0.9,melbourne_marathon,AUS,11,2014,2025,0.008473,1.525156,0.0043,0.012302,6,32,100,10,15536,5422
ALL_B_14-25_mrc2,full_nu8p00,0.9,brighton_marathon,GBR,4,2022,2025,0.010289,1.851942,0.007639,0.012602,6,37,100,11,4709,2286
ALL_B_14-25_mrc2,full_nu8p00,0.9,nyc_marathon,USA,11,2014,2025,0.014342,2.581601,0.013926,0.015851,3,40,100,12,144220,99952
ALL_B_14-25_mrc2,full_nu8p00,0.9,milton_keynes_marathon,GBR,11,2014,2025,0.016754,3.015779,0.011096,0.018643,1,40,100,12,3613,1381
ALL_B_14-25_mrc2,full_nu8p00,0.9,lisbon_marathon,POR,5,2021,2025,0.017006,3.061103,0.0089,0.028189,1,40,100,12,203,75
ALL_B_14-25_mrc2,full_nu8p00,0.9,sydney_marathon,AUS,4,2022,2025,0.017902,3.222286,0.014462,0.020743,1,41,100,13,11650,5521
ALL_B_14-25_mrc2,full_nu8p00,0.9,HK_marathon,HKG,4,2018,2025,0.018045,3.248069,0.014681,0.02472,1,41,100,13,66,44
ALL_B_14-25_mrc2,full_nu8p00,0.9,venice_marathon,ITA,3,2023,2025,0.026324,4.738331,0.023327,0.028726,0,44,100,14,4450,1122
