slice,model,min_n,min_editions,n_top,series_key,country,k_editions,yr_min,yr_max,n_j_total,median_v,iqr_v,min_at_3h,rank_slow,rank_fast,m_lo95,m_hi95,p_slow,p_fast,rank_slow_lo,rank_slow_hi,rank_fast_lo,rank_fast_hi,n_boot,tier_slow,tier_fast
ALL_B_14-25_mrc2,full_nu8p00,0,5,20,newport_marathon,GBR,6,2018,2025,3185,-0.016942,0.00728,-3.049503,38,1,-0.019869,-0.012945,0.0,1.0,34.475,38.0,1.0,4.525,100,,headline
ALL_B_14-25_mrc2,full_nu8p00,0,5,20,frankfurt_marathon,GER,9,2015,2025,28712,-0.015336,0.015201,-2.760556,37,2,-0.016946,-0.013716,0.0,1.0,34.475,38.0,1.0,4.525,100,,headline
ALL_B_14-25_mrc2,full_nu8p00,0,5,20,amsterdam_marathon,NED,9,2016,2025,28193,-0.013342,0.010599,-2.401558,36,3,-0.015051,-0.011401,0.0,1.0,32.0,37.0,2.0,7.0,100,,headline
ALL_B_14-25_mrc2,full_nu8p00,0,5,20,eindhoven_marathon,NED,8,2017,2025,6440,-0.012831,0.021112,-2.3096,35,4,-0.01593,-0.010422,0.0,1.0,29.0,38.0,1.0,10.0,100,,headline
ALL_B_14-25_mrc2,full_nu8p00,0,5,20,seville_marathon,ESP,7,2018,2025,11923,-0.012416,0.015086,-2.234902,34,5,-0.015656,-0.010131,0.0,1.0,29.0,37.0,2.0,10.0,100,,headline
ALL_B_14-25_mrc2,full_nu8p00,0,5,20,dublin_marathon,IRL,10,2014,2025,2481,-0.012074,0.011462,-2.173337,33,6,-0.01707,-0.009569,0.0,1.0,27.95,38.0,1.0,11.05,100,,headline
ALL_B_14-25_mrc2,full_nu8p00,0,5,20,zurich_marathon,SUI,5,2019,2025,5522,-0.012066,0.013296,-2.1718,32,7,-0.014672,-0.00775,0.0,1.0,24.95,36.525,2.475,14.05,100,,headline
ALL_B_14-25_mrc2,full_nu8p00,0,5,20,hannover_marathon,GER,6,2018,2025,2867,-0.011988,0.001057,-2.157756,31,8,-0.013993,-0.009498,0.0,1.0,27.475,35.0,4.0,11.525,100,,headline
ALL_B_14-25_mrc2,full_nu8p00,0,5,20,paris_marathon,FRA,11,2014,2025,115985,-0.010555,0.012762,-1.899953,30,9,-0.013083,-0.009114,0.0,1.0,26.0,34.0,5.0,13.0,100,,headline
ALL_B_14-25_mrc2,full_nu8p00,0,5,20,manchester_marathon,GBR,6,2019,2025,22290,-0.009758,0.025661,-1.756426,29,10,-0.011512,-0.008197,0.0,1.0,25.475,32.0,7.0,13.525,100,,headline
ALL_B_14-25_mrc2,full_nu8p00,0,5,20,valencia_marathon,ESP,9,2017,2025,62148,-0.009702,0.009314,-1.746325,28,11,-0.011451,-0.00854,0.0,1.0,25.0,32.0,7.0,14.0,100,,headline
ALL_B_14-25_mrc2,full_nu8p00,0,5,20,berlin_marathon,GER,11,2014,2025,78845,-0.00836,0.015785,-1.504787,27,12,-0.008989,-0.006677,0.03,1.0,20.475,27.0,12.0,18.525,100,,headline
ALL_B_14-25_mrc2,full_nu8p00,0,5,20,malaga_marathon,ESP,7,2018,2025,5422,-0.008259,0.014319,-1.486632,26,13,-0.01123,-0.002547,0.29,0.76,15.0,31.0,8.0,24.0,100,tie,headline
ALL_B_14-25_mrc2,full_nu8p00,0,5,20,bostonUK_marathon,GBR,5,2021,2025,1529,-0.007667,0.006953,-1.380039,25,14,-0.013164,-0.00508,0.14,0.94,17.475,34.0,5.0,21.525,100,,headline
ALL_B_14-25_mrc2,full_nu8p00,0,5,20,chicago_marathon,USA,11,2014,2025,140338,-0.00765,0.026884,-1.377038,24,15,-0.008965,-0.00672,0.04,1.0,20.0,27.0,12.0,19.0,100,,headline
ALL_B_14-25_mrc2,full_nu8p00,0,5,20,barcelona_marathon,ESP,5,2021,2025,7364,-0.007623,0.013505,-1.37219,23,16,-0.010612,-0.004672,0.31,0.87,17.0,30.0,9.0,22.0,100,tie,headline
ALL_B_14-25_mrc2,full_nu8p00,0,5,20,rotterdam_marathon,NED,7,2018,2025,43895,-0.007316,0.018018,-1.316895,22,17,-0.008749,-0.005555,0.12,0.98,19.0,27.0,12.0,20.0,100,,headline
ALL_B_14-25_mrc2,full_nu8p00,0,5,20,stockholm_marathon,SWE,11,2014,2025,43511,-0.006957,0.04143,-1.252261,21,18,-0.009499,-0.004905,0.34,0.92,17.0,27.525,11.475,22.0,100,tie,headline
ALL_B_14-25_mrc2,full_nu8p00,0,5,20,hamburg_marathon,GER,7,2018,2025,22293,-0.006351,0.006478,-1.143191,20,19,-0.006958,-0.004159,0.9,0.54,16.0,21.0,18.0,23.0,100,headline,headline
ALL_B_14-25_mrc2,full_nu8p00,0,5,20,tokyo_marathon,JPN,9,2015,2025,31099,-0.006081,0.012961,-1.094638,19,20,-0.008377,-0.00462,0.5,0.82,17.0,25.525,13.475,22.0,100,headline,headline
ALL_B_14-25_mrc2,full_nu8p00,0,5,20,yorkshire_marathon,GBR,6,2019,2025,4899,-0.005732,0.00706,-1.03177,18,21,-0.008436,-0.002614,0.76,0.48,15.0,25.525,13.475,24.0,100,headline,tie
ALL_B_14-25_mrc2,full_nu8p00,0,5,20,prague_marathon,CZE,10,2014,2025,9477,-0.005273,0.017279,-0.949101,17,22,-0.009822,4.1e-05,0.66,0.43,14.0,28.525,10.475,25.0,100,headline,tie
ALL_B_14-25_mrc2,full_nu8p00,0,5,20,chester_marathon,GBR,9,2016,2025,7883,-0.004655,0.018126,-0.837972,16,23,-0.007246,-0.002049,0.91,0.26,15.0,22.0,17.0,24.0,100,headline,tie
ALL_B_14-25_mrc2,full_nu8p00,0,5,20,cologne_marathon,GER,6,2018,2025,8856,-0.002396,0.023734,-0.431344,15,24,-0.004353,-0.000107,1.0,0.0,12.475,17.525,21.475,26.525,100,headline,
ALL_B_14-25_mrc2,full_nu8p00,0,5,20,munich_marathon,GER,7,2018,2025,6989,-0.001391,0.014759,-0.25039,14,25,-0.00313,0.002247,1.0,0.0,11.475,15.0,24.0,27.525,100,headline,
