slice,model,min_n,min_editions,n_top,series_key,country,k_editions,yr_min,yr_max,n_j_total,median_v,iqr_v,min_at_3h,rank_slow,rank_fast,m_lo95,m_hi95,p_slow,p_fast,rank_slow_lo,rank_slow_hi,rank_fast_lo,rank_fast_hi,n_boot,tier_slow,tier_fast
ALL_M_14-25_mrc2,full_nu8p00,0,3,20,zurich_marathon,SUI,5,2019,2025,4549,-0.018214,0.014252,-3.248862,45,1,-0.020649,-0.014388,0.0,1.0,40.0,45.0,1.0,6.0,100,,headline
ALL_M_14-25_mrc2,full_nu8p00,0,3,20,newport_marathon,GBR,6,2018,2025,2281,-0.017951,0.007672,-3.202291,44,2,-0.02133,-0.013292,0.0,1.0,38.475,45.0,1.0,7.525,100,,headline
ALL_M_14-25_mrc2,full_nu8p00,0,3,20,seville_marathon,ESP,7,2018,2025,9896,-0.017049,0.00825,-3.042792,43,3,-0.018897,-0.014689,0.0,1.0,40.0,45.0,1.0,6.0,100,,headline
ALL_M_14-25_mrc2,full_nu8p00,0,3,20,hannover_marathon,GER,6,2018,2025,2220,-0.016433,0.005306,-2.933853,42,4,-0.018344,-0.013309,0.0,1.0,37.475,45.0,1.0,8.525,100,,headline
ALL_M_14-25_mrc2,full_nu8p00,0,3,20,eindhoven_marathon,NED,8,2017,2025,5373,-0.014366,0.017827,-2.567407,41,5,-0.016115,-0.00951,0.0,1.0,30.95,42.525,3.475,15.05,100,,headline
ALL_M_14-25_mrc2,full_nu8p00,0,3,20,manchester_marathon,GBR,6,2019,2025,15483,-0.014249,0.023917,-2.546575,40,6,-0.015864,-0.012495,0.0,1.0,35.475,42.0,4.0,10.525,100,,headline
ALL_M_14-25_mrc2,full_nu8p00,0,3,20,frankfurt_marathon,GER,9,2015,2025,22405,-0.014156,0.007074,-2.530132,39,7,-0.015874,-0.012554,0.0,1.0,35.475,42.0,4.0,10.525,100,,headline
ALL_M_14-25_mrc2,full_nu8p00,0,3,20,valencia_marathon,ESP,9,2017,2025,53729,-0.013079,0.007527,-2.338946,38,8,-0.013904,-0.011353,0.0,1.0,33.0,40.0,6.0,13.0,100,,headline
ALL_M_14-25_mrc2,full_nu8p00,0,3,20,dublin_marathon,IRL,10,2014,2025,1703,-0.013038,0.011033,-2.331631,37,9,-0.016434,-0.009115,0.0,1.0,30.0,43.525,2.475,16.0,100,,headline
ALL_M_14-25_mrc2,full_nu8p00,0,3,20,barcelona_marathon,ESP,5,2021,2025,5967,-0.012541,0.015765,-2.243206,36,10,-0.015299,-0.009321,0.0,1.0,30.0,41.525,4.475,16.0,100,,headline
ALL_M_14-25_mrc2,full_nu8p00,0,3,20,yorkshire_marathon,GBR,6,2019,2025,3354,-0.012383,0.010706,-2.215267,35,11,-0.014516,-0.007913,0.0,0.99,27.0,40.0,6.0,19.0,100,,headline
ALL_M_14-25_mrc2,full_nu8p00,0,3,20,paris_marathon,FRA,11,2014,2025,94419,-0.011877,0.019863,-2.125169,34,12,-0.013635,-0.006412,0.0,0.98,26.0,39.0,7.0,20.0,100,,headline
ALL_M_14-25_mrc2,full_nu8p00,0,3,20,amsterdam_marathon,NED,9,2016,2025,22398,-0.01072,0.007311,-1.91926,33,13,-0.012875,-0.008992,0.0,1.0,30.0,38.0,8.0,16.0,100,,headline
ALL_M_14-25_mrc2,full_nu8p00,0,3,20,berlin_marathon,GER,11,2014,2025,55134,-0.01027,0.013165,-1.839159,32,14,-0.011586,-0.00926,0.0,1.0,30.0,35.0,11.0,16.0,100,,headline
ALL_M_14-25_mrc2,full_nu8p00,0,3,20,bostonUK_marathon,GBR,5,2021,2025,1099,-0.010145,0.006738,-1.816897,31,15,-0.01762,-0.007004,0.0,0.97,25.475,44.0,2.0,20.525,100,,headline
ALL_M_14-25_mrc2,full_nu8p00,0,3,20,san_sebastian_marathon,ESP,3,2022,2025,1912,-0.009207,0.00436,-1.649617,30,16,-0.013892,-0.001525,0.07,0.78,19.0,38.0,8.0,27.0,100,,headline
ALL_M_14-25_mrc2,full_nu8p00,0,3,20,chester_marathon,GBR,9,2016,2025,5416,-0.0091,0.012281,-1.630531,29,17,-0.010522,-0.002982,0.05,0.52,20.0,32.0,14.0,26.0,100,,headline
ALL_M_14-25_mrc2,full_nu8p00,0,3,20,hamburg_marathon,GER,7,2018,2025,17234,-0.008213,0.010161,-1.472273,28,18,-0.00959,-0.006031,0.0,0.86,24.0,31.0,15.0,22.0,100,,headline
ALL_M_14-25_mrc2,full_nu8p00,0,3,20,rotterdam_marathon,NED,7,2018,2025,34594,-0.007594,0.02553,-1.361688,27,19,-0.009532,-0.005553,0.0,0.75,23.0,30.0,16.0,23.0,100,,headline
ALL_M_14-25_mrc2,full_nu8p00,0,3,20,abingdon_marathon,GBR,4,2022,2025,1144,-0.00717,0.011568,-1.285897,26,20,-0.009439,-0.002903,0.1,0.34,19.0,31.0,15.0,27.0,100,,tie
ALL_M_14-25_mrc2,full_nu8p00,0,3,20,malaga_marathon,ESP,7,2018,2025,4335,-0.006932,0.011976,-1.243508,25,21,-0.014392,-0.002876,0.06,0.61,19.0,39.525,6.475,27.0,100,,headline
ALL_M_14-25_mrc2,full_nu8p00,0,3,20,chicago_marathon,USA,11,2014,2025,79414,-0.006772,0.015422,-1.21484,24,22,-0.008058,-0.004955,0.0,0.6,22.0,29.0,17.0,24.0,100,,headline
ALL_M_14-25_mrc2,full_nu8p00,0,3,20,munich_marathon,GER,7,2018,2025,5627,-0.005422,0.019226,-0.973297,23,23,-0.007658,-0.002148,0.18,0.22,19.0,29.0,17.0,27.0,100,,
ALL_M_14-25_mrc2,full_nu8p00,0,3,20,prague_marathon,CZE,10,2014,2025,7663,-0.004845,0.01824,-0.869908,22,24,-0.010657,-0.001111,0.23,0.27,19.0,33.0,13.0,27.0,100,,tie
ALL_M_14-25_mrc2,full_nu8p00,0,3,20,stockholm_marathon,SWE,11,2014,2025,31086,-0.004607,0.033254,-0.827323,21,25,-0.006955,0.000939,0.5,0.07,17.0,26.525,19.475,29.0,100,headline,
ALL_M_14-25_mrc2,full_nu8p00,0,3,20,cologne_marathon,GER,6,2018,2025,6913,-0.00452,0.033566,-0.81174,20,26,-0.006796,-0.001349,0.33,0.04,18.475,26.0,20.0,27.525,100,tie,
ALL_M_14-25_mrc2,full_nu8p00,0,3,20,london_marathon,GBR,12,2014,2025,69753,-0.00435,0.01478,-0.781302,19,27,-0.005074,-0.000891,0.5,0.0,18.0,24.0,22.0,28.0,100,headline,
ALL_M_14-25_mrc2,full_nu8p00,0,3,20,tokyo_marathon,JPN,9,2015,2025,19797,-0.000232,0.004393,-0.041716,18,28,-0.002896,0.001059,0.98,0.0,16.0,20.0,26.0,30.0,100,headline,
ALL_M_14-25_mrc2,full_nu8p00,0,3,20,copenhagen_marathon,DEN,10,2014,2025,20040,0.000285,0.028207,0.051267,17,29,-0.002262,0.002214,1.0,0.0,15.0,19.0,27.0,31.0,100,headline,
ALL_M_14-25_mrc2,full_nu8p00,0,3,20,vienna_marathon,AUT,7,2018,2025,3380,0.001203,0.023977,0.216659,16,30,-0.001579,0.005672,1.0,0.0,13.0,18.525,27.475,33.0,100,headline,
ALL_M_14-25_mrc2,full_nu8p00,0,3,20,edinburgh_marathon,GBR,10,2014,2025,5192,0.002224,0.017777,0.400678,15,31,-0.000819,0.005893,1.0,0.0,12.475,18.0,28.0,33.525,100,headline,
ALL_M_14-25_mrc2,full_nu8p00,0,3,20,rome_marathon,ITA,5,2021,2025,17518,0.005289,0.010575,0.954456,14,32,0.003631,0.008302,1.0,0.0,10.0,15.0,31.0,36.0,100,headline,
ALL_M_14-25_mrc2,full_nu8p00,0,3,20,madrid_marathon,ESP,5,2021,2025,1568,0.005438,0.001585,0.981461,13,33,0.001989,0.010436,1.0,0.0,8.0,15.525,30.475,38.0,100,headline,
ALL_M_14-25_mrc2,full_nu8p00,0,3,20,milan_marathon,ITA,4,2022,2025,9956,0.006397,0.009962,1.155062,12,34,0.003919,0.008259,1.0,0.0,9.475,14.525,31.475,36.525,100,headline,
ALL_M_14-25_mrc2,full_nu8p00,0,3,20,oslo_marathon,NOR,8,2016,2025,3906,0.006636,0.006027,1.198385,11,35,0.003299,0.009168,1.0,0.0,10.0,14.525,31.475,36.0,100,headline,
ALL_M_14-25_mrc2,full_nu8p00,0,3,20,belfast_marathon,GBR,10,2014,2025,1276,0.00969,0.019077,1.752627,10,36,0.003296,0.014847,1.0,0.0,5.0,14.0,32.0,41.0,100,headline,
ALL_M_14-25_mrc2,full_nu8p00,0,3,20,boston_marathon,USA,11,2014,2025,21767,0.009718,0.034463,1.757687,9,37,0.00902,0.012982,1.0,0.0,7.0,10.0,36.0,39.0,100,headline,
ALL_M_14-25_mrc2,full_nu8p00,0,3,20,brighton_marathon,GBR,4,2022,2025,4709,0.010379,0.004098,1.877864,8,38,0.006661,0.014458,1.0,0.0,5.475,11.0,35.0,40.525,100,headline,
ALL_M_14-25_mrc2,full_nu8p00,0,3,20,cape_town_marathon,RSA,3,2022,2024,107,0.01491,0.006544,2.703949,7,39,0.002528,0.026385,1.0,0.0,1.475,14.525,31.475,44.525,100,headline,
ALL_M_14-25_mrc2,full_nu8p00,0,3,20,milton_keynes_marathon,GBR,11,2014,2025,3613,0.015159,0.022484,2.749332,6,40,0.009459,0.018887,1.0,0.0,3.0,9.525,36.475,43.0,100,headline,
ALL_M_14-25_mrc2,full_nu8p00,0,3,20,melbourne_marathon,AUS,11,2014,2025,15536,0.015928,0.015438,2.88998,5,41,0.010039,0.019442,1.0,0.0,3.0,9.0,37.0,43.0,100,headline,
ALL_M_14-25_mrc2,full_nu8p00,0,3,20,nyc_marathon,USA,11,2014,2025,144220,0.017507,0.009155,3.179056,4,42,0.016028,0.018841,1.0,0.0,3.0,6.0,40.0,43.0,100,headline,
ALL_M_14-25_mrc2,full_nu8p00,0,3,20,sydney_marathon,AUS,4,2022,2025,11650,0.019601,0.012181,3.563076,3,43,0.016008,0.022891,1.0,0.0,2.0,4.525,41.475,44.0,100,headline,
ALL_M_14-25_mrc2,full_nu8p00,0,3,20,lisbon_marathon,POR,5,2021,2025,203,0.020809,0.002064,3.784851,2,44,0.011158,0.031794,1.0,0.0,1.0,7.525,38.475,45.0,100,headline,
ALL_M_14-25_mrc2,full_nu8p00,0,3,20,venice_marathon,ITA,3,2023,2025,4450,0.02705,0.010288,4.935473,1,45,0.023396,0.029245,1.0,0.0,1.0,2.0,44.0,45.0,100,headline,
