slice,model,min_n,min_editions,n_top,series_key,country,k_editions,yr_min,yr_max,n_j_total,median_v,iqr_v,min_at_3h,rank_slow,rank_fast,m_lo95,m_hi95,p_slow,p_fast,rank_slow_lo,rank_slow_hi,rank_fast_lo,rank_fast_hi,n_boot,tier_slow,tier_fast
ALL_W_14-25_mrc2,full_nu8p00,0,5,20,newport_marathon,GBR,6,2018,2025,904,-0.015679,0.015009,-2.822307,36,1,-0.020228,-0.00928,0.0,1.0,30.0,36.0,1.0,7.0,100,,headline
ALL_W_14-25_mrc2,full_nu8p00,0,5,20,dublin_marathon,IRL,10,2014,2025,778,-0.014709,0.008636,-2.647608,35,2,-0.021048,-0.011098,0.0,1.0,30.95,36.0,1.0,6.05,100,,headline
ALL_W_14-25_mrc2,full_nu8p00,0,5,20,amsterdam_marathon,NED,9,2016,2025,5794,-0.012994,0.011966,-2.33895,34,3,-0.015266,-0.009169,0.0,1.0,30.475,36.0,1.0,6.525,100,,headline
ALL_W_14-25_mrc2,full_nu8p00,0,5,20,eindhoven_marathon,NED,8,2017,2025,1066,-0.011943,0.01527,-2.149808,33,4,-0.017554,-0.005802,0.02,1.0,22.0,35.525,1.475,15.0,100,,headline
ALL_W_14-25_mrc2,full_nu8p00,0,5,20,seville_marathon,ESP,7,2018,2025,2024,-0.011485,0.012038,-2.067254,32,5,-0.016005,-0.006767,0.0,1.0,24.0,36.0,1.0,13.0,100,,headline
ALL_W_14-25_mrc2,full_nu8p00,0,5,20,frankfurt_marathon,GER,9,2015,2025,6306,-0.010729,0.00971,-1.93122,31,6,-0.013335,-0.008123,0.0,1.0,27.95,34.0,3.0,9.05,100,,headline
ALL_W_14-25_mrc2,full_nu8p00,0,5,20,malaga_marathon,ESP,7,2018,2025,1085,-0.009749,0.010892,-1.75473,30,7,-0.014335,-0.00534,0.02,1.0,21.0,35.0,2.0,16.0,100,,headline
ALL_W_14-25_mrc2,full_nu8p00,0,5,20,paris_marathon,FRA,11,2014,2025,21564,-0.00918,0.01486,-1.65237,29,8,-0.01145,-0.004645,0.06,0.98,18.475,32.525,4.475,18.525,100,,headline
ALL_W_14-25_mrc2,full_nu8p00,0,5,20,rotterdam_marathon,NED,7,2018,2025,9300,-0.008216,0.016153,-1.478886,28,9,-0.009646,-0.004928,0.09,1.0,18.475,30.0,7.0,18.525,100,,headline
ALL_W_14-25_mrc2,full_nu8p00,0,5,20,manchester_marathon,GBR,6,2019,2025,6807,-0.008011,0.01886,-1.442026,27,10,-0.010974,-0.006138,0.01,1.0,21.475,31.525,5.475,15.525,100,,headline
ALL_W_14-25_mrc2,full_nu8p00,0,5,20,cologne_marathon,GER,6,2018,2025,1943,-0.007592,0.017726,-1.366499,26,11,-0.011056,-0.001931,0.37,0.86,14.475,31.525,5.475,22.525,100,tie,headline
ALL_W_14-25_mrc2,full_nu8p00,0,5,20,valencia_marathon,ESP,9,2017,2025,8418,-0.007207,0.003236,-1.297331,25,12,-0.010104,-0.004496,0.13,1.0,18.475,30.525,6.475,18.525,100,,headline
