slice,model,thr,series_key,country,k_editions,yr_min,yr_max,median_v,min_at_3h,m_lo95,m_hi95,n_faster_conf,n_slower_conf,n_boot,tier,n_men,n_women
Po10_B_14-25_mrc2,full_nu8p00,0.9,barcelona_marathon,ESP,5,2021,2025,-0.018878,-3.398043,-0.024141,-0.01047,25,0,100,1,430,191
Po10_B_14-25_mrc2,full_nu8p00,0.9,dublin_marathon,IRL,10,2014,2025,-0.017438,-3.138775,-0.019066,-0.012044,26,0,100,1,1426,587
Po10_B_14-25_mrc2,full_nu8p00,0.9,seville_marathon,ESP,7,2018,2025,-0.017357,-3.124267,-0.020548,-0.011536,26,0,100,1,856,329
Po10_B_14-25_mrc2,full_nu8p00,0.9,newport_marathon,GBR,6,2018,2025,-0.017124,-3.082388,-0.019887,-0.012202,26,0,100,1,2277,903
Po10_B_14-25_mrc2,full_nu8p00,0.9,frankfurt_marathon,GER,9,2015,2025,-0.016877,-3.037799,-0.019997,-0.01068,25,0,100,1,1081,276
Po10_B_14-25_mrc2,full_nu8p00,0.9,valencia_marathon,ESP,8,2017,2025,-0.016244,-2.923839,-0.016924,-0.012638,26,0,100,1,2662,928
Po10_B_14-25_mrc2,full_nu8p00,0.9,manchester_marathon,GBR,6,2019,2025,-0.013644,-2.45595,-0.014514,-0.011586,22,3,100,1,15165,6687
Po10_B_14-25_mrc2,full_nu8p00,0.9,paris_marathon,FRA,11,2014,2025,-0.012806,-2.305064,-0.017421,-0.008408,22,0,100,1,1522,636
Po10_B_14-25_mrc2,full_nu8p00,0.9,bostonUK_marathon,GBR,5,2021,2025,-0.011555,-2.079883,-0.015439,-0.006526,17,6,100,2,1094,424
Po10_B_14-25_mrc2,full_nu8p00,0.9,yorkshire_marathon,GBR,6,2019,2025,-0.0111,-1.997949,-0.012858,-0.006427,16,8,100,2,3345,1543
Po10_B_14-25_mrc2,full_nu8p00,0.9,amsterdam_marathon,NED,9,2016,2025,-0.010099,-1.817784,-0.015619,-0.007278,19,6,100,2,1486,565
