slice,model,min_n,min_editions,n_top,series_key,country,k_editions,yr_min,yr_max,n_j_total,median_v,iqr_v,min_at_3h,rank_slow,rank_fast,m_lo95,m_hi95,p_slow,p_fast,rank_slow_lo,rank_slow_hi,rank_fast_lo,rank_fast_hi,n_boot,tier_slow,tier_fast
Po10_B_14-25_mrc2,full_nu8p00,0,5,20,barcelona_marathon,ESP,5,2021,2025,621,-0.018334,0.019716,-3.300209,27,1,-0.023436,-0.010498,0.12,1.0,18.0,27.0,1.0,10.0,100,,headline
Po10_B_14-25_mrc2,full_nu8p00,0,5,20,frankfurt_marathon,GER,9,2015,2025,1357,-0.017157,0.009926,-3.088283,26,2,-0.021099,-0.010802,0.11,1.0,18.0,27.0,1.0,10.0,100,,headline
Po10_B_14-25_mrc2,full_nu8p00,0,5,20,newport_marathon,GBR,6,2018,2025,3180,-0.017031,0.008684,-3.065589,25,3,-0.020212,-0.013342,0.04,1.0,20.0,27.0,1.0,8.0,100,,headline
Po10_B_14-25_mrc2,full_nu8p00,0,5,20,dublin_marathon,IRL,10,2014,2025,2013,-0.016967,0.006932,-3.05413,24,4,-0.019763,-0.012385,0.09,1.0,19.0,27.0,1.0,9.0,100,,headline
Po10_B_14-25_mrc2,full_nu8p00,0,5,20,seville_marathon,ESP,7,2018,2025,1185,-0.016633,0.01004,-2.993982,23,5,-0.020249,-0.011441,0.07,1.0,20.0,27.0,1.0,8.0,100,,headline
Po10_B_14-25_mrc2,full_nu8p00,0,5,20,valencia_marathon,ESP,8,2017,2025,3590,-0.015751,0.008488,-2.835134,22,6,-0.017078,-0.012735,0.1,1.0,19.0,26.0,2.0,9.0,100,,headline
Po10_B_14-25_mrc2,full_nu8p00,0,5,20,paris_marathon,FRA,11,2014,2025,2158,-0.014134,0.017537,-2.544192,21,7,-0.018493,-0.00999,0.28,1.0,16.475,27.0,1.0,11.525,100,tie,headline
Po10_B_14-25_mrc2,full_nu8p00,0,5,20,manchester_marathon,GBR,6,2019,2025,21852,-0.013177,0.025979,-2.371787,20,8,-0.014583,-0.011531,0.63,1.0,18.0,23.0,5.0,10.0,100,headline,headline
Po10_B_14-25_mrc2,full_nu8p00,0,5,20,bostonUK_marathon,GBR,5,2021,2025,1518,-0.010986,0.004176,-1.977497,19,9,-0.015509,-0.006419,0.89,1.0,12.0,23.525,4.475,16.0,100,headline,headline
Po10_B_14-25_mrc2,full_nu8p00,0,5,20,amsterdam_marathon,NED,9,2016,2025,2051,-0.010571,0.01485,-1.902763,18,10,-0.016421,-0.008152,0.78,1.0,14.475,24.0,4.0,13.525,100,headline,headline
Po10_B_14-25_mrc2,full_nu8p00,0,5,20,yorkshire_marathon,GBR,6,2019,2025,4888,-0.010347,0.009814,-1.862426,17,11,-0.012517,-0.00622,0.98,1.0,12.475,20.0,8.0,15.525,100,headline,headline
Po10_B_14-25_mrc2,full_nu8p00,0,5,20,chester_marathon,GBR,9,2016,2025,7859,-0.009289,0.013696,-1.671939,16,12,-0.011442,-0.004987,1.0,1.0,12.0,18.0,10.0,16.0,100,headline,headline
Po10_B_14-25_mrc2,full_nu8p00,0,5,20,berlin_marathon,GER,11,2014,2025,8938,-0.009082,0.013816,-1.634818,15,13,-0.010152,-0.006647,1.0,1.0,13.0,19.0,9.0,15.0,100,headline,headline
Po10_B_14-25_mrc2,full_nu8p00,0,5,20,malaga_marathon,ESP,7,2018,2025,692,-0.00725,0.009355,-1.305077,14,14,-0.013747,-0.000949,0.96,0.99,10.0,22.05,5.95,18.0,100,headline,headline
