slice,model,min_n,min_editions,n_top,series_key,country,k_editions,yr_min,yr_max,n_j_total,median_v,iqr_v,min_at_3h,rank_slow,rank_fast,m_lo95,m_hi95,p_slow,p_fast,rank_slow_lo,rank_slow_hi,rank_fast_lo,rank_fast_hi,n_boot,tier_slow,tier_fast
Po10_M_14-25_mrc2,full_nu8p00,0,3,20,barcelona_marathon,ESP,4,2021,2025,417,-0.021506,0.014521,-3.82974,32,1,-0.025661,-0.013253,0.0,1.0,25.475,32.0,1.0,7.525,100,,headline
Po10_M_14-25_mrc2,full_nu8p00,0,3,20,seville_marathon,ESP,7,2018,2025,855,-0.018604,0.011033,-3.317723,31,2,-0.022573,-0.012755,0.0,1.0,23.475,32.0,1.0,9.525,100,,headline
Po10_M_14-25_mrc2,full_nu8p00,0,3,20,newport_marathon,GBR,6,2018,2025,2277,-0.017593,0.007031,-3.139011,30,3,-0.020182,-0.012305,0.0,1.0,24.475,32.0,1.0,8.525,100,,headline
Po10_M_14-25_mrc2,full_nu8p00,0,3,20,valencia_marathon,ESP,8,2017,2025,2657,-0.017477,0.008512,-3.118485,29,4,-0.019695,-0.01197,0.0,1.0,23.475,31.525,1.475,9.525,100,,headline
Po10_M_14-25_mrc2,full_nu8p00,0,3,20,dublin_marathon,IRL,10,2014,2025,1426,-0.016471,0.008335,-2.940523,28,5,-0.01812,-0.010888,0.01,1.0,22.475,31.0,2.0,10.525,100,,headline
Po10_M_14-25_mrc2,full_nu8p00,0,3,20,frankfurt_marathon,GER,9,2015,2025,1080,-0.015584,0.010557,-2.783436,27,6,-0.019349,-0.010079,0.01,1.0,22.0,32.0,1.0,11.0,100,,headline
Po10_M_14-25_mrc2,full_nu8p00,0,3,20,amsterdam_marathon,NED,9,2016,2025,1486,-0.015145,0.012778,-2.705473,26,7,-0.018412,-0.006348,0.07,1.0,18.475,31.0,2.0,14.525,100,,headline
Po10_M_14-25_mrc2,full_nu8p00,0,3,20,manchester_marathon,GBR,6,2019,2025,15160,-0.014479,0.02747,-2.587486,25,8,-0.015202,-0.011759,0.0,1.0,23.0,28.525,4.475,10.0,100,,headline
Po10_M_14-25_mrc2,full_nu8p00,0,3,20,paris_marathon,FRA,11,2014,2025,1521,-0.012942,0.018178,-2.31451,24,9,-0.01755,-0.00569,0.17,1.0,18.0,31.0,2.0,15.0,100,,headline
Po10_M_14-25_mrc2,full_nu8p00,0,3,20,yorkshire_marathon,GBR,6,2019,2025,3344,-0.011699,0.011243,-2.093534,23,10,-0.014031,-0.006535,0.31,1.0,17.475,26.0,7.0,15.525,100,tie,headline
Po10_M_14-25_mrc2,full_nu8p00,0,3,20,hamburg_marathon,GER,5,2018,2025,139,-0.010531,0.034474,-1.885583,22,11,-0.018501,0.009732,0.65,0.79,7.0,31.525,1.475,26.0,100,headline,headline
Po10_M_14-25_mrc2,full_nu8p00,0,3,20,berlin_marathon,GER,11,2014,2025,5988,-0.010478,0.014543,-1.876242,21,12,-0.012037,-0.007988,0.17,1.0,19.0,24.0,9.0,14.0,100,,headline
Po10_M_14-25_mrc2,full_nu8p00,0,3,20,bostonUK_marathon,GBR,5,2021,2025,1093,-0.010386,0.005906,-1.859726,20,13,-0.01891,-0.005217,0.2,1.0,17.0,30.525,2.475,16.0,100,,headline
Po10_M_14-25_mrc2,full_nu8p00,0,3,20,chicago_marathon,USA,11,2014,2025,2966,-0.01001,0.013464,-1.79275,19,14,-0.012368,-0.003906,0.74,1.0,17.0,24.525,8.475,16.0,100,headline,headline
Po10_M_14-25_mrc2,full_nu8p00,0,3,20,chester_marathon,GBR,9,2016,2025,5396,-0.008202,0.014297,-1.470329,18,15,-0.0101,-0.001216,0.92,1.0,14.0,22.525,10.475,19.0,100,headline,headline
Po10_M_14-25_mrc2,full_nu8p00,0,3,20,abingdon_marathon,GBR,4,2022,2025,1139,-0.007503,0.011193,-1.345563,17,16,-0.009769,-0.002673,0.92,1.0,14.475,21.0,12.0,18.525,100,headline,headline
Po10_M_14-25_mrc2,full_nu8p00,0,3,20,malaga_marathon,ESP,5,2018,2025,468,-0.004492,0.015966,-0.806785,16,17,-0.011161,0.003422,0.94,0.85,9.0,22.525,10.475,24.0,100,headline,headline
Po10_M_14-25_mrc2,full_nu8p00,0,3,20,london_marathon,GBR,11,2014,2025,50208,-0.002868,0.023252,-0.515574,15,18,-0.004075,-0.000596,1.0,0.94,12.0,17.0,16.0,21.0,100,headline,headline
Po10_M_14-25_mrc2,full_nu8p00,0,3,20,prague_marathon,CZE,4,2022,2025,107,-0.0026,0.020156,-0.467399,14,19,-0.012697,0.020065,0.94,0.46,3.475,25.575,7.425,29.525,100,headline,tie
Po10_M_14-25_mrc2,full_nu8p00,0,3,20,edinburgh_marathon,GBR,10,2014,2025,5169,0.001331,0.023843,0.239746,13,20,-0.002225,0.005048,1.0,0.22,8.0,15.525,17.475,25.0,100,headline,
Po10_M_14-25_mrc2,full_nu8p00,0,3,20,copenhagen_marathon,DEN,9,2015,2025,582,0.001658,0.02094,0.298773,12,21,-0.008034,0.008183,0.99,0.5,6.475,19.525,13.475,26.525,100,headline,headline
Po10_M_14-25_mrc2,full_nu8p00,0,3,20,rotterdam_marathon,NED,5,2018,2024,202,0.001765,0.007628,0.317929,11,22,-0.007502,0.008305,0.99,0.43,6.475,19.0,14.0,26.525,100,headline,tie
Po10_M_14-25_mrc2,full_nu8p00,0,3,20,vienna_marathon,AUT,6,2018,2025,229,0.002284,0.041682,0.411634,10,23,-0.005487,0.019445,1.0,0.28,2.475,17.0,16.0,30.525,100,headline,tie
Po10_M_14-25_mrc2,full_nu8p00,0,3,20,tokyo_marathon,JPN,8,2015,2025,1371,0.002438,0.007511,0.439393,9,24,-0.002225,0.006143,1.0,0.24,7.0,15.0,18.0,26.0,100,headline,
Po10_M_14-25_mrc2,full_nu8p00,0,3,20,rome_marathon,ITA,4,2022,2025,220,0.003718,0.012717,0.670452,8,25,-0.005119,0.012739,1.0,0.14,4.0,17.05,15.95,29.0,100,headline,
Po10_M_14-25_mrc2,full_nu8p00,0,3,20,belfast_marathon,GBR,10,2014,2025,1244,0.004245,0.013957,0.765778,7,26,-0.00265,0.010043,1.0,0.05,6.0,14.575,18.425,27.0,100,headline,
Po10_M_14-25_mrc2,full_nu8p00,0,3,20,stockholm_marathon,SWE,8,2014,2024,220,0.010509,0.038642,1.901645,6,27,0.002699,0.025601,1.0,0.0,2.0,9.525,23.475,31.0,100,headline,
Po10_M_14-25_mrc2,full_nu8p00,0,3,20,brighton_marathon,GBR,4,2022,2025,4683,0.010803,0.007184,1.955035,5,28,0.008632,0.014895,1.0,0.0,3.0,7.0,26.0,30.0,100,headline,
Po10_M_14-25_mrc2,full_nu8p00,0,3,20,milton_keynes_marathon,GBR,11,2014,2025,3604,0.012137,0.020921,2.197916,4,29,0.007461,0.01908,1.0,0.0,2.0,7.0,26.0,31.0,100,headline,
Po10_M_14-25_mrc2,full_nu8p00,0,3,20,munich_marathon,GER,3,2023,2025,70,0.014584,0.034262,2.644441,3,30,-0.008424,0.034957,0.97,0.1,1.0,21.15,11.85,32.0,100,headline,
Po10_M_14-25_mrc2,full_nu8p00,0,3,20,nyc_marathon,USA,11,2014,2025,2950,0.021449,0.007538,3.902534,2,31,0.018039,0.025402,1.0,0.0,1.0,4.0,29.0,32.0,100,headline,
Po10_M_14-25_mrc2,full_nu8p00,0,3,20,boston_marathon,USA,11,2014,2025,2743,0.030004,0.036286,5.482586,1,32,0.014239,0.033797,1.0,0.0,1.0,4.0,29.0,32.0,100,headline,
