slice,model,min_n,n_top,race_id,v_raw,n_j,series_key,country,date,year,v,rank_slow,rank_fast,mult,min_at_3h,v_lo95,v_hi95,p_slow,p_fast,rank_slow_lo,rank_slow_hi,rank_fast_lo,rank_fast_hi,n_boot,tier_slow,tier_fast
Po10_M_14-25_mrc2,full_nu8p00,0,20,203,-0.04256,23,hamburg_marathon,GER,2019-04-28,2019,-0.043488,252,1,0.957444,-7.660016,-0.059281,-0.030895,0.0,0.98,243.475,252.0,1.0,9.525,100,,headline
Po10_M_14-25_mrc2,full_nu8p00,0,20,56,-0.041064,41,malaga_marathon,ESP,2019-12-15,2019,-0.041681,251,2,0.959176,-7.348314,-0.052081,-0.029553,0.0,1.0,240.475,252.0,1.0,12.525,100,,headline
Po10_M_14-25_mrc2,full_nu8p00,0,20,221,-0.040504,23,munich_marathon,GER,2025-10-12,2025,-0.038255,250,3,0.962468,-6.755798,-0.080251,-0.001318,0.0,0.7,105.425,252.0,1.0,147.575,100,,headline
Po10_M_14-25_mrc2,full_nu8p00,0,20,310,-0.039082,149,amsterdam_marathon,NED,2025-10-19,2025,-0.036823,249,4,0.963847,-6.507612,-0.042661,-0.028659,0.0,0.99,238.425,251.525,1.475,14.575,100,,headline
Po10_M_14-25_mrc2,full_nu8p00,0,20,308,-0.034581,224,amsterdam_marathon,NED,2023-10-15,2023,-0.033312,248,5,0.967237,-5.897383,-0.039252,-0.028144,0.0,1.0,239.475,250.525,2.475,13.525,100,,headline
Po10_M_14-25_mrc2,full_nu8p00,0,20,176,-0.028568,371,berlin_marathon,GER,2014-09-28,2014,-0.03175,247,6,0.968749,-5.625145,-0.036929,-0.02329,0.0,0.95,225.475,248.525,4.475,27.525,100,,headline
Po10_M_14-25_mrc2,full_nu8p00,0,20,45,-0.031763,39,barcelona_marathon,ESP,2021-11-07,2021,-0.031446,246,7,0.969043,-5.572293,-0.04647,-0.020531,0.0,0.85,216.95,251.0,2.0,36.05,100,,headline
Po10_M_14-25_mrc2,full_nu8p00,0,20,136,-0.027394,4875,london_marathon,GBR,2015-04-26,2015,-0.030293,245,8,0.970161,-5.370954,-0.031753,-0.025911,0.0,1.0,235.475,245.525,7.475,17.525,100,,headline
Po10_M_14-25_mrc2,full_nu8p00,0,20,66,-0.02765,67,seville_marathon,ESP,2019-02-17,2019,-0.028672,244,9,0.971735,-5.087692,-0.038898,-0.017451,0.0,0.87,197.9,250.0,3.0,55.1,100,,headline
Po10_M_14-25_mrc2,full_nu8p00,0,20,377,-0.024836,90,chicago_marathon,USA,2014-10-12,2014,-0.027999,243,10,0.972389,-4.969913,-0.043247,-0.014421,0.0,0.61,181.95,250.0,3.0,71.05,100,,headline
