slice,model,min_n,min_editions,n_top,series_key,country,k_editions,yr_min,yr_max,n_j_total,median_v,iqr_v,min_at_3h,rank_slow,rank_fast,m_lo95,m_hi95,p_slow,p_fast,rank_slow_lo,rank_slow_hi,rank_fast_lo,rank_fast_hi,n_boot,tier_slow,tier_fast
Po10_W_14-25_mrc2,full_nu8p00,0,3,20,amsterdam_marathon,NED,8,2016,2025,549,-0.018112,0.013952,-3.230872,25,1,-0.022008,-0.010201,0.1,1.0,18.0,25.0,1.0,8.0,100,,headline
Po10_W_14-25_mrc2,full_nu8p00,0,3,20,dublin_marathon,IRL,10,2014,2025,587,-0.017694,0.00509,-3.156983,24,2,-0.02094,-0.010898,0.18,1.0,18.0,25.0,1.0,8.0,100,,headline
Po10_W_14-25_mrc2,full_nu8p00,0,3,20,barcelona_marathon,ESP,4,2021,2025,181,-0.016588,0.012918,-2.961243,23,3,-0.027082,-0.008409,0.25,1.0,15.0,25.0,1.0,11.0,100,tie,headline
Po10_W_14-25_mrc2,full_nu8p00,0,3,20,newport_marathon,GBR,6,2018,2025,901,-0.015511,0.010321,-2.770451,22,4,-0.020904,-0.007573,0.34,1.0,14.475,25.0,1.0,11.525,100,tie,headline
Po10_W_14-25_mrc2,full_nu8p00,0,3,20,seville_marathon,ESP,6,2019,2025,310,-0.013781,0.006182,-2.463564,21,5,-0.0197,-0.005463,0.47,1.0,13.0,24.525,1.475,13.0,100,tie,headline
Po10_W_14-25_mrc2,full_nu8p00,0,3,20,frankfurt_marathon,GER,7,2015,2025,233,-0.013242,0.009441,-2.367905,20,6,-0.023016,-0.010229,0.26,1.0,17.475,25.0,1.0,8.525,100,tie,headline
Po10_W_14-25_mrc2,full_nu8p00,0,3,20,manchester_marathon,GBR,6,2019,2025,6682,-0.011652,0.019143,-2.085235,19,7,-0.013054,-0.007893,0.93,1.0,14.0,21.0,5.0,12.0,100,headline,headline
Po10_W_14-25_mrc2,full_nu8p00,0,3,20,valencia_marathon,ESP,8,2017,2025,924,-0.011025,0.009215,-1.973532,18,8,-0.015175,-0.005721,0.81,1.0,13.0,23.0,3.0,13.0,100,headline,headline
Po10_W_14-25_mrc2,full_nu8p00,0,3,20,chester_marathon,GBR,9,2016,2025,2460,-0.010364,0.016658,-1.855866,17,9,-0.013274,-0.004539,0.94,1.0,12.475,21.0,5.0,13.525,100,headline,headline
Po10_W_14-25_mrc2,full_nu8p00,0,3,20,paris_marathon,FRA,10,2014,2025,617,-0.009941,0.024746,-1.780477,16,10,-0.016991,-0.001821,0.86,1.0,11.0,23.0,3.0,15.0,100,headline,headline
Po10_W_14-25_mrc2,full_nu8p00,0,3,20,abingdon_marathon,GBR,4,2022,2025,432,-0.008057,0.00703,-1.444403,15,11,-0.011625,-0.00113,0.98,1.0,10.475,19.525,6.475,15.525,100,headline,headline
Po10_W_14-25_mrc2,full_nu8p00,0,3,20,yorkshire_marathon,GBR,6,2019,2025,1542,-0.007962,0.011354,-1.427447,14,12,-0.012434,-0.002934,0.99,1.0,11.475,19.0,7.0,14.525,100,headline,headline
Po10_W_14-25_mrc2,full_nu8p00,0,3,20,malaga_marathon,ESP,4,2018,2025,161,-0.007085,0.009254,-1.270731,13,13,-0.01584,0.00357,0.94,0.99,7.0,23.0,3.0,19.0,100,headline,headline
Po10_W_14-25_mrc2,full_nu8p00,0,3,20,bostonUK_marathon,GBR,5,2021,2025,423,-0.00567,0.005223,-1.01764,12,14,-0.013996,-0.000229,0.95,1.0,8.475,21.0,5.0,17.525,100,headline,headline
Po10_W_14-25_mrc2,full_nu8p00,0,3,20,berlin_marathon,GER,11,2014,2025,2944,-0.003939,0.014757,-0.707686,11,15,-0.006555,0.000404,1.0,1.0,8.475,14.0,12.0,17.525,100,headline,headline
Po10_W_14-25_mrc2,full_nu8p00,0,3,20,chicago_marathon,USA,10,2014,2025,1613,-0.002619,0.014386,-0.470802,10,16,-0.005243,0.002612,1.0,1.0,7.0,13.0,13.0,19.0,100,headline,headline
