slice,model,min_n,n_top,race_id,v_raw,n_j,series_key,country,date,year,v,rank_slow,rank_fast,mult,min_at_3h,v_lo95,v_hi95,p_slow,p_fast,rank_slow_lo,rank_slow_hi,rank_fast_lo,rank_fast_hi,n_boot,tier_slow,tier_fast
Po10_W_14-25_mrc2,full_nu8p00,0,20,96,-0.041279,21,belfast_marathon,GBR,2014-05-05,2014,-0.037435,203,1,0.963257,-6.613665,-0.062892,-0.011483,0.0,0.85,138.375,203.0,1.0,65.625,100,,headline
Po10_W_14-25_mrc2,full_nu8p00,0,20,66,-0.034697,22,seville_marathon,ESP,2019-02-17,2019,-0.033556,202,2,0.967001,-5.939872,-0.052427,-0.008157,0.0,0.86,125.85,203.0,1.0,78.15,100,,headline
Po10_W_14-25_mrc2,full_nu8p00,0,20,49,-0.027694,80,barcelona_marathon,ESP,2025-03-16,2025,-0.029982,201,3,0.970463,-5.316696,-0.039871,-0.020399,0.0,0.95,176.95,203.0,1.0,27.05,100,,headline
Po10_W_14-25_mrc2,full_nu8p00,0,20,310,-0.026918,70,amsterdam_marathon,NED,2025-10-19,2025,-0.029541,200,4,0.970891,-5.239542,-0.039888,-0.017894,0.0,0.86,170.375,203.0,1.0,33.625,100,,headline
Po10_W_14-25_mrc2,full_nu8p00,0,20,91,-0.027033,33,paris_marathon,FRA,2025-04-13,2025,-0.029364,199,5,0.971063,-5.208643,-0.048533,-0.00835,0.0,0.82,122.85,203.0,1.0,81.15,100,,headline
Po10_W_14-25_mrc2,full_nu8p00,0,20,305,-0.027084,62,amsterdam_marathon,NED,2019-10-20,2019,-0.026322,198,6,0.974021,-4.67619,-0.043222,-0.015655,0.0,0.77,161.0,203.0,1.0,43.0,100,,headline
Po10_W_14-25_mrc2,full_nu8p00,0,20,86,-0.02652,50,paris_marathon,FRA,2019-04-14,2019,-0.025466,197,7,0.974856,-4.525966,-0.048377,-0.00773,0.0,0.66,120.9,203.0,1.0,83.1,100,,headline
Po10_W_14-25_mrc2,full_nu8p00,0,20,201,-0.022557,26,frankfurt_marathon,GER,2025-10-26,2025,-0.02519,196,8,0.975124,-4.477653,-0.034115,-0.011707,0.0,0.64,137.475,201.525,2.475,66.525,100,,headline
Po10_W_14-25_mrc2,full_nu8p00,0,20,194,-0.026813,31,frankfurt_marathon,GER,2016-10-30,2016,-0.024375,195,9,0.97592,-4.334396,-0.045944,0.002912,0.0,0.61,73.275,202.0,2.0,130.725,100,,headline
Po10_W_14-25_mrc2,full_nu8p00,0,20,116,-0.026802,167,chester_marathon,GBR,2016-10-02,2016,-0.02432,194,10,0.975973,-4.324784,-0.033165,-0.015109,0.0,0.65,155.0,200.525,3.475,49.0,100,,headline
Po10_W_14-25_mrc2,full_nu8p00,0,20,169,-0.021908,149,newport_marathon,GBR,2025-04-13,2025,-0.024239,193,11,0.976052,-4.310643,-0.033115,-0.016764,0.0,0.72,166.475,200.0,4.0,37.525,100,,headline
Po10_W_14-25_mrc2,full_nu8p00,0,20,136,-0.027296,2350,london_marathon,GBR,2015-04-26,2015,-0.024002,192,12,0.976283,-4.269007,-0.026549,-0.02057,0.0,0.79,175.475,194.525,9.475,28.525,100,,headline
Po10_W_14-25_mrc2,full_nu8p00,0,20,235,-0.024572,56,dublin_marathon,IRL,2019-10-27,2019,-0.023821,191,13,0.976461,-4.237076,-0.034697,-0.009492,0.0,0.57,130.375,201.0,3.0,73.625,100,,headline
Po10_W_14-25_mrc2,full_nu8p00,0,20,234,-0.025052,58,dublin_marathon,IRL,2018-10-28,2018,-0.023738,190,14,0.976542,-4.222465,-0.035505,-0.01322,0.0,0.59,147.95,201.0,3.0,56.05,100,,headline
Po10_W_14-25_mrc2,full_nu8p00,0,20,125,-0.027396,160,edinburgh_marathon,GBR,2014-05-25,2014,-0.023583,189,15,0.976693,-4.195225,-0.035082,-0.014804,0.0,0.57,150.95,201.0,3.0,53.05,100,,headline
Po10_W_14-25_mrc2,full_nu8p00,0,20,308,-0.020533,122,amsterdam_marathon,NED,2023-10-15,2023,-0.022021,188,16,0.978219,-3.920526,-0.028973,-0.015871,0.0,0.55,159.425,195.525,8.475,44.575,100,,headline
Po10_W_14-25_mrc2,full_nu8p00,0,20,82,-0.024895,91,paris_marathon,FRA,2015-04-12,2015,-0.02158,187,17,0.978652,-3.842725,-0.031717,-0.011406,0.0,0.42,135.475,199.525,4.475,68.525,100,,tie
Po10_W_14-25_mrc2,full_nu8p00,0,20,124,-0.01857,208,chester_marathon,GBR,2025-10-05,2025,-0.021172,186,18,0.979051,-3.770863,-0.027226,-0.011435,0.0,0.31,137.95,193.0,11.0,66.05,100,,tie
Po10_W_14-25_mrc2,full_nu8p00,0,20,78,-0.019534,222,valencia_marathon,ESP,2023-12-03,2023,-0.021097,185,19,0.979124,-3.757733,-0.026957,-0.01661,0.0,0.31,161.0,194.05,9.95,43.0,100,,tie
Po10_W_14-25_mrc2,full_nu8p00,0,20,48,-0.019329,42,barcelona_marathon,ESP,2024-03-10,2024,-0.021045,184,20,0.979175,-3.748519,-0.036163,-0.007993,0.0,0.47,121.95,200.0,4.0,82.05,100,,tie
Po10_W_14-25_mrc2,full_nu8p00,0,20,231,-0.024019,74,dublin_marathon,IRL,2015-10-26,2015,-0.021008,183,21,0.979211,-3.741975,-0.034736,-0.009267,0.0,0.48,126.425,200.525,3.475,77.575,100,,tie
Po10_W_14-25_mrc2,full_nu8p00,0,20,367,-0.023393,75,boston_marathon,USA,2015-04-20,2015,-0.02009,182,22,0.98011,-3.580176,-0.027263,-0.010277,0.0,0.3,134.475,195.0,9.0,69.525,100,,tie
Po10_W_14-25_mrc2,full_nu8p00,0,20,197,-0.020326,39,frankfurt_marathon,GER,2019-10-27,2019,-0.019575,181,23,0.980616,-3.489173,-0.035319,-0.006632,0.0,0.39,114.325,201.0,3.0,89.675,100,,tie
Po10_W_14-25_mrc2,full_nu8p00,0,20,232,-0.021708,68,dublin_marathon,IRL,2016-10-30,2016,-0.01927,180,24,0.980915,-3.43538,-0.028466,-0.008464,0.0,0.24,120.8,197.525,6.475,83.2,100,,
Po10_W_14-25_mrc2,full_nu8p00,0,20,165,-0.020195,148,newport_marathon,GBR,2019-05-05,2019,-0.019173,179,25,0.98101,-3.418236,-0.030532,-0.007001,0.0,0.31,115.8,198.0,6.0,88.2,100,,tie
Po10_W_14-25_mrc2,full_nu8p00,0,20,177,-0.022154,180,berlin_marathon,GER,2015-09-27,2015,-0.019099,178,26,0.981082,-3.405183,-0.02746,-0.011328,0.0,0.15,139.9,194.0,10.0,64.1,100,,
Po10_W_14-25_mrc2,full_nu8p00,0,20,239,-0.016385,38,dublin_marathon,IRL,2025-10-26,2025,-0.019019,177,27,0.98116,-3.391144,-0.027637,-0.006192,0.0,0.17,110.85,196.575,7.425,93.15,100,,
