slice,model,min_n,min_editions,n_top,series_key,country,k_editions,yr_min,yr_max,n_j_total,median_v,iqr_v,min_at_3h,rank_slow,rank_fast,m_lo95,m_hi95,p_slow,p_fast,rank_slow_lo,rank_slow_hi,rank_fast_lo,rank_fast_hi,n_boot,tier_slow,tier_fast
WA_M_14-25_mrc2,full_nu8p00,0,3,20,hannover_marathon,GER,3,2022,2025,115,-0.019092,0.007063,-3.404045,28,1,-0.023869,-0.012048,0.0,1.0,24.0,28.0,1.0,5.0,100,,headline
WA_M_14-25_mrc2,full_nu8p00,0,3,20,valencia_marathon,ESP,9,2017,2025,2831,-0.013424,0.004002,-2.400163,27,2,-0.015794,-0.012074,0.0,1.0,23.475,28.0,1.0,5.525,100,,headline
WA_M_14-25_mrc2,full_nu8p00,0,3,20,berlin_marathon,GER,11,2014,2025,2325,-0.013108,0.011468,-2.344108,26,3,-0.014503,-0.009414,0.0,1.0,23.0,27.0,2.0,6.0,100,,headline
WA_M_14-25_mrc2,full_nu8p00,0,3,20,zurich_marathon,SUI,3,2023,2025,68,-0.012322,0.005269,-2.204323,25,4,-0.022161,-0.00639,0.03,1.0,20.475,28.0,1.0,8.525,100,,headline
WA_M_14-25_mrc2,full_nu8p00,0,3,20,seville_marathon,ESP,7,2018,2025,960,-0.012291,0.007864,-2.198835,24,5,-0.019048,-0.009957,0.0,1.0,22.0,28.0,1.0,7.0,100,,headline
WA_M_14-25_mrc2,full_nu8p00,0,3,20,tokyo_marathon,JPN,9,2015,2025,1346,-0.008275,0.014417,-1.483442,23,6,-0.013253,-0.004315,0.32,1.0,17.0,25.525,3.475,12.0,100,tie,headline
WA_M_14-25_mrc2,full_nu8p00,0,3,20,eindhoven_marathon,NED,5,2019,2025,204,-0.007684,0.005203,-1.377881,22,7,-0.013364,-0.002846,0.53,1.0,15.0,25.575,3.425,14.0,100,headline,headline
WA_M_14-25_mrc2,full_nu8p00,0,3,20,barcelona_marathon,ESP,5,2021,2025,287,-0.006503,0.004382,-1.16673,21,8,-0.012985,-0.002069,0.47,1.0,14.95,24.0,5.0,14.05,100,tie,headline
WA_M_14-25_mrc2,full_nu8p00,0,3,20,frankfurt_marathon,GER,9,2015,2025,882,-0.005892,0.007611,-1.057486,20,9,-0.009925,-0.001455,0.71,1.0,15.0,23.0,6.0,14.0,100,headline,headline
WA_M_14-25_mrc2,full_nu8p00,0,3,20,paris_marathon,FRA,11,2014,2025,631,-0.005029,0.007221,-0.902884,19,10,-0.010437,-0.001608,0.66,1.0,15.0,23.0,6.0,14.0,100,headline,headline
WA_M_14-25_mrc2,full_nu8p00,0,3,20,melbourne_marathon,AUS,4,2019,2025,112,-0.004836,0.012032,-0.868456,18,11,-0.014042,0.009523,0.69,0.92,4.95,25.0,4.0,24.05,100,headline,headline
WA_M_14-25_mrc2,full_nu8p00,0,3,20,rotterdam_marathon,NED,7,2018,2025,702,-0.004723,0.008335,-0.848211,17,12,-0.006954,0.00164,0.95,1.0,11.0,21.0,8.0,18.0,100,headline,headline
WA_M_14-25_mrc2,full_nu8p00,0,3,20,amsterdam_marathon,NED,9,2016,2025,714,-0.004093,0.014149,-0.735315,16,13,-0.01031,-0.001385,0.74,1.0,15.0,23.0,6.0,14.0,100,headline,headline
WA_M_14-25_mrc2,full_nu8p00,0,3,20,dublin_marathon,IRL,9,2015,2025,361,-0.003705,0.014857,-0.665586,15,14,-0.008567,0.003717,0.94,0.97,8.475,22.0,7.0,20.525,100,headline,headline
WA_M_14-25_mrc2,full_nu8p00,0,3,20,hamburg_marathon,GER,6,2018,2025,319,-0.000926,0.009586,-0.166679,14,15,-0.003608,0.004596,1.0,0.94,7.475,16.525,12.475,21.525,100,headline,headline
WA_M_14-25_mrc2,full_nu8p00,0,3,20,london_marathon,GBR,12,2014,2025,2928,0.000534,0.009904,0.096224,13,16,-0.001315,0.003135,1.0,0.96,8.0,15.0,14.0,21.0,100,headline,headline
WA_M_14-25_mrc2,full_nu8p00,0,3,20,rome_marathon,ITA,3,2023,2025,72,0.000908,0.005592,0.163551,12,17,-0.006699,0.009785,0.98,0.68,4.0,19.525,9.475,25.0,100,headline,headline
