slice,model,min_n,n_top,race_id,v_raw,n_j,series_key,country,date,year,v,rank_slow,rank_fast,mult,min_at_3h,v_lo95,v_hi95,p_slow,p_fast,rank_slow_lo,rank_slow_hi,rank_fast_lo,rank_fast_hi,n_boot,tier_slow,tier_fast
WA_M_14-25_mrc2,full_nu8p00,0,20,285,-0.019797,69,tokyo_marathon,JPN,2015-02-22,2015,-0.028025,196,1,0.972364,-4.974502,-0.035011,-0.01973,0.0,0.99,188.475,196.0,1.0,8.525,100,,headline
WA_M_14-25_mrc2,full_nu8p00,0,20,354,-0.027527,20,zurich_marathon,SUI,2025-04-13,2025,-0.022725,195,2,0.977532,-4.044325,-0.031165,-0.007707,0.0,0.82,131.9,196.0,1.0,65.1,100,,headline
WA_M_14-25_mrc2,full_nu8p00,0,20,78,-0.024284,659,valencia_marathon,ESP,2023-12-03,2023,-0.021229,194,3,0.978995,-3.780922,-0.02381,-0.01903,0.0,1.0,185.475,194.525,2.475,11.525,100,,headline
WA_M_14-25_mrc2,full_nu8p00,0,20,67,-0.019145,99,seville_marathon,ESP,2020-02-23,2020,-0.020942,193,4,0.979275,-3.730412,-0.025344,-0.014471,0.0,0.95,167.375,195.0,2.0,29.625,100,,headline
WA_M_14-25_mrc2,full_nu8p00,0,20,75,-0.019756,49,valencia_marathon,ESP,2020-12-06,2020,-0.020543,192,5,0.979666,-3.66007,-0.027138,-0.016112,0.0,0.96,175.475,195.0,2.0,21.525,100,,headline
WA_M_14-25_mrc2,full_nu8p00,0,20,176,-0.011118,73,berlin_marathon,GER,2014-09-28,2014,-0.019865,191,6,0.980331,-3.540408,-0.026432,-0.013484,0.0,0.78,161.475,194.525,2.475,35.525,100,,headline
WA_M_14-25_mrc2,full_nu8p00,0,20,288,-0.015437,114,tokyo_marathon,JPN,2018-02-25,2018,-0.019798,190,7,0.980397,-3.528608,-0.025287,-0.015361,0.0,0.94,170.9,195.0,2.0,26.1,100,,headline
WA_M_14-25_mrc2,full_nu8p00,0,20,214,-0.02454,40,hannover_marathon,GER,2025-04-06,2025,-0.019762,189,8,0.980432,-3.522297,-0.02871,-0.013466,0.0,0.86,164.475,196.0,1.0,32.525,100,,headline
WA_M_14-25_mrc2,full_nu8p00,0,20,68,-0.020195,130,seville_marathon,ESP,2022-02-20,2022,-0.019432,188,9,0.980755,-3.464067,-0.023563,-0.014689,0.0,0.9,169.475,194.525,2.475,27.525,100,,headline
WA_M_14-25_mrc2,full_nu8p00,0,20,211,-0.020003,36,hannover_marathon,GER,2022-04-03,2022,-0.019092,187,10,0.981089,-3.404045,-0.027559,-0.012427,0.0,0.77,154.0,195.0,2.0,43.0,100,,headline
WA_M_14-25_mrc2,full_nu8p00,0,20,377,-0.009534,78,chicago_marathon,USA,2014-10-12,2014,-0.018231,186,11,0.981934,-3.25189,-0.023814,-0.011724,0.0,0.73,154.425,194.525,2.475,42.575,100,,headline
WA_M_14-25_mrc2,full_nu8p00,0,20,239,-0.02355,55,dublin_marathon,IRL,2025-10-26,2025,-0.018058,185,12,0.982104,-3.221327,-0.026569,-0.009802,0.0,0.65,142.95,195.0,2.0,54.05,100,,headline
WA_M_14-25_mrc2,full_nu8p00,0,20,70,-0.021287,297,seville_marathon,ESP,2024-02-18,2024,-0.017961,184,13,0.9822,-3.204039,-0.0223,-0.014701,0.0,0.86,170.475,192.525,4.475,26.525,100,,headline
WA_M_14-25_mrc2,full_nu8p00,0,20,310,-0.022963,114,amsterdam_marathon,NED,2025-10-19,2025,-0.017496,183,14,0.982656,-3.121874,-0.02392,-0.013213,0.0,0.61,154.475,194.0,3.0,42.525,100,,headline
WA_M_14-25_mrc2,full_nu8p00,0,20,177,-0.009973,164,berlin_marathon,GER,2015-09-27,2015,-0.017438,182,15,0.982713,-3.111598,-0.021385,-0.014021,0.0,0.72,164.325,190.525,6.475,32.675,100,,headline
WA_M_14-25_mrc2,full_nu8p00,0,20,74,-0.014457,97,valencia_marathon,ESP,2019-12-01,2019,-0.016551,181,16,0.983585,-2.954647,-0.021447,-0.010551,0.0,0.48,144.0,192.05,4.95,53.0,100,,tie
WA_M_14-25_mrc2,full_nu8p00,0,20,193,-0.008998,56,frankfurt_marathon,GER,2015-10-25,2015,-0.016364,180,17,0.983769,-2.921607,-0.022464,-0.009205,0.0,0.39,135.475,192.05,4.95,61.525,100,,tie
WA_M_14-25_mrc2,full_nu8p00,0,20,315,-0.017695,49,eindhoven_marathon,NED,2022-10-09,2022,-0.016119,179,18,0.98401,-2.878214,-0.023489,-0.009238,0.0,0.61,140.0,195.0,2.0,57.0,100,,headline
WA_M_14-25_mrc2,full_nu8p00,0,20,80,-0.021737,443,valencia_marathon,ESP,2025-12-07,2025,-0.016097,178,19,0.984032,-2.874319,-0.018839,-0.012221,0.0,0.31,154.95,184.525,12.475,42.05,100,,tie
WA_M_14-25_mrc2,full_nu8p00,0,20,290,-0.016754,127,tokyo_marathon,JPN,2022-03-06,2022,-0.015942,177,20,0.984185,-2.846772,-0.021473,-0.010288,0.0,0.42,146.95,192.525,4.475,50.05,100,,tie
WA_M_14-25_mrc2,full_nu8p00,0,20,306,-0.016234,79,amsterdam_marathon,NED,2021-10-17,2021,-0.015915,176,21,0.984211,-2.842105,-0.023055,-0.01105,0.0,0.38,148.475,192.05,4.95,48.525,100,,tie
WA_M_14-25_mrc2,full_nu8p00,0,20,308,-0.018392,113,amsterdam_marathon,NED,2023-10-15,2023,-0.01551,175,22,0.98461,-2.77021,-0.019517,-0.011224,0.0,0.37,151.425,187.0,10.0,45.575,100,,tie
WA_M_14-25_mrc2,full_nu8p00,0,20,181,-0.012874,249,berlin_marathon,GER,2019-09-29,2019,-0.01519,174,23,0.984925,-2.713571,-0.01852,-0.012425,0.0,0.25,156.0,184.0,13.0,41.0,100,,tie
WA_M_14-25_mrc2,full_nu8p00,0,20,382,-0.012902,147,chicago_marathon,USA,2019-10-13,2019,-0.015168,173,24,0.984946,-2.709661,-0.020271,-0.010377,0.0,0.39,142.475,189.525,7.475,54.525,100,,tie
WA_M_14-25_mrc2,full_nu8p00,0,20,185,-0.018975,411,berlin_marathon,GER,2024-09-29,2024,-0.01486,172,25,0.98525,-2.654995,-0.01745,-0.012403,0.0,0.17,155.475,182.525,14.475,41.525,100,,
WA_M_14-25_mrc2,full_nu8p00,0,20,323,-0.016821,161,rotterdam_marathon,NED,2023-04-16,2023,-0.01458,171,26,0.985526,-2.605289,-0.017957,-0.009591,0.0,0.11,141.475,183.0,14.0,55.525,100,,
WA_M_14-25_mrc2,full_nu8p00,0,20,366,-0.004804,87,boston_marathon,USA,2014-04-21,2014,-0.014114,170,27,0.985985,-2.522705,-0.020099,-0.006212,0.0,0.33,123.0,187.0,10.0,74.0,100,,tie
WA_M_14-25_mrc2,full_nu8p00,0,20,77,-0.015197,460,valencia_marathon,ESP,2022-12-04,2022,-0.013424,169,28,0.986666,-2.400163,-0.016366,-0.010561,0.0,0.02,145.375,175.525,21.475,51.625,100,,
WA_M_14-25_mrc2,full_nu8p00,0,20,184,-0.016215,355,berlin_marathon,GER,2023-09-24,2023,-0.013406,168,29,0.986683,-2.396995,-0.016153,-0.011146,0.0,0.02,148.0,176.0,21.0,49.0,100,,
WA_M_14-25_mrc2,full_nu8p00,0,20,49,-0.018022,133,barcelona_marathon,ESP,2025-03-16,2025,-0.013318,167,30,0.98677,-2.38143,-0.018385,-0.008339,0.0,0.16,132.425,182.525,14.475,64.575,100,,
WA_M_14-25_mrc2,full_nu8p00,0,20,79,-0.017594,634,valencia_marathon,ESP,2024-12-01,2024,-0.013257,166,31,0.98683,-2.37055,-0.015471,-0.010789,0.0,0.0,145.475,172.525,24.475,51.525,100,,
WA_M_14-25_mrc2,full_nu8p00,0,20,183,-0.014635,239,berlin_marathon,GER,2022-09-25,2022,-0.013108,165,32,0.986977,-2.344108,-0.016341,-0.009183,0.0,0.02,142.475,176.0,21.0,54.525,100,,
WA_M_14-25_mrc2,full_nu8p00,0,20,170,-0.01082,26,yorkshire_marathon,GBR,2019-10-20,2019,-0.013062,164,33,0.987023,-2.335846,-0.028146,-0.001451,0.0,0.35,95.125,196.0,1.0,101.875,100,,tie
WA_M_14-25_mrc2,full_nu8p00,0,20,76,-0.01304,250,valencia_marathon,ESP,2021-12-05,2021,-0.012549,163,34,0.98753,-2.244634,-0.01566,-0.009462,0.0,0.01,141.0,173.525,23.475,56.0,100,,
WA_M_14-25_mrc2,full_nu8p00,0,20,353,-0.01587,24,zurich_marathon,SUI,2024-04-21,2024,-0.012322,162,35,0.987754,-2.204323,-0.021547,-0.006047,0.0,0.23,124.95,190.05,6.95,72.05,100,,
WA_M_14-25_mrc2,full_nu8p00,0,20,66,-0.009187,46,seville_marathon,ESP,2019-02-17,2019,-0.012291,161,36,0.987784,-2.198835,-0.020028,-0.006685,0.0,0.19,124.0,189.625,7.375,73.0,100,,
WA_M_14-25_mrc2,full_nu8p00,0,20,352,-0.014453,24,zurich_marathon,SUI,2023-04-23,2023,-0.012186,160,37,0.987888,-2.180228,-0.021404,-0.002135,0.0,0.19,102.9,190.1,6.9,94.1,100,,
WA_M_14-25_mrc2,full_nu8p00,0,20,286,-0.005159,61,tokyo_marathon,JPN,2016-02-28,2016,-0.01208,159,38,0.987992,-2.161399,-0.019166,-0.005254,0.0,0.09,116.475,184.525,12.475,80.525,100,,
