slice,model,min_n,n_top,race_id,v_raw,n_j,series_key,country,date,year,v,rank_slow,rank_fast,mult,min_at_3h,v_lo95,v_hi95,p_slow,p_fast,rank_slow_lo,rank_slow_hi,rank_fast_lo,rank_fast_hi,n_boot,tier_slow,tier_fast
WA_W_14-25_mrc2,full_nu8p00,0,20,239,-0.044519,24,dublin_marathon,IRL,2025-10-26,2025,-0.025912,150,1,0.974421,-4.604271,-0.035457,-0.01281,0.0,0.93,121.125,150.0,1.0,29.875,100,,headline
WA_W_14-25_mrc2,full_nu8p00,0,20,82,-0.000912,20,paris_marathon,FRA,2015-04-12,2015,-0.025161,149,2,0.975153,-4.472481,-0.034452,-0.011279,0.0,0.95,115.175,150.0,1.0,35.825,100,,headline
WA_W_14-25_mrc2,full_nu8p00,0,20,310,-0.040834,50,amsterdam_marathon,NED,2025-10-19,2025,-0.022306,148,3,0.977941,-3.970551,-0.033587,-0.012545,0.0,0.94,123.475,150.0,1.0,27.525,100,,headline
WA_W_14-25_mrc2,full_nu8p00,0,20,238,-0.036494,33,dublin_marathon,IRL,2024-10-27,2024,-0.021931,147,4,0.978308,-3.904637,-0.032445,-0.009425,0.0,0.91,106.475,150.0,1.0,44.525,100,,headline
WA_W_14-25_mrc2,full_nu8p00,0,20,285,0.002922,53,tokyo_marathon,JPN,2015-02-22,2015,-0.021873,146,5,0.978365,-3.89434,-0.033216,-0.011906,0.0,0.95,120.275,150.0,1.0,30.725,100,,headline
WA_W_14-25_mrc2,full_nu8p00,0,20,176,0.006187,43,berlin_marathon,GER,2014-09-28,2014,-0.020247,145,6,0.979957,-3.607758,-0.030039,-0.0095,0.0,0.77,108.325,150.0,1.0,42.675,100,,headline
WA_W_14-25_mrc2,full_nu8p00,0,20,67,-0.01567,32,seville_marathon,ESP,2020-02-23,2020,-0.020122,144,7,0.980079,-3.585794,-0.033595,-0.006228,0.0,0.81,92.85,150.0,1.0,58.15,100,,headline
WA_W_14-25_mrc2,full_nu8p00,0,20,235,-0.013806,39,dublin_marathon,IRL,2019-10-27,2019,-0.019585,143,8,0.980605,-3.491089,-0.029956,-0.004396,0.0,0.75,83.5,150.0,1.0,67.5,100,,headline
WA_W_14-25_mrc2,full_nu8p00,0,20,78,-0.030292,267,valencia_marathon,ESP,2023-12-03,2023,-0.019395,142,9,0.980792,-3.457452,-0.022775,-0.015912,0.0,0.99,132.475,147.0,4.0,18.525,100,,headline
WA_W_14-25_mrc2,full_nu8p00,0,20,77,-0.025201,157,valencia_marathon,ESP,2022-12-04,2022,-0.018359,141,10,0.981809,-3.274467,-0.02234,-0.013554,0.0,0.85,126.475,146.0,5.0,24.525,100,,headline
