slice,rank,series_key,country,k_editions,yr_min,yr_max,tier,n_men,n_women,n_total,point_median_v,boot_p50,boot_median_min3h,boot_min,boot_p025,boot_p25,boot_p75,boot_p975,boot_max,boot_whislo,boot_whishi,sex_v_men,sex_v_women,sex_contrast_r,sex_contrast_min3h,sex_flag
Po10_B_14-25_mrc2,1,barcelona_marathon,ESP,5,2021,2025,1,430,191,621,-0.018878,-0.017604,-3.168643,-0.02509,-0.024141,-0.020165,-0.015087,-0.01047,-0.007529,-0.02509,-0.007529,-0.021506,-0.018674,0.005233,0.941902,False
Po10_B_14-25_mrc2,2,newport_marathon,GBR,6,2018,2025,1,2277,903,3180,-0.017124,-0.016657,-2.998326,-0.021702,-0.019887,-0.017833,-0.015315,-0.012202,-0.011312,-0.020201,-0.011659,-0.017593,-0.01746,-0.000777,-0.139881,False
Po10_B_14-25_mrc2,3,seville_marathon,ESP,7,2018,2025,1,856,329,1185,-0.017357,-0.016009,-2.881619,-0.021562,-0.020548,-0.017461,-0.014652,-0.011536,-0.009203,-0.021562,-0.011444,-0.020584,-0.015703,-0.003178,-0.571965,False
Po10_B_14-25_mrc2,4,dublin_marathon,IRL,10,2014,2025,1,1426,587,2013,-0.017438,-0.015509,-2.79158,-0.019857,-0.019066,-0.016627,-0.014222,-0.012044,-0.010722,-0.019857,-0.010722,-0.016471,-0.018514,0.002362,0.425102,False
Po10_B_14-25_mrc2,5,frankfurt_marathon,GER,9,2015,2025,1,1081,276,1357,-0.016877,-0.015443,-2.779699,-0.021105,-0.019997,-0.016831,-0.0139,-0.01068,-0.006794,-0.021105,-0.010582,-0.020613,-0.015295,0.002737,0.492658,False
Po10_B_14-25_mrc2,6,valencia_marathon,ESP,8,2017,2025,1,2662,928,3590,-0.016244,-0.014852,-2.673298,-0.018202,-0.016924,-0.015659,-0.014031,-0.012638,-0.012393,-0.017187,-0.012393,-0.017477,-0.013209,-0.004161,-0.748931,False
Po10_B_14-25_mrc2,7,paris_marathon,FRA,11,2014,2025,1,1522,636,2158,-0.012806,-0.013969,-2.514471,-0.018097,-0.017421,-0.015931,-0.011902,-0.008408,-0.001119,-0.018097,-0.007766,-0.012967,-0.009805,-0.00398,-0.716315,False
Po10_B_14-25_mrc2,8,manchester_marathon,GBR,6,2019,2025,1,15165,6687,21852,-0.013644,-0.013159,-2.368621,-0.014721,-0.014514,-0.013747,-0.012571,-0.011586,-0.010687,-0.014721,-0.011236,-0.014479,-0.013666,-0.000713,-0.128275,False
Po10_B_14-25_mrc2,9,amsterdam_marathon,NED,9,2016,2025,2,1486,565,2051,-0.010099,-0.011157,-2.008307,-0.016378,-0.015619,-0.012612,-0.009492,-0.007278,-0.006536,-0.016378,-0.006536,-0.013684,-0.01958,0.00267,0.480551,False
Po10_B_14-25_mrc2,10,bostonUK_marathon,GBR,5,2021,2025,2,1094,424,1518,-0.011555,-0.010709,-1.927652,-0.016582,-0.015439,-0.012133,-0.008937,-0.006526,-0.003255,-0.016582,-0.004983,-0.010386,-0.007868,-0.002208,-0.39746,False
Po10_B_14-25_mrc2,11,yorkshire_marathon,GBR,6,2019,2025,2,3345,1543,4888,-0.0111,-0.00994,-1.789141,-0.013177,-0.012858,-0.010851,-0.008347,-0.006427,-0.005738,-0.013177,-0.005738,-0.011699,-0.009476,0.002021,0.363824,False
Po10_B_14-25_mrc2,12,chester_marathon,GBR,9,2016,2025,2,5398,2461,7859,-0.00994,-0.008583,-1.544874,-0.012794,-0.011661,-0.009921,-0.007095,-0.004888,-0.003331,-0.012794,-0.003331,-0.008202,-0.01178,0.002731,0.491658,False
Po10_B_14-25_mrc2,13,berlin_marathon,GER,11,2014,2025,3,5989,2949,8938,-0.00822,-0.008374,-1.507262,-0.010624,-0.010086,-0.009019,-0.007596,-0.006121,-0.004485,-0.010624,-0.006032,-0.010478,-0.00583,-0.004282,-0.770761,True
Po10_B_14-25_mrc2,14,chicago_marathon,USA,11,2014,2025,3,2968,1629,4597,-0.008003,-0.006248,-1.124671,-0.010212,-0.009106,-0.007365,-0.005078,-0.002226,-0.000115,-0.010212,-0.002055,-0.010184,-0.003933,-0.005998,-1.079727,True
Po10_B_14-25_mrc2,15,malaga_marathon,ESP,7,2018,2025,3,507,185,692,-0.008126,-0.006148,-1.10655,-0.01546,-0.01415,-0.009047,-0.003837,-0.000393,0.004141,-0.01546,0.002901,-0.002339,-0.008662,0.005746,1.034292,False
