series_key,country,k_editions,cohort_contrast_r,cohort_contrast_min3h,cohort_z,cohort_flag,rank_ALL,rank_Po10,d_rank
boston_marathon,USA,11,-0.005543,-0.997724,3.723455,True,31,33,2
paris_marathon,FRA,11,0.008656,1.558113,3.540919,True,7,2,-5
stockholm_marathon,SWE,8,-0.012211,-2.19795,2.866096,True,6,25,19
rotterdam_marathon,NED,6,0.010627,1.912881,2.743222,True,17,13,-4
barcelona_marathon,ESP,5,0.006937,1.248621,2.128851,True,14,7,-7
munich_marathon,GER,4,-0.013482,-2.426841,2.069182,True,21,32,11
rome_marathon,ITA,4,0.007725,1.390518,1.965265,False,29,29,0
chicago_marathon,USA,11,-0.002951,-0.531176,1.733966,False,13,10,-3
dublin_marathon,IRL,10,0.003619,0.651452,1.668931,False,5,6,1
nyc_marathon,USA,11,-0.002433,-0.437878,1.465653,False,33,31,-2
vienna_marathon,AUT,6,-0.007805,-1.404851,1.460464,False,24,28,4
amsterdam_marathon,NED,9,0.002468,0.444192,1.306888,False,3,4,1
london_marathon,GBR,11,0.000916,0.164867,1.256383,False,23,22,-1
valencia_marathon,ESP,8,0.001858,0.334383,1.255496,False,9,8,-1
manchester_marathon,GBR,6,0.001216,0.21887,1.245489,False,8,9,1
edinburgh_marathon,GBR,10,0.001751,0.315198,1.180233,False,27,26,-1
berlin_marathon,GER,11,-0.001232,-0.221803,1.104588,False,10,11,1
frankfurt_marathon,GER,9,0.002031,0.365499,0.919642,False,2,1,-1
malaga_marathon,ESP,7,-0.002602,-0.468354,0.789046,False,11,14,3
seville_marathon,ESP,7,0.001553,0.279552,0.758584,False,4,5,1
hamburg_marathon,GER,6,-0.003546,-0.638266,0.756556,False,15,18,3
chester_marathon,GBR,9,0.001196,0.215348,0.753021,False,18,16,-2
milton_keynes_marathon,GBR,11,0.001351,0.24312,0.629998,False,28,27,-1
copenhagen_marathon,DEN,9,0.001847,0.332412,0.604982,False,26,23,-3
prague_marathon,CZE,4,0.002662,0.479089,0.489915,False,30,24,-6
yorkshire_marathon,GBR,6,0.000709,0.12756,0.454288,False,16,15,-1
belfast_marathon,GBR,10,0.001242,0.223472,0.438792,False,25,21,-4
cologne_marathon,GER,4,0.002095,0.377145,0.38516,False,20,19,-1
newport_marathon,GBR,6,0.000805,0.144988,0.358964,False,1,3,2
brighton_marathon,GBR,4,0.000279,0.050201,0.159512,False,32,30,-2
bostonUK_marathon,GBR,5,0.000205,0.036869,0.070389,False,12,12,0
abingdon_marathon,GBR,4,-5.7e-05,-0.010171,0.024546,False,22,20,-2
tokyo_marathon,JPN,8,-3.6e-05,-0.006542,0.019701,False,19,17,-2
