label,slice_A,slice_B,model,series_key,country,year,race_id,n_j_A,n_j_B,v_A,v_B,dv,r,r_min_at_3h,sd_boot,z,n_boot,rank_A,rank_B,d_rank,flag
ALLvsPo10_B_14-25_mrc2,ALL_B_14-25_mrc2,Po10_B_14-25_mrc2,full_nu8p00,rotterdam_marathon,NED,2019,320,6015,60,0.018687,0.000557,0.018131,0.023176,4.171766,0.004676,4.956621,4000,229,134,-95,True
ALLvsPo10_B_14-25_mrc2,ALL_B_14-25_mrc2,Po10_B_14-25_mrc2,full_nu8p00,boston_marathon,USA,2017,369,2731,275,0.028089,0.054991,-0.026902,-0.019608,-3.529406,0.003968,4.941811,4000,249,256,7,True
ALLvsPo10_B_14-25_mrc2,ALL_B_14-25_mrc2,Po10_B_14-25_mrc2,full_nu8p00,berlin_marathon,GER,2025,186,4665,1048,0.045144,0.048179,-0.003035,-0.01084,-1.951129,0.00231,4.692444,4000,259,259,0,True
ALLvsPo10_B_14-25_mrc2,ALL_B_14-25_mrc2,Po10_B_14-25_mrc2,full_nu8p00,paris_marathon,FRA,2024,90,10031,162,-0.011232,-0.000144,-0.011088,-0.015264,-2.747538,0.003861,3.953497,4000,77,178,101,True
ALLvsPo10_B_14-25_mrc2,ALL_B_14-25_mrc2,Po10_B_14-25_mrc2,full_nu8p00,chicago_marathon,USA,2025,387,10705,508,0.009903,-0.00716,0.017063,0.009106,1.639138,0.002309,3.943426,4000,197,166,-31,True
ALLvsPo10_B_14-25_mrc2,ALL_B_14-25_mrc2,Po10_B_14-25_mrc2,full_nu8p00,boston_marathon,USA,2022,373,5199,779,0.00427,0.011525,-0.007255,-0.007193,-1.294652,0.001835,3.920097,4000,179,205,26,True
ALLvsPo10_B_14-25_mrc2,ALL_B_14-25_mrc2,Po10_B_14-25_mrc2,full_nu8p00,valencia_marathon,ESP,2018,73,6614,258,-0.009552,-0.017571,0.00802,0.013516,2.432905,0.003587,3.767816,4000,89,35,-54,True
ALLvsPo10_B_14-25_mrc2,ALL_B_14-25_mrc2,Po10_B_14-25_mrc2,full_nu8p00,amsterdam_marathon,NED,2019,305,3434,278,-0.013342,-0.021916,0.008574,0.012872,2.317041,0.003572,3.604028,4000,66,22,-44,True
ALLvsPo10_B_14-25_mrc2,ALL_B_14-25_mrc2,Po10_B_14-25_mrc2,full_nu8p00,boston_marathon,USA,2016,368,2176,209,0.014695,0.037568,-0.022874,-0.014743,-2.653674,0.004149,3.553303,4000,217,243,26,True
ALLvsPo10_B_14-25_mrc2,ALL_B_14-25_mrc2,Po10_B_14-25_mrc2,full_nu8p00,valencia_marathon,ESP,2025,80,8228,642,-0.002608,-0.019235,0.016627,0.008261,1.486938,0.002344,3.52494,4000,142,86,-56,True
ALLvsPo10_B_14-25_mrc2,ALL_B_14-25_mrc2,Po10_B_14-25_mrc2,full_nu8p00,nyc_marathon,USA,2014,388,17332,269,-0.019657,0.004143,-0.0238,-0.014802,-2.664443,0.004274,3.463044,4000,36,130,94,True
ALLvsPo10_B_14-25_mrc2,ALL_B_14-25_mrc2,Po10_B_14-25_mrc2,full_nu8p00,chicago_marathon,USA,2022,384,13875,754,-0.002136,-0.010194,0.008058,0.007169,1.290426,0.002193,3.268824,4000,148,97,-51,True
ALLvsPo10_B_14-25_mrc2,ALL_B_14-25_mrc2,Po10_B_14-25_mrc2,full_nu8p00,london_marathon,GBR,2015,136,8246,7230,-0.033705,-0.02975,-0.003955,0.004805,0.864971,0.001517,3.16806,4000,3,2,-1,True
ALLvsPo10_B_14-25_mrc2,ALL_B_14-25_mrc2,Po10_B_14-25_mrc2,full_nu8p00,rotterdam_marathon,NED,2018,319,5508,63,0.014844,0.004809,0.010034,0.016315,2.936735,0.005211,3.130627,4000,219,155,-64,True
