label,slice_A,slice_B,model,series_key,country,k_editions,median_vA,median_vBstar,contrast_r,r_min_at_3h,m_lo95,m_hi95,sd_boot,z,n_boot,rank_A,rank_B,flag,d_rank
ALLvsPo10_B_14-25_mrc2,ALL_B_14-25_mrc2,Po10_B_14-25_mrc2,full_nu8p00,boston_marathon,USA,11,0.013873,0.025687,-0.005543,-0.997724,-0.008366,-0.002684,0.001489,3.723455,4000,31,33,True,2
ALLvsPo10_B_14-25_mrc2,ALL_B_14-25_mrc2,Po10_B_14-25_mrc2,full_nu8p00,paris_marathon,FRA,11,-0.010555,-0.016485,0.008656,1.558113,0.001068,0.010925,0.002445,3.540919,4000,7,2,True,-5
ALLvsPo10_B_14-25_mrc2,ALL_B_14-25_mrc2,Po10_B_14-25_mrc2,full_nu8p00,stockholm_marathon,SWE,8,-0.010924,0.003629,-0.012211,-2.19795,-0.022054,-0.005283,0.00426,2.866096,4000,6,25,True,19
ALLvsPo10_B_14-25_mrc2,ALL_B_14-25_mrc2,Po10_B_14-25_mrc2,full_nu8p00,rotterdam_marathon,NED,6,-0.00529,-0.006346,0.010627,1.912881,0.001315,0.016403,0.003874,2.743222,4000,17,13,True,-4
ALLvsPo10_B_14-25_mrc2,ALL_B_14-25_mrc2,Po10_B_14-25_mrc2,full_nu8p00,barcelona_marathon,ESP,5,-0.007623,-0.014338,0.006937,1.248621,0.000365,0.013312,0.003258,2.128851,4000,14,7,True,-7
ALLvsPo10_B_14-25_mrc2,ALL_B_14-25_mrc2,Po10_B_14-25_mrc2,full_nu8p00,munich_marathon,GER,4,-0.002033,0.016273,-0.013482,-2.426841,-0.026514,-0.00074,0.006516,2.069182,4000,21,32,True,11
ALLvsPo10_B_14-25_mrc2,ALL_B_14-25_mrc2,Po10_B_14-25_mrc2,full_nu8p00,rome_marathon,ITA,4,0.010016,0.008414,0.007725,1.390518,0.000654,0.01622,0.003931,1.965265,4000,29,29,False,0
ALLvsPo10_B_14-25_mrc2,ALL_B_14-25_mrc2,Po10_B_14-25_mrc2,full_nu8p00,chicago_marathon,USA,11,-0.00765,-0.009305,-0.002951,-0.531176,-0.005154,0.001461,0.001702,1.733966,4000,13,10,False,-3
ALLvsPo10_B_14-25_mrc2,ALL_B_14-25_mrc2,Po10_B_14-25_mrc2,full_nu8p00,dublin_marathon,IRL,10,-0.012074,-0.014974,0.003619,0.651452,-0.000966,0.007474,0.002169,1.668931,4000,5,6,False,1
ALLvsPo10_B_14-25_mrc2,ALL_B_14-25_mrc2,Po10_B_14-25_mrc2,full_nu8p00,nyc_marathon,USA,11,0.014321,0.015344,-0.002433,-0.437878,-0.006149,0.000777,0.00166,1.465653,4000,33,31,False,-2
ALLvsPo10_B_14-25_mrc2,ALL_B_14-25_mrc2,Po10_B_14-25_mrc2,full_nu8p00,vienna_marathon,AUT,6,0.000855,0.008157,-0.007805,-1.404851,-0.018782,0.002292,0.005344,1.460464,4000,24,28,False,4
ALLvsPo10_B_14-25_mrc2,ALL_B_14-25_mrc2,Po10_B_14-25_mrc2,full_nu8p00,amsterdam_marathon,NED,9,-0.013342,-0.016212,0.002468,0.444192,-0.00011,0.007247,0.001888,1.306888,4000,3,4,False,1
ALLvsPo10_B_14-25_mrc2,ALL_B_14-25_mrc2,Po10_B_14-25_mrc2,full_nu8p00,london_marathon,GBR,11,-5e-05,0.000213,0.000916,0.164867,-0.000555,0.002239,0.000729,1.256383,4000,23,22,False,-1
ALLvsPo10_B_14-25_mrc2,ALL_B_14-25_mrc2,Po10_B_14-25_mrc2,full_nu8p00,valencia_marathon,ESP,8,-0.009627,-0.012659,0.001858,0.334383,-0.000359,0.005402,0.00148,1.255496,4000,9,8,False,-1
ALLvsPo10_B_14-25_mrc2,ALL_B_14-25_mrc2,Po10_B_14-25_mrc2,full_nu8p00,manchester_marathon,GBR,6,-0.009758,-0.010078,0.001216,0.21887,-0.001093,0.002765,0.000976,1.245489,4000,8,9,False,1
ALLvsPo10_B_14-25_mrc2,ALL_B_14-25_mrc2,Po10_B_14-25_mrc2,full_nu8p00,edinburgh_marathon,GBR,10,0.005678,0.004476,0.001751,0.315198,-0.000641,0.005114,0.001484,1.180233,4000,27,26,False,-1
ALLvsPo10_B_14-25_mrc2,ALL_B_14-25_mrc2,Po10_B_14-25_mrc2,full_nu8p00,berlin_marathon,GER,11,-0.00836,-0.008499,-0.001232,-0.221803,-0.002817,0.001632,0.001116,1.104588,4000,10,11,False,1
ALLvsPo10_B_14-25_mrc2,ALL_B_14-25_mrc2,Po10_B_14-25_mrc2,full_nu8p00,frankfurt_marathon,GER,9,-0.015336,-0.017304,0.002031,0.365499,-0.001612,0.006972,0.002208,0.919642,4000,2,1,False,-1
ALLvsPo10_B_14-25_mrc2,ALL_B_14-25_mrc2,Po10_B_14-25_mrc2,full_nu8p00,malaga_marathon,ESP,7,-0.008259,-0.005378,-0.002602,-0.468354,-0.008181,0.004893,0.003298,0.789046,4000,11,14,False,3
ALLvsPo10_B_14-25_mrc2,ALL_B_14-25_mrc2,Po10_B_14-25_mrc2,full_nu8p00,seville_marathon,ESP,7,-0.012416,-0.015129,0.001553,0.279552,-0.002149,0.006091,0.002047,0.758584,4000,4,5,False,1
ALLvsPo10_B_14-25_mrc2,ALL_B_14-25_mrc2,Po10_B_14-25_mrc2,full_nu8p00,hamburg_marathon,GER,6,-0.006663,-0.002061,-0.003546,-0.638266,-0.012059,0.006004,0.004687,0.756556,4000,15,18,False,3
ALLvsPo10_B_14-25_mrc2,ALL_B_14-25_mrc2,Po10_B_14-25_mrc2,full_nu8p00,chester_marathon,GBR,9,-0.004655,-0.003917,0.001196,0.215348,-0.00247,0.003923,0.001589,0.753021,4000,18,16,False,-2
ALLvsPo10_B_14-25_mrc2,ALL_B_14-25_mrc2,Po10_B_14-25_mrc2,full_nu8p00,milton_keynes_marathon,GBR,11,0.007865,0.006002,0.001351,0.24312,-0.002362,0.006067,0.002144,0.629998,4000,28,27,False,-1
ALLvsPo10_B_14-25_mrc2,ALL_B_14-25_mrc2,Po10_B_14-25_mrc2,full_nu8p00,copenhagen_marathon,DEN,9,0.004894,0.000397,0.001847,0.332412,-0.006708,0.005127,0.003053,0.604982,4000,26,23,False,-3
ALLvsPo10_B_14-25_mrc2,ALL_B_14-25_mrc2,Po10_B_14-25_mrc2,full_nu8p00,prague_marathon,CZE,4,0.011887,0.001678,0.002662,0.479089,-0.006742,0.014781,0.005433,0.489915,4000,30,24,False,-6
ALLvsPo10_B_14-25_mrc2,ALL_B_14-25_mrc2,Po10_B_14-25_mrc2,full_nu8p00,yorkshire_marathon,GBR,6,-0.005732,-0.004524,0.000709,0.12756,-0.002875,0.0034,0.00156,0.454288,4000,16,15,False,-1
ALLvsPo10_B_14-25_mrc2,ALL_B_14-25_mrc2,Po10_B_14-25_mrc2,full_nu8p00,belfast_marathon,GBR,10,0.002344,-2e-05,0.001242,0.223472,-0.003149,0.00782,0.002829,0.438792,4000,25,21,False,-4
ALLvsPo10_B_14-25_mrc2,ALL_B_14-25_mrc2,Po10_B_14-25_mrc2,full_nu8p00,cologne_marathon,GER,4,-0.002396,-0.001155,0.002095,0.377145,-0.007447,0.012586,0.00544,0.38516,4000,20,19,False,-1
ALLvsPo10_B_14-25_mrc2,ALL_B_14-25_mrc2,Po10_B_14-25_mrc2,full_nu8p00,newport_marathon,GBR,6,-0.016942,-0.016269,0.000805,0.144988,-0.003624,0.005273,0.002244,0.358964,4000,1,3,False,2
ALLvsPo10_B_14-25_mrc2,ALL_B_14-25_mrc2,Po10_B_14-25_mrc2,full_nu8p00,brighton_marathon,GBR,4,0.014264,0.014569,0.000279,0.050201,-0.003305,0.003398,0.001748,0.159512,4000,32,30,False,-2
ALLvsPo10_B_14-25_mrc2,ALL_B_14-25_mrc2,Po10_B_14-25_mrc2,full_nu8p00,bostonUK_marathon,GBR,5,-0.007667,-0.008144,0.000205,0.036869,-0.0058,0.005799,0.00291,0.070389,4000,12,12,False,0
ALLvsPo10_B_14-25_mrc2,ALL_B_14-25_mrc2,Po10_B_14-25_mrc2,full_nu8p00,abingdon_marathon,GBR,4,-0.001331,-0.001105,-5.7e-05,-0.010171,-0.004438,0.004644,0.002302,0.024546,4000,22,20,False,-2
ALLvsPo10_B_14-25_mrc2,ALL_B_14-25_mrc2,Po10_B_14-25_mrc2,full_nu8p00,tokyo_marathon,JPN,8,-0.003974,-0.00361,-3.6e-05,-0.006542,-0.00351,0.003805,0.001845,0.019701,4000,19,17,False,-2
