label,slice_A,slice_B,model,series_key,country,year,race_id,n_j_A,n_j_B,v_A,v_B,dv,r,r_min_at_3h,sd_boot,z,n_boot,rank_A,rank_B,d_rank,flag
ALLvsPo10_M_14-25_mrc2,ALL_M_14-25_mrc2,Po10_M_14-25_mrc2,full_nu8p00,chicago_marathon,USA,2022,384,7984,481,-0.006772,-0.014913,0.008141,0.009359,1.684663,0.002297,4.074605,4000,122,66,-56,True
ALLvsPo10_M_14-25_mrc2,ALL_M_14-25_mrc2,Po10_M_14-25_mrc2,full_nu8p00,berlin_marathon,GER,2025,186,3128,654,0.036472,0.045747,-0.009275,-0.011002,-1.980402,0.002801,3.927872,4000,243,242,-1,True
ALLvsPo10_M_14-25_mrc2,ALL_M_14-25_mrc2,Po10_M_14-25_mrc2,full_nu8p00,milan_marathon,ITA,2024,244,2963,61,0.008254,-0.017993,0.026247,0.026234,4.722164,0.007114,3.687795,4000,181,49,-132,True
ALLvsPo10_M_14-25_mrc2,ALL_M_14-25_mrc2,Po10_M_14-25_mrc2,full_nu8p00,valencia_marathon,ESP,2025,80,6917,487,-0.009886,-0.021668,0.011782,0.009764,1.757469,0.002831,3.44926,4000,98,40,-58,True
ALLvsPo10_M_14-25_mrc2,ALL_M_14-25_mrc2,Po10_M_14-25_mrc2,full_nu8p00,chicago_marathon,USA,2025,387,6303,350,0.001747,-0.010358,0.012105,0.0103,1.853984,0.003015,3.41655,4000,160,112,-48,True
ALLvsPo10_M_14-25_mrc2,ALL_M_14-25_mrc2,Po10_M_14-25_mrc2,full_nu8p00,malaga_marathon,ESP,2019,56,266,41,-0.019873,-0.041681,0.021808,0.023877,4.297798,0.007202,3.315052,4000,24,2,-22,True
ALLvsPo10_M_14-25_mrc2,ALL_M_14-25_mrc2,Po10_M_14-25_mrc2,full_nu8p00,rotterdam_marathon,NED,2018,319,4357,51,0.019957,0.003852,0.016106,0.017767,3.198121,0.005362,3.31334,4000,220,158,-62,True
ALLvsPo10_M_14-25_mrc2,ALL_M_14-25_mrc2,Po10_M_14-25_mrc2,full_nu8p00,rotterdam_marathon,NED,2019,320,4741,50,0.022239,0.005874,0.016365,0.018351,3.303138,0.005632,3.258247,4000,227,167,-60,True
ALLvsPo10_M_14-25_mrc2,ALL_M_14-25_mrc2,Po10_M_14-25_mrc2,full_nu8p00,nyc_marathon,USA,2014,388,10589,180,-0.008871,0.006432,-0.015302,-0.016587,-2.985685,0.005186,3.198557,4000,105,183,78,True
ALLvsPo10_M_14-25_mrc2,ALL_M_14-25_mrc2,Po10_M_14-25_mrc2,full_nu8p00,boston_marathon,USA,2017,369,1658,190,0.042908,0.058526,-0.015618,-0.014505,-2.610959,0.004684,3.096495,4000,246,246,0,True
ALLvsPo10_M_14-25_mrc2,ALL_M_14-25_mrc2,Po10_M_14-25_mrc2,full_nu8p00,valencia_marathon,ESP,2018,73,5832,181,-0.007663,-0.018218,0.010554,0.012455,2.241829,0.004133,3.013582,4000,114,37,-77,True
ALLvsPo10_M_14-25_mrc2,ALL_M_14-25_mrc2,Po10_M_14-25_mrc2,full_nu8p00,london_marathon,GBR,2015,136,5597,4875,-0.024177,-0.030293,0.006116,0.005414,0.974498,0.001892,2.860741,4000,11,9,-2,True
ALLvsPo10_M_14-25_mrc2,ALL_M_14-25_mrc2,Po10_M_14-25_mrc2,full_nu8p00,amsterdam_marathon,NED,2019,305,2762,215,-0.01072,-0.019626,0.008906,0.010967,1.974039,0.003856,2.844464,4000,91,32,-59,True
ALLvsPo10_M_14-25_mrc2,ALL_M_14-25_mrc2,Po10_M_14-25_mrc2,full_nu8p00,amsterdam_marathon,NED,2023,308,3038,224,-0.024281,-0.033312,0.009031,0.009472,1.704984,0.00338,2.802447,4000,10,5,-5,True
ALLvsPo10_M_14-25_mrc2,ALL_M_14-25_mrc2,Po10_M_14-25_mrc2,full_nu8p00,boston_marathon,USA,2021,372,819,29,0.004193,0.032939,-0.028746,-0.027008,-4.861497,0.010481,2.576774,4000,165,232,67,True
ALLvsPo10_M_14-25_mrc2,ALL_M_14-25_mrc2,Po10_M_14-25_mrc2,full_nu8p00,vienna_marathon,AUT,2018,17,426,24,0.023217,0.064172,-0.040954,-0.039276,-7.0696,0.015308,2.565656,4000,230,247,17,True
ALLvsPo10_M_14-25_mrc2,ALL_M_14-25_mrc2,Po10_M_14-25_mrc2,full_nu8p00,seville_marathon,ESP,2018,65,310,45,-0.026305,-0.003157,-0.023148,-0.021539,-3.876941,0.00856,2.516313,4000,6,127,121,True
ALLvsPo10_M_14-25_mrc2,ALL_M_14-25_mrc2,Po10_M_14-25_mrc2,full_nu8p00,paris_marathon,FRA,2024,90,7942,107,-0.016161,-0.003906,-0.012256,-0.012268,-2.208318,0.004934,2.486385,4000,48,133,85,True
ALLvsPo10_M_14-25_mrc2,ALL_M_14-25_mrc2,Po10_M_14-25_mrc2,full_nu8p00,vienna_marathon,AUT,2023,21,650,38,0.015951,0.047681,-0.03173,-0.030891,-5.560434,0.013125,2.353623,4000,203,240,37,True
ALLvsPo10_M_14-25_mrc2,ALL_M_14-25_mrc2,Po10_M_14-25_mrc2,full_nu8p00,hamburg_marathon,GER,2019,203,2873,23,-0.026337,-0.043488,0.017151,0.019148,3.446558,0.008212,2.331532,4000,5,1,-4,True
ALLvsPo10_M_14-25_mrc2,ALL_M_14-25_mrc2,Po10_M_14-25_mrc2,full_nu8p00,chicago_marathon,USA,2017,380,7972,197,0.017824,0.029116,-0.011292,-0.009882,-1.778808,0.004273,2.312915,4000,213,227,14,True
ALLvsPo10_M_14-25_mrc2,ALL_M_14-25_mrc2,Po10_M_14-25_mrc2,full_nu8p00,barcelona_marathon,ESP,2021,45,637,39,-0.016289,-0.031446,0.015158,0.016864,3.035591,0.007327,2.30177,4000,47,6,-41,True
ALLvsPo10_M_14-25_mrc2,ALL_M_14-25_mrc2,Po10_M_14-25_mrc2,full_nu8p00,london_marathon,GBR,2016,137,6100,5197,-0.017444,-0.020661,0.003217,0.003549,0.638908,0.001558,2.278857,4000,37,36,-1,True
