label,slice_A,slice_B,model,series_key,country,k_editions,median_vA,median_vBstar,contrast_r,r_min_at_3h,m_lo95,m_hi95,sd_boot,z,n_boot,rank_A,rank_B,flag,d_rank
ALLvsPo10_M_14-25_mrc2,ALL_M_14-25_mrc2,Po10_M_14-25_mrc2,full_nu8p00,stockholm_marathon,SWE,8,-0.005333,0.011216,-0.012186,-2.193558,-0.021594,-0.003632,0.004653,2.618851,4000,19,28,True,9
ALLvsPo10_M_14-25_mrc2,ALL_M_14-25_mrc2,Po10_M_14-25_mrc2,full_nu8p00,paris_marathon,FRA,11,-0.011877,-0.01125,0.005075,0.913438,-0.000401,0.009257,0.002453,2.068397,4000,10,11,True,1
ALLvsPo10_M_14-25_mrc2,ALL_M_14-25_mrc2,Po10_M_14-25_mrc2,full_nu8p00,munich_marathon,GER,3,-0.007455,0.015149,-0.020403,-3.672461,-0.036893,0.004783,0.009947,2.051072,4000,16,30,True,14
ALLvsPo10_M_14-25_mrc2,ALL_M_14-25_mrc2,Po10_M_14-25_mrc2,full_nu8p00,barcelona_marathon,ESP,4,-0.014415,-0.021008,0.005895,1.061062,-0.000636,0.011913,0.003312,1.780089,4000,3,1,False,-2
ALLvsPo10_M_14-25_mrc2,ALL_M_14-25_mrc2,Po10_M_14-25_mrc2,full_nu8p00,amsterdam_marathon,NED,9,-0.01072,-0.014559,0.003513,0.632307,0.000193,0.008087,0.002026,1.734055,4000,11,8,False,-3
ALLvsPo10_M_14-25_mrc2,ALL_M_14-25_mrc2,Po10_M_14-25_mrc2,full_nu8p00,valencia_marathon,ESP,8,-0.012595,-0.01772,0.002474,0.445259,-0.000462,0.005638,0.001502,1.647364,4000,8,3,False,-5
ALLvsPo10_M_14-25_mrc2,ALL_M_14-25_mrc2,Po10_M_14-25_mrc2,full_nu8p00,rome_marathon,ITA,4,0.005022,0.004225,0.007756,1.396093,-0.002686,0.015632,0.004752,1.632153,4000,26,26,False,0
ALLvsPo10_M_14-25_mrc2,ALL_M_14-25_mrc2,Po10_M_14-25_mrc2,full_nu8p00,dublin_marathon,IRL,10,-0.013038,-0.016816,0.003882,0.698687,-0.001314,0.008423,0.002502,1.551142,4000,7,6,False,-1
ALLvsPo10_M_14-25_mrc2,ALL_M_14-25_mrc2,Po10_M_14-25_mrc2,full_nu8p00,manchester_marathon,GBR,6,-0.014249,-0.01489,0.001466,0.263927,-0.001251,0.002894,0.001057,1.387694,4000,4,7,False,3
ALLvsPo10_M_14-25_mrc2,ALL_M_14-25_mrc2,Po10_M_14-25_mrc2,full_nu8p00,copenhagen_marathon,DEN,9,0.002532,0.000865,0.004796,0.863211,-0.006628,0.008421,0.00373,1.285588,4000,25,21,False,-4
ALLvsPo10_M_14-25_mrc2,ALL_M_14-25_mrc2,Po10_M_14-25_mrc2,full_nu8p00,london_marathon,GBR,11,-0.002739,-0.003707,0.000967,0.174145,-0.000664,0.00228,0.000759,1.274489,4000,21,17,False,-4
ALLvsPo10_M_14-25_mrc2,ALL_M_14-25_mrc2,Po10_M_14-25_mrc2,full_nu8p00,boston_marathon,USA,11,0.009718,0.028014,-0.002085,-0.375267,-0.005963,0.000543,0.001643,1.269138,4000,29,32,False,3
ALLvsPo10_M_14-25_mrc2,ALL_M_14-25_mrc2,Po10_M_14-25_mrc2,full_nu8p00,nyc_marathon,USA,11,0.017507,0.021573,-0.0021,-0.378016,-0.005943,0.001181,0.001784,1.177062,4000,32,31,False,-1
ALLvsPo10_M_14-25_mrc2,ALL_M_14-25_mrc2,Po10_M_14-25_mrc2,full_nu8p00,edinburgh_marathon,GBR,10,0.002224,0.000936,0.002049,0.368861,-0.000551,0.00633,0.001751,1.170055,4000,24,22,False,-2
