label,slice_A,slice_B,model,series_key,country,year,race_id,n_j_A,n_j_B,v_A,v_B,dv,r,r_min_at_3h,sd_boot,z,n_boot,rank_A,rank_B,d_rank,flag
ALLvsPo10_W_14-25_mrc2,ALL_W_14-25_mrc2,Po10_W_14-25_mrc2,full_nu8p00,boston_marathon,USA,2022,373,1944,276,-0.000696,0.015963,-0.016659,-0.015159,-2.728542,0.003038,4.98971,4000,120,165,45,True
ALLvsPo10_W_14-25_mrc2,ALL_W_14-25_mrc2,Po10_W_14-25_mrc2,full_nu8p00,boston_marathon,USA,2017,369,1073,85,0.024436,0.050423,-0.025987,-0.024838,-4.470887,0.005696,4.360304,4000,191,197,6,True
ALLvsPo10_W_14-25_mrc2,ALL_W_14-25_mrc2,Po10_W_14-25_mrc2,full_nu8p00,boston_marathon,USA,2019,371,1496,162,0.020629,0.041217,-0.020588,-0.01874,-3.373234,0.005238,3.577794,4000,183,193,10,True
ALLvsPo10_W_14-25_mrc2,ALL_W_14-25_mrc2,Po10_W_14-25_mrc2,full_nu8p00,boston_marathon,USA,2016,368,903,78,0.014509,0.038336,-0.023827,-0.023304,-4.194645,0.006782,3.435947,4000,167,192,25,True
ALLvsPo10_W_14-25_mrc2,ALL_W_14-25_mrc2,Po10_W_14-25_mrc2,full_nu8p00,paris_marathon,FRA,2015,82,1949,91,-0.001991,-0.02158,0.019589,0.01928,3.470444,0.005727,3.366533,4000,114,20,-94,True
ALLvsPo10_W_14-25_mrc2,ALL_W_14-25_mrc2,Po10_W_14-25_mrc2,full_nu8p00,nyc_marathon,USA,2015,389,8040,102,0.011803,0.030929,-0.019126,-0.018956,-3.412159,0.005883,3.222459,4000,161,190,29,True
ALLvsPo10_W_14-25_mrc2,ALL_W_14-25_mrc2,Po10_W_14-25_mrc2,full_nu8p00,berlin_marathon,GER,2025,186,1537,393,0.040751,0.049942,-0.00919,-0.010138,-1.824877,0.003534,2.868838,4000,199,198,-1,True
ALLvsPo10_W_14-25_mrc2,ALL_W_14-25_mrc2,Po10_W_14-25_mrc2,full_nu8p00,paris_marathon,FRA,2018,85,2426,42,0.019724,0.042334,-0.02261,-0.021027,-3.784922,0.007586,2.771833,4000,181,195,14,True
ALLvsPo10_W_14-25_mrc2,ALL_W_14-25_mrc2,Po10_W_14-25_mrc2,full_nu8p00,amsterdam_marathon,NED,2022,307,711,75,-0.006022,-0.018837,0.012816,0.014098,2.537576,0.005163,2.73038,4000,90,26,-64,True
ALLvsPo10_W_14-25_mrc2,ALL_W_14-25_mrc2,Po10_W_14-25_mrc2,full_nu8p00,chicago_marathon,USA,2018,381,6616,203,-0.001344,0.010115,-0.011459,-0.009722,-1.749947,0.003691,2.634172,4000,115,158,43,True
