label,slice_A,slice_B,model,series_key,country,k_editions,median_vA,median_vBstar,contrast_r,r_min_at_3h,m_lo95,m_hi95,sd_boot,z,n_boot,rank_A,rank_B,flag,d_rank
ALLvsPo10_W_14-25_mrc2,ALL_W_14-25_mrc2,Po10_W_14-25_mrc2,full_nu8p00,boston_marathon,USA,10,0.009231,0.021038,-0.007077,-1.273827,-0.013666,-0.004656,0.002283,3.099524,4000,22,25,True,3
ALLvsPo10_W_14-25_mrc2,ALL_W_14-25_mrc2,Po10_W_14-25_mrc2,full_nu8p00,paris_marathon,FRA,10,-0.00683,-0.009794,0.011535,2.076278,-0.000505,0.015009,0.004107,2.808854,4000,14,10,True,-4
ALLvsPo10_W_14-25_mrc2,ALL_W_14-25_mrc2,Po10_W_14-25_mrc2,full_nu8p00,nyc_marathon,USA,11,0.014512,0.020207,-0.00449,-0.808242,-0.009027,-0.000976,0.002058,2.182191,4000,25,24,True,-1
ALLvsPo10_W_14-25_mrc2,ALL_W_14-25_mrc2,Po10_W_14-25_mrc2,full_nu8p00,barcelona_marathon,ESP,4,-0.011503,-0.017625,0.008951,1.61109,9.5e-05,0.017044,0.0045,1.98901,4000,7,2,False,-5
ALLvsPo10_W_14-25_mrc2,ALL_W_14-25_mrc2,Po10_W_14-25_mrc2,full_nu8p00,valencia_marathon,ESP,8,-0.007848,-0.012445,0.003588,0.64585,-0.002035,0.006842,0.002295,1.563284,4000,12,8,False,-4
ALLvsPo10_W_14-25_mrc2,ALL_W_14-25_mrc2,Po10_W_14-25_mrc2,full_nu8p00,frankfurt_marathon,GER,7,-0.013043,-0.014994,0.005113,0.920304,-0.002537,0.012381,0.003672,1.392253,4000,3,5,False,2
ALLvsPo10_W_14-25_mrc2,ALL_W_14-25_mrc2,Po10_W_14-25_mrc2,full_nu8p00,amsterdam_marathon,NED,8,-0.011183,-0.019182,0.003248,0.584728,-0.001452,0.010244,0.003002,1.082182,4000,8,1,False,-7
ALLvsPo10_W_14-25_mrc2,ALL_W_14-25_mrc2,Po10_W_14-25_mrc2,full_nu8p00,malaga_marathon,ESP,4,-0.013,-0.007868,-0.005231,-0.941644,-0.015753,0.00486,0.00521,1.004047,4000,4,13,False,9
ALLvsPo10_W_14-25_mrc2,ALL_W_14-25_mrc2,Po10_W_14-25_mrc2,full_nu8p00,london_marathon,GBR,11,0.000294,-0.000615,0.000909,0.163689,-0.001383,0.002508,0.001007,0.903026,4000,19,17,False,-2
ALLvsPo10_W_14-25_mrc2,ALL_W_14-25_mrc2,Po10_W_14-25_mrc2,full_nu8p00,edinburgh_marathon,GBR,10,0.003863,0.002315,0.001764,0.317455,-0.002071,0.005913,0.00204,0.864445,4000,20,20,False,0
ALLvsPo10_W_14-25_mrc2,ALL_W_14-25_mrc2,Po10_W_14-25_mrc2,full_nu8p00,manchester_marathon,GBR,6,-0.01186,-0.012524,0.001166,0.209922,-0.002503,0.003071,0.001443,0.808238,4000,6,7,False,1
ALLvsPo10_W_14-25_mrc2,ALL_W_14-25_mrc2,Po10_W_14-25_mrc2,full_nu8p00,copenhagen_marathon,DEN,6,0.007473,0.010421,-0.003496,-0.629314,-0.014461,0.003682,0.00485,0.720799,4000,21,23,False,2
ALLvsPo10_W_14-25_mrc2,ALL_W_14-25_mrc2,Po10_W_14-25_mrc2,full_nu8p00,milton_keynes_marathon,GBR,11,0.010677,0.006032,0.002029,0.365272,-0.005613,0.00822,0.003526,0.575597,4000,24,21,False,-3
ALLvsPo10_W_14-25_mrc2,ALL_W_14-25_mrc2,Po10_W_14-25_mrc2,full_nu8p00,tokyo_marathon,JPN,7,-0.000467,-0.000181,0.001392,0.250576,-0.004688,0.005782,0.002652,0.524934,4000,17,18,False,1
ALLvsPo10_W_14-25_mrc2,ALL_W_14-25_mrc2,Po10_W_14-25_mrc2,full_nu8p00,seville_marathon,ESP,6,-0.012711,-0.014471,0.001832,0.329798,-0.00388,0.010373,0.003579,0.511877,4000,5,6,False,1
ALLvsPo10_W_14-25_mrc2,ALL_W_14-25_mrc2,Po10_W_14-25_mrc2,full_nu8p00,chicago_marathon,USA,10,-0.004773,-0.002761,-0.001025,-0.184575,-0.006804,0.001506,0.002114,0.485013,4000,15,16,False,1
ALLvsPo10_W_14-25_mrc2,ALL_W_14-25_mrc2,Po10_W_14-25_mrc2,full_nu8p00,chester_marathon,GBR,9,-0.011105,-0.011747,0.001017,0.183112,-0.004087,0.005135,0.002282,0.445767,4000,9,9,False,0
ALLvsPo10_W_14-25_mrc2,ALL_W_14-25_mrc2,Po10_W_14-25_mrc2,full_nu8p00,brighton_marathon,GBR,4,0.010663,0.010357,0.000896,0.161321,-0.004181,0.006539,0.002729,0.328461,4000,23,22,False,-1
ALLvsPo10_W_14-25_mrc2,ALL_W_14-25_mrc2,Po10_W_14-25_mrc2,full_nu8p00,dublin_marathon,IRL,10,-0.016474,-0.017336,0.001047,0.188492,-0.005835,0.008083,0.003462,0.302517,4000,2,3,False,1
ALLvsPo10_W_14-25_mrc2,ALL_W_14-25_mrc2,Po10_W_14-25_mrc2,full_nu8p00,newport_marathon,GBR,6,-0.017339,-0.01682,0.000954,0.171687,-0.006092,0.008234,0.003739,0.255112,4000,1,4,False,3
ALLvsPo10_W_14-25_mrc2,ALL_W_14-25_mrc2,Po10_W_14-25_mrc2,full_nu8p00,yorkshire_marathon,GBR,6,-0.008149,-0.008275,0.00057,0.102521,-0.004989,0.005755,0.002756,0.206673,4000,11,12,False,1
ALLvsPo10_W_14-25_mrc2,ALL_W_14-25_mrc2,Po10_W_14-25_mrc2,full_nu8p00,berlin_marathon,GER,11,-0.004635,-0.004681,0.000279,0.050256,-0.004554,0.002579,0.001778,0.157066,4000,16,15,False,-1
ALLvsPo10_W_14-25_mrc2,ALL_W_14-25_mrc2,Po10_W_14-25_mrc2,full_nu8p00,belfast_marathon,GBR,10,0.000159,0.001798,0.000658,0.118448,-0.008591,0.010334,0.004977,0.132215,4000,18,19,False,1
ALLvsPo10_W_14-25_mrc2,ALL_W_14-25_mrc2,Po10_W_14-25_mrc2,full_nu8p00,bostonUK_marathon,GBR,5,-0.007143,-0.006899,-0.000156,-0.028097,-0.009058,0.010716,0.004977,0.03136,4000,13,14,False,1
ALLvsPo10_W_14-25_mrc2,ALL_W_14-25_mrc2,Po10_W_14-25_mrc2,full_nu8p00,abingdon_marathon,GBR,4,-0.008449,-0.008363,6.8e-05,0.012327,-0.006767,0.007696,0.00367,0.018659,4000,10,11,False,1
