label,slice_A,slice_B,model,series_key,country,year,race_id,n_j_A,n_j_B,v_A,v_B,dv,r,r_min_at_3h,sd_boot,z,n_boot,rank_A,rank_B,d_rank,flag
MvsW_ALL_14-25_mrc2,ALL_M_14-25_mrc2,ALL_W_14-25_mrc2,full_nu8p00,nyc_marathon,USA,2022,395,13714,9979,0.084399,0.068419,0.015979,0.017075,3.073548,0.001254,13.611568,4000,336,336,0,True
MvsW_ALL_14-25_mrc2,ALL_M_14-25_mrc2,ALL_W_14-25_mrc2,full_nu8p00,stockholm_marathon,SWE,2018,359,455,1589,0.026372,0.055973,-0.029601,-0.028617,-5.151113,0.003467,8.254474,4000,314,333,19,True
MvsW_ALL_14-25_mrc2,ALL_M_14-25_mrc2,ALL_W_14-25_mrc2,full_nu8p00,boston_marathon,USA,2017,369,1658,1073,0.042908,0.024436,0.018472,0.018668,3.360265,0.002404,7.765821,4000,330,315,-15,True
MvsW_ALL_14-25_mrc2,ALL_M_14-25_mrc2,ALL_W_14-25_mrc2,full_nu8p00,boston_marathon,USA,2016,368,1273,903,0.030518,0.014509,0.016009,0.015253,2.745489,0.002746,5.553979,4000,320,280,-40,True
MvsW_ALL_14-25_mrc2,ALL_M_14-25_mrc2,ALL_W_14-25_mrc2,full_nu8p00,stockholm_marathon,SWE,2022,362,3869,1374,0.035414,0.022566,0.012849,0.01414,2.545219,0.002554,5.535812,4000,325,303,-22,True
MvsW_ALL_14-25_mrc2,ALL_M_14-25_mrc2,ALL_W_14-25_mrc2,full_nu8p00,boston_marathon,USA,2024,375,2579,1476,0.045666,0.03598,0.009685,0.00979,1.762168,0.002011,4.867926,4000,332,329,-3,True
MvsW_ALL_14-25_mrc2,ALL_M_14-25_mrc2,ALL_W_14-25_mrc2,full_nu8p00,boston_marathon,USA,2018,370,1893,1114,0.037571,0.027871,0.0097,0.01061,1.909749,0.002279,4.65542,4000,329,322,-7,True
MvsW_ALL_14-25_mrc2,ALL_M_14-25_mrc2,ALL_W_14-25_mrc2,full_nu8p00,boston_marathon,USA,2022,373,3255,1944,0.005243,-0.000696,0.005939,0.007282,1.310687,0.001618,4.49916,4000,223,180,-43,True
MvsW_ALL_14-25_mrc2,ALL_M_14-25_mrc2,ALL_W_14-25_mrc2,full_nu8p00,nyc_marathon,USA,2024,397,13949,9872,0.012057,0.017214,-0.005157,-0.005567,-1.002041,0.001259,4.422078,4000,258,293,35,True
MvsW_ALL_14-25_mrc2,ALL_M_14-25_mrc2,ALL_W_14-25_mrc2,full_nu8p00,stockholm_marathon,SWE,2024,364,5198,1786,0.076702,0.065751,0.010951,0.010943,1.969679,0.00249,4.394301,4000,335,335,0,True
