label,slice_A,slice_B,model,series_key,country,k_editions,median_vA,median_vBstar,contrast_r,r_min_at_3h,m_lo95,m_hi95,sd_boot,z,n_boot,rank_A,rank_B,flag,d_rank
MvsW_ALL_14-25_mrc2,ALL_M_14-25_mrc2,ALL_W_14-25_mrc2,full_nu8p00,berlin_marathon,GER,11,-0.01027,-0.005174,-0.005053,-0.909546,-0.006814,-0.003664,0.000805,6.278874,4000,14,21,True,7
MvsW_ALL_14-25_mrc2,ALL_M_14-25_mrc2,ALL_W_14-25_mrc2,full_nu8p00,boston_marathon,USA,11,0.009718,0.004848,0.007282,1.310687,0.004474,0.009399,0.001256,5.796681,4000,36,34,True,-2
MvsW_ALL_14-25_mrc2,ALL_M_14-25_mrc2,ALL_W_14-25_mrc2,full_nu8p00,chicago_marathon,USA,11,-0.006772,-0.002509,-0.004072,-0.732891,-0.005223,-0.001692,0.000898,4.531988,4000,21,24,True,3
MvsW_ALL_14-25_mrc2,ALL_M_14-25_mrc2,ALL_W_14-25_mrc2,full_nu8p00,valencia_marathon,ESP,9,-0.013079,-0.009326,-0.004306,-0.775023,-0.006495,-0.001381,0.001297,3.320615,4000,8,15,True,7
MvsW_ALL_14-25_mrc2,ALL_M_14-25_mrc2,ALL_W_14-25_mrc2,full_nu8p00,hannover_marathon,GER,6,-0.016433,-0.007333,-0.007622,-1.371987,-0.011916,-0.001429,0.002622,2.906486,4000,4,19,True,15
MvsW_ALL_14-25_mrc2,ALL_M_14-25_mrc2,ALL_W_14-25_mrc2,full_nu8p00,milan_marathon,ITA,4,0.006397,0.008194,-0.005516,-0.992925,-0.009234,-0.0012,0.002101,2.62532,4000,33,36,True,3
MvsW_ALL_14-25_mrc2,ALL_M_14-25_mrc2,ALL_W_14-25_mrc2,full_nu8p00,nyc_marathon,USA,11,0.017507,0.013891,0.002341,0.421469,0.000674,0.004175,0.000898,2.607291,4000,41,41,False,0
MvsW_ALL_14-25_mrc2,ALL_M_14-25_mrc2,ALL_W_14-25_mrc2,full_nu8p00,prague_marathon,CZE,10,-0.004845,0.005068,-0.01067,-1.920529,-0.017573,-0.001767,0.004155,2.567637,4000,23,35,True,12
MvsW_ALL_14-25_mrc2,ALL_M_14-25_mrc2,ALL_W_14-25_mrc2,full_nu8p00,seville_marathon,ESP,7,-0.017049,-0.014205,-0.004563,-0.821424,-0.007578,-0.000428,0.001806,2.526588,4000,3,4,True,1
MvsW_ALL_14-25_mrc2,ALL_M_14-25_mrc2,ALL_W_14-25_mrc2,full_nu8p00,malaga_marathon,ESP,7,-0.006932,-0.015066,0.006143,1.105772,-0.001158,0.009055,0.002582,2.379136,4000,20,3,True,-17
MvsW_ALL_14-25_mrc2,ALL_M_14-25_mrc2,ALL_W_14-25_mrc2,full_nu8p00,rome_marathon,ITA,4,0.005022,0.009566,-0.005192,-0.934602,-0.00969,-0.001256,0.002222,2.336496,4000,31,37,True,6
MvsW_ALL_14-25_mrc2,ALL_M_14-25_mrc2,ALL_W_14-25_mrc2,full_nu8p00,cape_town_marathon,RSA,3,0.01491,-0.004091,0.021677,3.901895,0.003158,0.04029,0.009735,2.226761,4000,38,22,True,-16
MvsW_ALL_14-25_mrc2,ALL_M_14-25_mrc2,ALL_W_14-25_mrc2,full_nu8p00,cologne_marathon,GER,6,-0.00452,-0.011918,0.004699,0.845756,-2.5e-05,0.008511,0.002209,2.126748,4000,25,8,True,-17
MvsW_ALL_14-25_mrc2,ALL_M_14-25_mrc2,ALL_W_14-25_mrc2,full_nu8p00,melbourne_marathon,AUS,11,0.015928,-0.000312,0.008952,1.611301,0.000297,0.016586,0.00423,2.116021,4000,40,28,True,-12
MvsW_ALL_14-25_mrc2,ALL_M_14-25_mrc2,ALL_W_14-25_mrc2,full_nu8p00,oslo_marathon,NOR,8,0.006636,-0.000665,0.00696,1.252804,0.000613,0.013735,0.003373,2.063286,4000,34,27,True,-7
MvsW_ALL_14-25_mrc2,ALL_M_14-25_mrc2,ALL_W_14-25_mrc2,full_nu8p00,london_marathon,GBR,11,-0.002739,8.5e-05,-0.001388,-0.249782,-0.003241,0.000144,0.00086,1.613505,4000,26,29,False,3
MvsW_ALL_14-25_mrc2,ALL_M_14-25_mrc2,ALL_W_14-25_mrc2,full_nu8p00,frankfurt_marathon,GER,9,-0.014156,-0.012567,-0.002214,-0.398557,-0.005305,0.000895,0.001556,1.423193,4000,7,5,False,-2
MvsW_ALL_14-25_mrc2,ALL_M_14-25_mrc2,ALL_W_14-25_mrc2,full_nu8p00,manchester_marathon,GBR,6,-0.014249,-0.012456,-0.001986,-0.357439,-0.00399,0.001683,0.001438,1.380568,4000,6,6,False,0
MvsW_ALL_14-25_mrc2,ALL_M_14-25_mrc2,ALL_W_14-25_mrc2,full_nu8p00,zurich_marathon,SUI,5,-0.018214,-0.01082,-0.004329,-0.779168,-0.011168,0.00178,0.00333,1.299973,4000,1,12,False,11
MvsW_ALL_14-25_mrc2,ALL_M_14-25_mrc2,ALL_W_14-25_mrc2,full_nu8p00,tokyo_marathon,JPN,9,-0.000232,-0.00155,-0.001895,-0.34104,-0.004836,0.001143,0.001515,1.250486,4000,27,25,False,-2
MvsW_ALL_14-25_mrc2,ALL_M_14-25_mrc2,ALL_W_14-25_mrc2,full_nu8p00,rotterdam_marathon,NED,7,-0.007594,-0.010511,0.001794,0.322972,-0.001636,0.003963,0.001465,1.224659,4000,18,13,False,-5
MvsW_ALL_14-25_mrc2,ALL_M_14-25_mrc2,ALL_W_14-25_mrc2,full_nu8p00,paris_marathon,FRA,11,-0.011877,-0.009484,-0.002458,-0.442414,-0.007809,0.000634,0.002126,1.156003,4000,12,14,False,2
MvsW_ALL_14-25_mrc2,ALL_M_14-25_mrc2,ALL_W_14-25_mrc2,full_nu8p00,milton_keynes_marathon,GBR,11,0.015159,0.012579,0.004428,0.796955,-0.004219,0.011106,0.003916,1.130603,4000,39,39,False,0
MvsW_ALL_14-25_mrc2,ALL_M_14-25_mrc2,ALL_W_14-25_mrc2,full_nu8p00,dublin_marathon,IRL,10,-0.013038,-0.016903,0.003277,0.589834,-0.002601,0.008642,0.002915,1.123998,4000,9,2,False,-7
MvsW_ALL_14-25_mrc2,ALL_M_14-25_mrc2,ALL_W_14-25_mrc2,full_nu8p00,madrid_marathon,ESP,5,0.005438,0.012787,-0.006177,-1.111771,-0.018371,0.004403,0.005939,1.039907,4000,32,40,False,8
MvsW_ALL_14-25_mrc2,ALL_M_14-25_mrc2,ALL_W_14-25_mrc2,full_nu8p00,eindhoven_marathon,NED,8,-0.014366,-0.01133,-0.002472,-0.444984,-0.006001,0.004108,0.002652,0.932255,4000,5,11,False,6
MvsW_ALL_14-25_mrc2,ALL_M_14-25_mrc2,ALL_W_14-25_mrc2,full_nu8p00,hamburg_marathon,GER,7,-0.008213,-0.005492,-0.001539,-0.27709,-0.00479,0.001892,0.001686,0.913107,4000,17,20,False,3
MvsW_ALL_14-25_mrc2,ALL_M_14-25_mrc2,ALL_W_14-25_mrc2,full_nu8p00,copenhagen_marathon,DEN,10,0.000285,0.003042,-0.001418,-0.255168,-0.004979,0.001329,0.001599,0.886821,4000,28,31,False,3
MvsW_ALL_14-25_mrc2,ALL_M_14-25_mrc2,ALL_W_14-25_mrc2,full_nu8p00,newport_marathon,GBR,6,-0.017951,-0.018227,-0.002824,-0.508254,-0.009246,0.004132,0.003476,0.812223,4000,2,1,False,-1
MvsW_ALL_14-25_mrc2,ALL_M_14-25_mrc2,ALL_W_14-25_mrc2,full_nu8p00,chester_marathon,GBR,9,-0.0091,-0.011671,0.001836,0.330492,-0.002796,0.006891,0.002454,0.748187,4000,16,10,False,-6
MvsW_ALL_14-25_mrc2,ALL_M_14-25_mrc2,ALL_W_14-25_mrc2,full_nu8p00,edinburgh_marathon,GBR,10,0.002224,0.003265,0.001446,0.26025,-0.003257,0.00457,0.002012,0.718637,4000,30,32,False,2
MvsW_ALL_14-25_mrc2,ALL_M_14-25_mrc2,ALL_W_14-25_mrc2,full_nu8p00,amsterdam_marathon,NED,9,-0.01072,-0.012098,0.001378,0.248022,-0.003234,0.004231,0.001954,0.705177,4000,13,7,False,-6
MvsW_ALL_14-25_mrc2,ALL_M_14-25_mrc2,ALL_W_14-25_mrc2,full_nu8p00,sydney_marathon,AUS,4,0.019601,0.016377,0.001586,0.285443,-0.004688,0.005658,0.002662,0.59576,4000,42,42,False,0
