label,slice_A,slice_B,model,series_key,country,year,race_id,n_j_A,n_j_B,v_A,v_B,dv,r,r_min_at_3h,sd_boot,z,n_boot,rank_A,rank_B,d_rank,flag
MvsW_Po10_14-25_mrc2,Po10_M_14-25_mrc2,Po10_W_14-25_mrc2,full_nu8p00,london_marathon,GBR,2015,136,4875,2350,-0.030293,-0.024002,-0.00629,-0.00727,-1.308673,0.002195,3.312383,4000,5,15,10,True
MvsW_Po10_14-25_mrc2,Po10_M_14-25_mrc2,Po10_W_14-25_mrc2,full_nu8p00,berlin_marathon,GER,2014,176,371,146,-0.03175,-0.016896,-0.014854,-0.016582,-2.984776,0.005016,3.305976,4000,3,54,51,True
MvsW_Po10_14-25_mrc2,Po10_M_14-25_mrc2,Po10_W_14-25_mrc2,full_nu8p00,manchester_marathon,GBR,2021,148,2238,978,0.017131,0.010572,0.006559,0.00913,1.643428,0.002772,3.293511,4000,169,157,-12,True
MvsW_Po10_14-25_mrc2,Po10_M_14-25_mrc2,Po10_W_14-25_mrc2,full_nu8p00,amsterdam_marathon,NED,2022,307,222,75,-0.00344,-0.018837,0.015397,0.017717,3.188997,0.005955,2.975015,4000,111,23,-88,True
MvsW_Po10_14-25_mrc2,Po10_M_14-25_mrc2,Po10_W_14-25_mrc2,full_nu8p00,nyc_marathon,USA,2022,395,368,214,0.091146,0.079138,0.012008,0.014307,2.575231,0.004817,2.969819,4000,201,201,0,True
MvsW_Po10_14-25_mrc2,Po10_M_14-25_mrc2,Po10_W_14-25_mrc2,full_nu8p00,london_marathon,GBR,2014,135,4409,2120,-0.018664,-0.012493,-0.006171,-0.008548,-1.538702,0.003176,2.691591,4000,37,80,43,True
MvsW_Po10_14-25_mrc2,Po10_M_14-25_mrc2,Po10_W_14-25_mrc2,full_nu8p00,paris_marathon,FRA,2018,85,120,42,0.017496,0.042334,-0.024838,-0.023092,-4.156495,0.008639,2.67298,4000,171,194,23,True
MvsW_Po10_14-25_mrc2,Po10_M_14-25_mrc2,Po10_W_14-25_mrc2,full_nu8p00,london_marathon,GBR,2018,139,4417,2526,0.067247,0.063565,0.003682,0.005452,0.981361,0.002079,2.622866,4000,200,200,0,True
MvsW_Po10_14-25_mrc2,Po10_M_14-25_mrc2,Po10_W_14-25_mrc2,full_nu8p00,chicago_marathon,USA,2022,384,481,273,-0.014913,-0.002377,-0.012536,-0.01021,-1.837757,0.003914,2.608338,4000,59,103,44,True
MvsW_Po10_14-25_mrc2,Po10_M_14-25_mrc2,Po10_W_14-25_mrc2,full_nu8p00,belfast_marathon,GBR,2014,96,82,21,0.001784,-0.037435,0.039218,0.036928,6.647086,0.014518,2.543549,4000,132,2,-130,True
MvsW_Po10_14-25_mrc2,Po10_M_14-25_mrc2,Po10_W_14-25_mrc2,full_nu8p00,chicago_marathon,USA,2018,381,344,203,-0.002896,0.010115,-0.013011,-0.010987,-1.977647,0.004613,2.381793,4000,113,158,45,True
MvsW_Po10_14-25_mrc2,Po10_M_14-25_mrc2,Po10_W_14-25_mrc2,full_nu8p00,chester_marathon,GBR,2025,124,535,208,-0.008202,-0.021172,0.01297,0.013291,2.39238,0.005621,2.364667,4000,97,19,-78,True
MvsW_Po10_14-25_mrc2,Po10_M_14-25_mrc2,Po10_W_14-25_mrc2,full_nu8p00,milton_keynes_marathon,GBR,2019,158,436,184,0.006959,-0.00814,0.015099,0.017378,3.12807,0.008548,2.033012,4000,143,79,-64,True
MvsW_Po10_14-25_mrc2,Po10_M_14-25_mrc2,Po10_W_14-25_mrc2,full_nu8p00,amsterdam_marathon,NED,2023,308,224,122,-0.033312,-0.022021,-0.011291,-0.009432,-1.697775,0.0047,2.006654,4000,2,14,12,True
MvsW_Po10_14-25_mrc2,Po10_M_14-25_mrc2,Po10_W_14-25_mrc2,full_nu8p00,boston_marathon,USA,2024,375,403,249,0.050447,0.043764,0.006683,0.008229,1.481307,0.0042,1.95961,4000,197,195,-2,False
MvsW_Po10_14-25_mrc2,Po10_M_14-25_mrc2,Po10_W_14-25_mrc2,full_nu8p00,bostonUK_marathon,GBR,2021,107,308,106,-0.015983,-0.001499,-0.014483,-0.011876,-2.137636,0.006114,1.942396,4000,52,107,55,False
MvsW_Po10_14-25_mrc2,Po10_M_14-25_mrc2,Po10_W_14-25_mrc2,full_nu8p00,dublin_marathon,IRL,2014,230,93,33,-0.004716,0.015332,-0.020048,-0.021669,-3.90037,0.0114,1.90074,4000,105,168,63,False
MvsW_Po10_14-25_mrc2,Po10_M_14-25_mrc2,Po10_W_14-25_mrc2,full_nu8p00,newport_marathon,GBR,2021,166,475,192,-0.015561,-0.002083,-0.013478,-0.010912,-1.964176,0.005827,1.872592,4000,56,104,48,False
MvsW_Po10_14-25_mrc2,Po10_M_14-25_mrc2,Po10_W_14-25_mrc2,full_nu8p00,berlin_marathon,GER,2017,179,507,283,-0.009314,0.00028,-0.009594,-0.008206,-1.47703,0.004563,1.798239,4000,94,120,26,False
MvsW_Po10_14-25_mrc2,Po10_M_14-25_mrc2,Po10_W_14-25_mrc2,full_nu8p00,manchester_marathon,GBR,2022,149,2755,1237,-0.019923,-0.013401,-0.006522,-0.004042,-0.727604,0.002261,1.787468,4000,30,48,18,False
MvsW_Po10_14-25_mrc2,Po10_M_14-25_mrc2,Po10_W_14-25_mrc2,full_nu8p00,london_marathon,GBR,2016,137,5197,2642,-0.020661,-0.017318,-0.003343,-0.003194,-0.574867,0.001807,1.767358,4000,27,41,14,False
MvsW_Po10_14-25_mrc2,Po10_M_14-25_mrc2,Po10_W_14-25_mrc2,full_nu8p00,yorkshire_marathon,GBR,2022,172,539,237,0.010819,0.00303,0.007788,0.010108,1.819449,0.005857,1.725922,4000,157,132,-25,False
MvsW_Po10_14-25_mrc2,Po10_M_14-25_mrc2,Po10_W_14-25_mrc2,full_nu8p00,berlin_marathon,GER,2022,183,536,266,-0.012598,-0.004517,-0.008082,-0.005742,-1.033573,0.003341,1.718733,4000,70,93,23,False
MvsW_Po10_14-25_mrc2,Po10_M_14-25_mrc2,Po10_W_14-25_mrc2,full_nu8p00,milton_keynes_marathon,GBR,2016,155,377,154,0.032634,0.020133,0.012501,0.012673,2.281123,0.007689,1.648228,4000,190,177,-13,False
MvsW_Po10_14-25_mrc2,Po10_M_14-25_mrc2,Po10_W_14-25_mrc2,full_nu8p00,berlin_marathon,GER,2016,178,436,178,-0.010478,-0.002007,-0.008471,-0.007908,-1.423432,0.00488,1.620591,4000,81,118,37,False
MvsW_Po10_14-25_mrc2,Po10_M_14-25_mrc2,Po10_W_14-25_mrc2,full_nu8p00,nyc_marathon,USA,2021,394,40,29,0.025146,0.007001,0.018145,0.020705,3.726881,0.012844,1.611995,4000,184,143,-41,False
MvsW_Po10_14-25_mrc2,Po10_M_14-25_mrc2,Po10_W_14-25_mrc2,full_nu8p00,boston_marathon,USA,2019,371,303,162,0.030004,0.041217,-0.011213,-0.008956,-1.612039,0.005706,1.569508,4000,188,192,4,False
MvsW_Po10_14-25_mrc2,Po10_M_14-25_mrc2,Po10_W_14-25_mrc2,full_nu8p00,barcelona_marathon,ESP,2023,47,68,26,0.007506,-0.005051,0.012556,0.014707,2.647207,0.009454,1.555626,4000,146,91,-55,False
MvsW_Po10_14-25_mrc2,Po10_M_14-25_mrc2,Po10_W_14-25_mrc2,full_nu8p00,frankfurt_marathon,GER,2015,193,111,28,-0.025234,-0.011038,-0.014195,-0.014584,-2.625158,0.009526,1.530933,4000,12,77,65,False
MvsW_Po10_14-25_mrc2,Po10_M_14-25_mrc2,Po10_W_14-25_mrc2,full_nu8p00,chicago_marathon,USA,2015,378,125,52,-0.01001,0.004263,-0.014273,-0.014705,-2.64696,0.009711,1.514322,4000,88,145,57,False
MvsW_Po10_14-25_mrc2,Po10_M_14-25_mrc2,Po10_W_14-25_mrc2,full_nu8p00,chester_marathon,GBR,2019,119,767,349,0.001189,-0.003103,0.004292,0.006712,1.208081,0.004565,1.470316,4000,130,99,-31,False
MvsW_Po10_14-25_mrc2,Po10_M_14-25_mrc2,Po10_W_14-25_mrc2,full_nu8p00,edinburgh_marathon,GBR,2019,130,483,280,0.013007,0.008402,0.004605,0.006904,1.242745,0.004722,1.462204,4000,163,151,-12,False
MvsW_Po10_14-25_mrc2,Po10_M_14-25_mrc2,Po10_W_14-25_mrc2,full_nu8p00,chicago_marathon,USA,2025,387,350,157,-0.010358,-0.002861,-0.007497,-0.007195,-1.295071,0.004947,1.454369,4000,83,112,29,False
MvsW_Po10_14-25_mrc2,Po10_M_14-25_mrc2,Po10_W_14-25_mrc2,full_nu8p00,amsterdam_marathon,NED,2016,302,150,43,-0.006849,-0.017387,0.010539,0.011155,2.007948,0.007692,1.450208,4000,100,35,-65,False
MvsW_Po10_14-25_mrc2,Po10_M_14-25_mrc2,Po10_W_14-25_mrc2,full_nu8p00,berlin_marathon,GER,2023,184,700,333,-0.010112,-0.003939,-0.006173,-0.004282,-0.770761,0.002985,1.434381,4000,86,97,11,False
MvsW_Po10_14-25_mrc2,Po10_M_14-25_mrc2,Po10_W_14-25_mrc2,full_nu8p00,athens_marathon,GRE,2024,222,55,28,0.022911,0.052832,-0.029921,-0.028796,-5.183352,0.020313,1.417664,4000,180,199,19,False
