label,slice_A,slice_B,model,series_key,country,k_editions,median_vA,median_vBstar,contrast_r,r_min_at_3h,m_lo95,m_hi95,sd_boot,z,n_boot,rank_A,rank_B,flag,d_rank
MvsW_Po10_14-25_mrc2,Po10_M_14-25_mrc2,Po10_W_14-25_mrc2,full_nu8p00,chicago_marathon,USA,10,-0.010184,-0.003933,-0.005998,-1.079727,-0.010253,-0.001281,0.002311,2.595608,4000,13,16,True,3
MvsW_Po10_14-25_mrc2,Po10_M_14-25_mrc2,Po10_W_14-25_mrc2,full_nu8p00,berlin_marathon,GER,11,-0.010478,-0.00583,-0.004282,-0.770761,-0.008285,-0.001311,0.001739,2.462113,4000,11,15,True,4
MvsW_Po10_14-25_mrc2,Po10_M_14-25_mrc2,Po10_W_14-25_mrc2,full_nu8p00,valencia_marathon,ESP,8,-0.017477,-0.013209,-0.004161,-0.748931,-0.009147,0.000724,0.002543,1.63616,4000,5,8,False,3
MvsW_Po10_14-25_mrc2,Po10_M_14-25_mrc2,Po10_W_14-25_mrc2,full_nu8p00,copenhagen_marathon,DEN,6,-0.000802,0.009716,-0.008308,-1.4954,-0.019338,0.001514,0.005233,1.587463,4000,18,23,False,5
MvsW_Po10_14-25_mrc2,Po10_M_14-25_mrc2,Po10_W_14-25_mrc2,full_nu8p00,milton_keynes_marathon,GBR,11,0.012137,0.006732,0.004781,0.860596,-0.002769,0.010351,0.003234,1.478229,4000,23,21,False,-2
MvsW_Po10_14-25_mrc2,Po10_M_14-25_mrc2,Po10_W_14-25_mrc2,full_nu8p00,tokyo_marathon,JPN,7,0.003975,-0.000842,0.004089,0.735965,-0.003644,0.010502,0.003558,1.149043,4000,20,18,False,-2
MvsW_Po10_14-25_mrc2,Po10_M_14-25_mrc2,Po10_W_14-25_mrc2,full_nu8p00,chester_marathon,GBR,9,-0.008202,-0.01178,0.002731,0.491658,-0.001728,0.007774,0.002425,1.126234,4000,14,9,False,-5
MvsW_Po10_14-25_mrc2,Po10_M_14-25_mrc2,Po10_W_14-25_mrc2,full_nu8p00,malaga_marathon,ESP,4,-0.002339,-0.008662,0.005746,1.034292,-0.004127,0.015837,0.005175,1.11038,4000,17,13,False,-4
MvsW_Po10_14-25_mrc2,Po10_M_14-25_mrc2,Po10_W_14-25_mrc2,full_nu8p00,barcelona_marathon,ESP,4,-0.021506,-0.018674,0.005233,0.941902,-0.005202,0.014658,0.005117,1.02265,4000,1,2,False,1
MvsW_Po10_14-25_mrc2,Po10_M_14-25_mrc2,Po10_W_14-25_mrc2,full_nu8p00,paris_marathon,FRA,10,-0.012967,-0.009805,-0.00398,-0.716315,-0.011412,0.005054,0.004218,0.943388,4000,9,10,False,1
MvsW_Po10_14-25_mrc2,Po10_M_14-25_mrc2,Po10_W_14-25_mrc2,full_nu8p00,edinburgh_marathon,GBR,10,0.001331,0.001216,0.001772,0.318939,-0.003647,0.004328,0.002065,0.858071,4000,19,20,False,1
