slug,solver,nu,cand,basis,gamma_form,fold,train_loglik,heldout_logdens,heldout_per_cell,heldout_rmse,n_test,n_orphan,n_iter
ALL_B_14-25_mrc2,anderson,inf,poly2-gscalar,poly2,scalar,0,1515550.1503242732,208911.201864976,0.8392030282998956,0.08120422981585575,248940,0,39
ALL_B_14-25_mrc2,anderson,8,poly2-gscalar,poly2,scalar,0,1623400.0233225564,229854.3120516935,0.9233321766357094,0.08868901543899432,248940,0,154
ALL_B_14-25_mrc2,anderson,inf,poly2-gscalar,poly2,scalar,1,1516759.4473062134,207509.4215474507,0.8351219083679469,0.08132020551537456,248478,0,57
ALL_B_14-25_mrc2,anderson,8,poly2-gscalar,poly2,scalar,1,1624614.816659524,228819.22676823498,0.9208832442640192,0.08720369098494489,248478,0,116
ALL_B_14-25_mrc2,anderson,inf,poly2-gscalar,poly2,scalar,2,1515402.937474315,209053.11004487376,0.8396246748581184,0.08119354016636639,248984,0,49
ALL_B_14-25_mrc2,anderson,8,poly2-gscalar,poly2,scalar,2,1622787.1667006742,230863.9921969597,0.9272242079690249,0.08796211505476097,248984,0,113
ALL_B_14-25_mrc2,anderson,inf,poly2-gscalar,poly2,scalar,3,1516094.563556098,208473.29402787174,0.8369631569712576,0.08124504352679536,249083,0,56
ALL_B_14-25_mrc2,anderson,8,poly2-gscalar,poly2,scalar,3,1623792.5058370396,229642.68807684968,0.9219524739819646,0.08732074898654543,249083,0,106
ALL_B_14-25_mrc2,anderson,inf,poly2-gscalar,poly2,scalar,4,1516476.561656577,207915.31260251655,0.8356556845823699,0.08129176055144804,248805,0,59
ALL_B_14-25_mrc2,anderson,8,poly2-gscalar,poly2,scalar,4,1624209.342495899,229026.30320053227,0.9205052277909699,0.08645573064146063,248805,0,108
ALL_B_14-25_mrc2,anderson,inf,poly2-gvarying,poly2,varying,0,1518362.915765425,203821.7535400072,0.8187585504137832,0.08176733134794976,248940,0,27
ALL_B_14-25_mrc2,anderson,8,poly2-gvarying,poly2,varying,0,1623433.2986521996,229847.22752143108,0.9233037178494058,0.08815311098802674,248940,0,150
ALL_B_14-25_mrc2,anderson,inf,poly2-gvarying,poly2,varying,1,1517959.6445446603,207261.99188918466,0.8341261274204745,0.08129745879996783,248478,0,56
ALL_B_14-25_mrc2,anderson,8,poly2-gvarying,poly2,varying,1,1624651.0717184625,228764.74076541225,0.9206639652822876,0.08672003934636692,248478,0,150
ALL_B_14-25_mrc2,anderson,inf,poly2-gvarying,poly2,varying,2,1516592.0350967122,208836.49305968662,0.8387546712225951,0.0811673389431402,248984,0,49
ALL_B_14-25_mrc2,anderson,8,poly2-gvarying,poly2,varying,2,1622829.7560308147,230692.45216254197,0.9265352478976239,0.08722000514388721,248984,0,170
ALL_B_14-25_mrc2,anderson,inf,poly2-gvarying,poly2,varying,3,1516812.542739558,209544.07149662773,0.8412620351313728,0.08106395868889961,249083,0,56
ALL_B_14-25_mrc2,anderson,8,poly2-gvarying,poly2,varying,3,1623837.343672687,229459.74191718752,0.9212179952754204,0.086333141966137,249083,0,117
ALL_B_14-25_mrc2,anderson,inf,poly2-gvarying,poly2,varying,4,1517300.5645449765,208725.42244915938,0.8389116876636699,0.08114142527538483,248805,0,40
ALL_B_14-25_mrc2,anderson,8,poly2-gvarying,poly2,varying,4,1624251.6083412091,228871.98856001452,0.9198850045618638,0.08573888112665153,248805,0,128
ALL_B_14-25_mrc2,anderson,inf,poly3-gscalar,poly3,scalar,0,1516065.0078386706,208906.00807784195,0.8391821646896519,0.08118068763716767,248940,0,56
ALL_B_14-25_mrc2,anderson,8,poly3-gscalar,poly3,scalar,0,1624018.6654976227,229968.1684631597,0.9237895415086355,0.08863503872191429,248940,0,147
ALL_B_14-25_mrc2,anderson,inf,poly3-gscalar,poly3,scalar,1,1517285.9834631844,207486.94910203197,0.8350314679852219,0.08129839674639187,248478,0,54
ALL_B_14-25_mrc2,anderson,8,poly3-gscalar,poly3,scalar,1,1625255.331831771,228922.47640439388,0.9212987725448284,0.08715686767981574,248478,0,103
ALL_B_14-25_mrc2,anderson,inf,poly3-gscalar,poly3,scalar,2,1515900.6997261834,209087.5698606495,0.8397630765858428,0.0811653509253853,248984,0,47
ALL_B_14-25_mrc2,anderson,8,poly3-gscalar,poly3,scalar,2,1623401.7219061905,231013.02884067746,0.9278227871697677,0.0879137571731707,248984,0,145
ALL_B_14-25_mrc2,anderson,inf,poly3-gscalar,poly3,scalar,3,1516619.6635112925,208463.34859375475,0.8369232287781774,0.08122160772302736,249083,0,54
ALL_B_14-25_mrc2,anderson,8,poly3-gscalar,poly3,scalar,3,1624442.526957089,229726.8878133435,0.9222905128545243,0.08727987874047648,249083,0,123
