slug,slice,solver,nu,cand,basis,gamma_form,full_loglik,full_aic,full_bic,n_params,n_iter,converged,cv_logdens,cv_per_cell,heldout_rmse,n_test_total,n_orphan_total
ALL_B_14-25_mrc2,ALL_B,anderson,inf,poly2-gscalar,poly2,scalar,1826387.3599770688,-2846882.7199541377,2002199.924527062,402947,48,True,1041862.3400876888,0.8373147257373191,0.08125093779843076,1244290,0
ALL_B_14-25_mrc2,ALL_B,anderson,8,poly2-gscalar,poly2,scalar,1940697.5004065542,-3075503.0008131084,1773579.6436680914,402947,97,True,1148206.52229427,0.9227804790637795,0.08752972628040549,1244290,0
ALL_B_14-25_mrc2,ALL_B,anderson,inf,poly2-gvarying,poly2,varying,1827770.7094933006,-2849647.4189866013,1999447.2595702424,402948,40,True,1038189.7324346656,0.834363156848215,0.08128787382207545,1244290,0
ALL_B_14-25_mrc2,ALL_B,anderson,8,poly2-gvarying,poly2,varying,1940850.5486128572,-3075807.0972257145,1773287.5813311292,402948,159,True,1147636.1509265872,0.9223220880394338,0.0868370137049661,1244290,0
ALL_B_14-25_mrc2,ALL_B,anderson,inf,poly3-gscalar,poly3,scalar,1827000.5439819011,-2848107.0879638023,2000987.5905930414,402948,52,True,1041819.7703087495,0.8372805136332764,0.08122752328997024,1244290,0
ALL_B_14-25_mrc2,ALL_B,anderson,8,poly3-gscalar,poly3,scalar,1941424.910334739,-3076955.820669478,1772138.8578873659,402948,116,True,1148698.6678034407,0.9231760022208976,0.08748561217656728,1244290,0
ALL_B_14-25_mrc2,ALL_B,anderson,inf,poly3-gvarying,poly3,varying,1830785.411489841,-2855672.822979682,1993445.9237284493,402950,39,True,1040508.3919955527,0.8362265966901227,0.08110928591203598,1244290,0
ALL_B_14-25_mrc2,ALL_B,anderson,8,poly3-gvarying,poly3,varying,1943196.1917097815,-3080494.383419563,1768624.3632885683,402950,139,True,1152775.6379872723,0.9264525456182018,0.0832048555034962,1244290,0
ALL_B_14-25_mrc2,ALL_B,anderson,inf,spline3-gscalar,spline3,scalar,1826957.7461869367,-2848023.4923738735,2001059.1521073263,402947,53,True,1041839.9761932858,0.8372967525201406,0.08122866925550618,1244290,0
ALL_B_14-25_mrc2,ALL_B,anderson,8,spline3-gscalar,spline3,scalar,1941369.1499865875,-3076846.299973175,1772236.3445080249,402947,131,True,1148447.744927384,0.9229743427395414,0.0875011837676129,1244290,0
ALL_B_14-25_mrc2,ALL_B,anderson,inf,spline3-gvarying,spline3,varying,1828995.5071682977,-2852097.0143365953,1996997.6642202483,402948,36,True,1039101.5668428317,0.8350959718737848,0.08121492008160655,1244290,0
ALL_B_14-25_mrc2,ALL_B,anderson,8,spline3-gvarying,spline3,varying,1942424.5515285023,-3078955.1030570045,1770139.5754998391,402948,155,True,1151065.8745833891,0.9250784580631437,0.08351275964011157,1244290,0
ALL_B_14-25_mrc2,ALL_B,anderson,inf,spline4-gscalar,spline4,scalar,1827413.5892930366,-2848933.178586073,2000161.4999707704,402948,48,True,1041871.1915703525,0.8373218394187468,0.08120982220821861,1244290,0
ALL_B_14-25_mrc2,ALL_B,anderson,8,spline4-gscalar,spline4,scalar,1941868.471114384,-3077842.942228768,1771251.7363280756,402948,128,True,1148635.168049709,0.9231249692995274,0.08748186344441175,1244290,0
ALL_B_14-25_mrc2,ALL_B,anderson,inf,spline4-gvarying,spline4,varying,1829505.563390952,-2853113.126781904,1996005.6199262273,402950,51,True,1038640.3090438119,0.8347252722788191,0.08120647272944459,1244290,0
ALL_B_14-25_mrc2,ALL_B,anderson,8,spline4-gvarying,spline4,varying,1944514.4929417488,-3083130.9858834976,1765987.7608246338,402950,112,True,1152623.7761123972,0.9263304986075571,0.0845664591010915,1244290,0
ALL_B_14-25_mrc2,ALL_B,anderson,inf,spline5-gscalar,spline5,scalar,1827532.0626489604,-2849168.125297921,1999938.5873345667,402949,50,True,1041987.2532409416,0.8374151148373302,0.08120220005288808,1244290,0
ALL_B_14-25_mrc2,ALL_B,anderson,8,spline5-gscalar,spline5,scalar,1942002.5711230312,-3078109.1422460624,1770997.5703864251,402949,156,True,1148743.9529226895,0.9232123965656636,0.08748072221057601,1244290,0
ALL_B_14-25_mrc2,ALL_B,anderson,inf,spline5-gvarying,spline5,varying,1830643.5545924376,-2855385.109184875,1993757.705674545,402952,53,True,1040535.8418401245,0.8362486573388234,0.08111367594451788,1244290,0
ALL_B_14-25_mrc2,ALL_B,anderson,8,spline5-gvarying,spline5,varying,1944786.3485352541,-3083670.6970705083,1765472.1177889118,402952,141,True,1152845.5786401655,0.9265087549045363,0.08553095963838386,1244290,0
ALL_B_14-25_mrc2,ALL_B,anderson,inf,spline6-gscalar,spline6,scalar,1827547.25689939,-2849196.51379878,1999922.2329093516,402950,49,True,1041986.9385671766,0.8374148619430973,0.08120160288785445,1244290,0
ALL_B_14-25_mrc2,ALL_B,anderson,8,spline6-gscalar,spline6,scalar,1942017.7730026795,-3078137.546005359,1770981.2007027725,402950,114,True,1148777.2473856958,0.9232391543656991,0.08747859097742876,1244290,0
ALL_B_14-25_mrc2,ALL_B,anderson,inf,spline6-gvarying,spline6,varying,1831970.2785631297,-2858034.5571262594,1991132.3258844484,402954,39,True,1043020.7458569827,0.8382457030571512,0.08099842800764658,1244290,0
ALL_B_14-25_mrc2,ALL_B,anderson,8,spline6-gvarying,spline6,varying,1944818.4639934492,-3083730.9279868985,1765435.9550238093,402954,105,True,1153295.2570369304,0.926870148467745,0.08545497163749793,1244290,0
