slug,slice,nu,cand,basis,gamma_form,solver,loglik_best,best_init,loglik_gap_across_inits,max_abs_dv_across_inits,all_converged
ALL_B_14-25_mrc2,ALL_B,inf,poly2-goff,poly2,off,anderson,1821714.341041834,rand0,5.7470519095659256e-05,0.00020707445612091102,True
ALL_B_14-25_mrc2,ALL_B,inf,poly2-gscalar,poly2,scalar,anderson,1826387.3599770688,mean,0.001739536877721548,0.0011604172393717728,True
ALL_B_14-25_mrc2,ALL_B,inf,poly2-gvarying,poly2,varying,anderson,1827770.719029256,rand0,0.009535955265164375,0.0028041299329274174,True
ALL_B_14-25_mrc2,ALL_B,inf,poly3-goff,poly3,off,anderson,1822377.4132846976,mean,0.0004595639184117317,0.00018441907112430947,True
ALL_B_14-25_mrc2,ALL_B,inf,poly3-gscalar,poly3,scalar,anderson,1827000.5441922739,rand1,0.00022968021221458912,0.0002941747336601356,True
ALL_B_14-25_mrc2,ALL_B,inf,poly3-gvarying,poly3,varying,anderson,1830785.422306561,rand0,0.011986176948994398,0.0027855853221881322,True
ALL_B_14-25_mrc2,ALL_B,inf,poly4-goff,poly4,off,anderson,1822796.83460076,rand1,0.0005083202850073576,0.00023298587728142394,True
ALL_B_14-25_mrc2,ALL_B,inf,poly4-gscalar,poly4,scalar,anderson,1827383.3702597423,rand1,0.0003227132838219404,0.00015113328150562905,True
ALL_B_14-25_mrc2,ALL_B,inf,poly4-gvarying,poly4,varying,anderson,1833335.9410045785,rand0,0.009680589195340872,0.0025072590409966093,True
ALL_B_14-25_mrc2,ALL_B,inf,poly5-goff,poly5,off,anderson,1822964.7926695955,rand1,0.0003401925787329674,0.0002739774213210769,True
ALL_B_14-25_mrc2,ALL_B,inf,poly5-gscalar,poly5,scalar,anderson,1827547.3142762175,rand1,0.00017258687876164913,0.00036689366137599745,True
ALL_B_14-25_mrc2,ALL_B,inf,poly5-gvarying,poly5,varying,anderson,1833871.4066508915,rand0,0.009405179414898157,0.0025780626831256592,True
ALL_B_14-25_mrc2,ALL_B,inf,poly6-goff,poly6,off,anderson,1822986.905694855,rand1,0.00037968624383211136,0.0001531172564023589,True
ALL_B_14-25_mrc2,ALL_B,inf,poly6-gscalar,poly6,scalar,anderson,1827570.178675128,mean,0.0001364664640277624,0.0001605071803898626,True
ALL_B_14-25_mrc2,ALL_B,inf,poly6-gvarying,poly6,varying,anderson,1834036.0322806009,rand0,0.010024752235040069,0.0026940668228423352,True
ALL_B_14-25_mrc2,ALL_B,inf,spline3-goff,spline3,off,anderson,1822326.1381146084,mean,0.0002818126231431961,0.00017947829139788006,True
ALL_B_14-25_mrc2,ALL_B,inf,spline3-gscalar,spline3,scalar,anderson,1826957.7464657407,rand1,0.00027908431366086006,0.0005221307669514767,True
ALL_B_14-25_mrc2,ALL_B,inf,spline3-gvarying,spline3,varying,anderson,1828995.5190991112,rand0,0.012559451628476381,0.0030955474603263896,True
ALL_B_14-25_mrc2,ALL_B,inf,spline4-goff,spline4,off,anderson,1822830.7008413733,mean,0.0005061686970293522,0.00016990799798780303,True
ALL_B_14-25_mrc2,ALL_B,inf,spline4-gscalar,spline4,scalar,anderson,1827413.5893313987,rand1,0.0002743639051914215,0.00014610842768023047,True
ALL_B_14-25_mrc2,ALL_B,inf,spline4-gvarying,spline4,varying,anderson,1829505.563464729,rand1,0.00019710813648998737,0.0003824032452449666,True
ALL_B_14-25_mrc2,ALL_B,inf,spline5-goff,spline5,off,anderson,1822948.7359923911,rand1,0.00038755591958761215,0.0001621423778367841,True
ALL_B_14-25_mrc2,ALL_B,inf,spline5-gscalar,spline5,scalar,anderson,1827532.0626968034,rand1,0.0001783529296517372,0.00014871297837212166,True
ALL_B_14-25_mrc2,ALL_B,inf,spline5-gvarying,spline5,varying,anderson,1830643.5546299347,rand1,0.00010474235750734806,0.00016887165600138268,True
ALL_B_14-25_mrc2,ALL_B,inf,spline6-goff,spline6,off,anderson,1822963.6986740353,rand1,0.00036166422069072723,0.00024312855919979542,True
ALL_B_14-25_mrc2,ALL_B,inf,spline6-gscalar,spline6,scalar,anderson,1827547.25689939,mean,7.515819743275642e-05,0.00016074901560631134,True
ALL_B_14-25_mrc2,ALL_B,inf,spline6-gvarying,spline6,varying,anderson,1831970.2903413814,rand0,0.012786338571459055,0.0028411260683607184,True
ALL_B_14-25_mrc2,ALL_B,8,poly2-goff,poly2,off,anderson,1923618.0420977515,rand0,1.37391820224002,0.00321500170689327,True
ALL_B_14-25_mrc2,ALL_B,8,poly2-gscalar,poly2,scalar,anderson,1940461.9653459515,rand1,9.00257452414371,0.002719825345678769,True
ALL_B_14-25_mrc2,ALL_B,8,poly2-gvarying,poly2,varying,anderson,1940838.4056029213,mean,2.5127757121808827,0.003228163104358088,True
ALL_B_14-25_mrc2,ALL_B,8,poly3-goff,poly3,off,anderson,1924471.2297735498,rand1,1.4042950216680765,0.003018926179012284,True
ALL_B_14-25_mrc2,ALL_B,8,poly3-gscalar,poly3,scalar,anderson,1941188.7299069911,rand1,9.473492906196043,0.0032701384211644563,True
ALL_B_14-25_mrc2,ALL_B,8,poly3-gvarying,poly3,varying,anderson,1943165.5574912755,mean,2.7284776414744556,0.0026722153702825914,True
ALL_B_14-25_mrc2,ALL_B,8,poly4-goff,poly4,off,anderson,1924974.382008572,mean,0.9172234633006155,0.0032180901720710187,True
ALL_B_14-25_mrc2,ALL_B,8,poly4-gscalar,poly4,scalar,anderson,1941591.7565947417,rand1,7.807266432326287,0.003236788097515637,True
ALL_B_14-25_mrc2,ALL_B,8,poly4-gvarying,poly4,varying,anderson,1944292.10890169,rand0,1.6748851153533906,0.0032352778656214443,True
ALL_B_14-25_mrc2,ALL_B,8,poly5-goff,poly5,off,anderson,1925168.2534530666,mean,0.9740759376436472,0.0033132774030394455,True
ALL_B_14-25_mrc2,ALL_B,8,poly5-gscalar,poly5,scalar,anderson,1941763.5406736846,rand1,7.740631252760068,0.0031882836766498994,True
ALL_B_14-25_mrc2,ALL_B,8,poly5-gvarying,poly5,varying,anderson,1944695.9460242044,mean,1.4432102567516267,0.0033121589348061743,True
ALL_B_14-25_mrc2,ALL_B,8,poly6-goff,poly6,off,anderson,1925196.9932873617,mean,1.0353262743446976,0.003342233019101028,True
ALL_B_14-25_mrc2,ALL_B,8,poly6-gscalar,poly6,scalar,anderson,1941795.5242457597,rand1,7.6902686229441315,0.0030261344060647857,True
ALL_B_14-25_mrc2,ALL_B,8,poly6-gvarying,poly6,varying,anderson,1944753.7717678095,rand0,1.4008031873963773,0.0031522993341600285,True
ALL_B_14-25_mrc2,ALL_B,8,spline3-goff,spline3,off,anderson,1924390.9535026448,rand1,1.1407751746010035,0.0031395714360921995,True
ALL_B_14-25_mrc2,ALL_B,8,spline3-gscalar,spline3,scalar,anderson,1941133.9088313398,rand1,9.510506270453334,0.0031565032481371824,True
ALL_B_14-25_mrc2,ALL_B,8,spline3-gvarying,spline3,varying,anderson,1942412.4124174798,rand0,4.984378699678928,0.00320222957071903,True
ALL_B_14-25_mrc2,ALL_B,8,spline4-goff,spline4,off,anderson,1925025.8441159164,rand1,2.0417159367352724,0.003353608893025292,True
ALL_B_14-25_mrc2,ALL_B,8,spline4-gscalar,spline4,scalar,anderson,1941633.3734534392,rand1,10.273823392344639,0.0031722983997123297,True
ALL_B_14-25_mrc2,ALL_B,8,spline4-gvarying,spline4,varying,anderson,1944489.4107502615,rand0,1.6031432719901204,0.003228584881025594,True
ALL_B_14-25_mrc2,ALL_B,8,spline5-goff,spline5,off,anderson,1925161.097381026,rand1,1.5683384542353451,0.0032061328481687596,True
ALL_B_14-25_mrc2,ALL_B,8,spline5-gscalar,spline5,scalar,anderson,1941765.1911042654,rand1,8.523435941897333,0.003169588896841451,True
ALL_B_14-25_mrc2,ALL_B,8,spline5-gvarying,spline5,varying,anderson,1944756.5752248163,rand0,1.3750622565858066,0.0031051463705697394,True
ALL_B_14-25_mrc2,ALL_B,8,spline6-goff,spline6,off,anderson,1925177.0544814079,rand1,1.2095626459922642,0.0031576578096824248,True
ALL_B_14-25_mrc2,ALL_B,8,spline6-gscalar,spline6,scalar,anderson,1941780.4722027527,rand1,8.53026946540922,0.003202337742066956,True
ALL_B_14-25_mrc2,ALL_B,8,spline6-gvarying,spline6,varying,anderson,1944795.2005469226,rand0,1.3973060238640755,0.0031277303375029045,True
