slug,nu,solver,cand,reference,pearson,spearman,top10_jaccard,max_abs_rank_shift_frac,mean_abs_dv,max_abs_dv
ALL_B_14-25_mrc2,8,anderson,poly2-goff,poly2-gscalar,0.9838945036477418,0.9791685215512215,0.7073170731707317,0.29394812680115273,0.002375653631818257,0.015289398999045172
ALL_B_14-25_mrc2,8,anderson,poly2-gscalar,poly2-gscalar,1.0,1.0,1.0,0.0,0.0,0.0
ALL_B_14-25_mrc2,8,anderson,poly2-gvarying,poly2-gscalar,0.9991699305613669,0.9987029689832666,0.8421052631578947,0.1037463976945245,0.0005185683254805345,0.004293067491495904
ALL_B_14-25_mrc2,8,anderson,poly3-goff,poly2-gscalar,0.9808447287082374,0.9759110091969724,0.7073170731707317,0.30547550432276654,0.0026332099010099924,0.016187572572008917
ALL_B_14-25_mrc2,8,anderson,poly3-gscalar,poly2-gscalar,0.9982892140596286,0.9972175295637485,0.8918918918918919,0.06628242074927954,0.0009301707935582714,0.003271896227819829
ALL_B_14-25_mrc2,8,anderson,poly3-gvarying,poly2-gscalar,0.9975320450237486,0.9963202919870712,0.8918918918918919,0.11239193083573487,0.0010521093711949449,0.006281504063215926
ALL_B_14-25_mrc2,8,anderson,poly4-goff,poly2-gscalar,0.9805415658045284,0.9748641362882051,0.6666666666666666,0.30835734870317005,0.00268396214344203,0.015476927321350194
ALL_B_14-25_mrc2,8,anderson,poly4-gscalar,poly2-gscalar,0.9974897941134332,0.9961310219604929,0.8918918918918919,0.07492795389048991,0.001117872100623389,0.00343986126026506
ALL_B_14-25_mrc2,8,anderson,poly4-gvarying,poly2-gscalar,0.9968965472316716,0.9955792955248983,0.8421052631578947,0.10951008645533142,0.0011312145043613114,0.005886470335350345
ALL_B_14-25_mrc2,8,anderson,poly5-goff,poly2-gscalar,0.9805333336692251,0.9746082340216176,0.6666666666666666,0.3285302593659942,0.002670176670630624,0.015460696927244732
ALL_B_14-25_mrc2,8,anderson,poly5-gscalar,poly2-gscalar,0.9973261397342874,0.9958650674163176,0.8918918918918919,0.08357348703170028,0.001149718168561716,0.0035603822014892224
ALL_B_14-25_mrc2,8,anderson,poly5-gvarying,poly2-gscalar,0.9970822686030331,0.9956841264197406,0.8918918918918919,0.10086455331412104,0.001161396778969908,0.004561572283623555
ALL_B_14-25_mrc2,8,anderson,poly6-goff,poly2-gscalar,0.9805880376501558,0.9748664339516536,0.6666666666666666,0.3285302593659942,0.002662343615782084,0.015486865255508766
ALL_B_14-25_mrc2,8,anderson,poly6-gscalar,poly2-gscalar,0.9973804230718454,0.996004363262889,0.8421052631578947,0.08357348703170028,0.0011339055565778742,0.0035774445258867763
ALL_B_14-25_mrc2,8,anderson,poly6-gvarying,poly2-gscalar,0.9969427739563234,0.9957763201656155,0.8421052631578947,0.10662824207492795,0.0011321922486002712,0.005649090891904534
ALL_B_14-25_mrc2,8,anderson,spline3-goff,poly2-gscalar,0.9817745122550742,0.9767157658198438,0.7073170731707317,0.30547550432276654,0.0025271037494916317,0.016076544965815745
ALL_B_14-25_mrc2,8,anderson,spline3-gscalar,poly2-gscalar,0.9989515916315287,0.9982442979173405,0.8918918918918919,0.05475504322766571,0.0007311703032551902,0.0022510160029401705
ALL_B_14-25_mrc2,8,anderson,spline3-gvarying,poly2-gscalar,0.9976747156815657,0.996797344360586,0.8421052631578947,0.1037463976945245,0.0009275878199300361,0.006454771947237124
ALL_B_14-25_mrc2,8,anderson,spline4-goff,poly2-gscalar,0.9791911427780052,0.9731331340876178,0.6666666666666666,0.3170028818443804,0.002827584552515657,0.015794654688352037
ALL_B_14-25_mrc2,8,anderson,spline4-gscalar,poly2-gscalar,0.9965378001049164,0.9949480124923962,0.7948717948717948,0.08645533141210375,0.0013177907952874105,0.004411323933378302
ALL_B_14-25_mrc2,8,anderson,spline4-gvarying,poly2-gscalar,0.9960186276839887,0.9944341975037034,0.7948717948717948,0.10662824207492795,0.0013079812432402534,0.005918352499973156
ALL_B_14-25_mrc2,8,anderson,spline5-goff,poly2-gscalar,0.9799289816847184,0.9739424860373863,0.6666666666666666,0.3371757925072046,0.002724058143213885,0.015820469526432544
ALL_B_14-25_mrc2,8,anderson,spline5-gscalar,poly2-gscalar,0.9971935170456422,0.9958995323680466,0.8421052631578947,0.07492795389048991,0.0011775532491740744,0.004095737529546981
ALL_B_14-25_mrc2,8,anderson,spline5-gvarying,poly2-gscalar,0.9967744144706572,0.99550490867075,0.8421052631578947,0.10662824207492795,0.0011531824821572568,0.005803090951595678
ALL_B_14-25_mrc2,8,anderson,spline6-goff,poly2-gscalar,0.9800159132141022,0.9741004503994775,0.6666666666666666,0.33429394812680113,0.002716839994065939,0.01587061762809558
ALL_B_14-25_mrc2,8,anderson,spline6-gscalar,poly2-gscalar,0.997247881566596,0.9958917777539077,0.8421052631578947,0.08069164265129683,0.001165664477857792,0.003900172389967445
ALL_B_14-25_mrc2,8,anderson,spline6-gvarying,poly2-gscalar,0.9968246751104145,0.9956103139814544,0.8421052631578947,0.1037463976945245,0.0011439975710139864,0.005710320536729217
