slug,nu,solver,form_a,form_b,pearson,spearman
ALL_B_14-25_mrc2,8,anderson,poly2-goff,poly2-goff,1.0,1.0
ALL_B_14-25_mrc2,8,anderson,poly2-goff,poly2-gscalar,0.9838945036477418,0.9791685215512215
ALL_B_14-25_mrc2,8,anderson,poly2-goff,poly2-gvarying,0.9869351455300162,0.9832141324683398
ALL_B_14-25_mrc2,8,anderson,poly2-goff,poly3-goff,0.9975987771765313,0.9965118596770979
ALL_B_14-25_mrc2,8,anderson,poly2-goff,poly3-gscalar,0.9826589239225143,0.9778083047896519
ALL_B_14-25_mrc2,8,anderson,poly2-goff,poly3-gvarying,0.9844982152671404,0.9799230167861548
ALL_B_14-25_mrc2,8,anderson,poly2-goff,poly4-goff,0.996690224354493,0.9950195272672339
ALL_B_14-25_mrc2,8,anderson,poly2-goff,poly4-gscalar,0.9815318569704136,0.9764383229584255
ALL_B_14-25_mrc2,8,anderson,poly2-goff,poly4-gvarying,0.9818863076905475,0.976797332872269
ALL_B_14-25_mrc2,8,anderson,poly2-goff,poly5-goff,0.9965401938912642,0.9949078033820459
ALL_B_14-25_mrc2,8,anderson,poly2-goff,poly5-gscalar,0.9811379383245928,0.9762527866349512
ALL_B_14-25_mrc2,8,anderson,poly2-goff,poly5-gvarying,0.9812054721663879,0.9762539354666754
ALL_B_14-25_mrc2,8,anderson,poly2-goff,poly6-goff,0.9965692313967766,0.9949945401772303
ALL_B_14-25_mrc2,8,anderson,poly2-goff,poly6-gscalar,0.9811434999974943,0.9764940412970541
ALL_B_14-25_mrc2,8,anderson,poly2-goff,poly6-gvarying,0.9808049791145573,0.9760847699952725
ALL_B_14-25_mrc2,8,anderson,poly2-goff,spline3-goff,0.9984421573806632,0.9977514491076163
ALL_B_14-25_mrc2,8,anderson,poly2-goff,spline3-gscalar,0.9832628855594924,0.978393634553182
ALL_B_14-25_mrc2,8,anderson,poly2-goff,spline3-gvarying,0.9850770178335108,0.9808739622459431
ALL_B_14-25_mrc2,8,anderson,poly2-goff,spline4-goff,0.9955442645359248,0.9935372471349574
ALL_B_14-25_mrc2,8,anderson,poly2-goff,spline4-gscalar,0.9806106433920516,0.9754730171020835
ALL_B_14-25_mrc2,8,anderson,poly2-goff,spline4-gvarying,0.9807409141498468,0.9753644525041372
ALL_B_14-25_mrc2,8,anderson,poly2-goff,spline5-goff,0.9961995357230161,0.9945126052688871
ALL_B_14-25_mrc2,8,anderson,poly2-goff,spline5-gscalar,0.9811277905530513,0.9765178795553331
ALL_B_14-25_mrc2,8,anderson,poly2-goff,spline5-gvarying,0.9805470937057191,0.9756729138221115
ALL_B_14-25_mrc2,8,anderson,poly2-goff,spline6-goff,0.9962543347515086,0.9946099687575213
ALL_B_14-25_mrc2,8,anderson,poly2-goff,spline6-gscalar,0.9811196447706915,0.9764802553163624
ALL_B_14-25_mrc2,8,anderson,poly2-goff,spline6-gvarying,0.9806331458888625,0.9757297809924643
ALL_B_14-25_mrc2,8,anderson,poly2-gscalar,poly2-goff,0.9838945036477418,0.9791685215512215
ALL_B_14-25_mrc2,8,anderson,poly2-gscalar,poly2-gscalar,1.0,1.0
ALL_B_14-25_mrc2,8,anderson,poly2-gscalar,poly2-gvarying,0.9991699305613668,0.9987029689832666
ALL_B_14-25_mrc2,8,anderson,poly2-gscalar,poly3-goff,0.9808447287082372,0.9759110091969724
ALL_B_14-25_mrc2,8,anderson,poly2-gscalar,poly3-gscalar,0.9982892140596286,0.9972175295637485
ALL_B_14-25_mrc2,8,anderson,poly2-gscalar,poly3-gvarying,0.9975320450237484,0.9963202919870712
ALL_B_14-25_mrc2,8,anderson,poly2-gscalar,poly4-goff,0.9805415658045286,0.9748641362882051
