slug,solver,nu,cand,basis,gamma_form,fold,train_loglik,heldout_logdens,heldout_per_cell,heldout_rmse,n_test,n_orphan,n_iter
ALL_M_14-25_mrc2,anderson,inf,poly2-gscalar,poly2,scalar,0,1040268.1221980061,139741.9060184186,0.8083828284244363,0.0830021720556922,172866,0,46
ALL_M_14-25_mrc2,anderson,8,poly2-gscalar,poly2,scalar,0,1116828.013826564,157009.824774621,0.9082747606505674,0.09172549010757354,172866,0,179
ALL_M_14-25_mrc2,anderson,inf,poly2-gscalar,poly2,scalar,1,1037387.1149134971,145135.1276692545,0.8406905065469624,0.08209453178838069,172638,0,45
ALL_M_14-25_mrc2,anderson,8,poly2-gscalar,poly2,scalar,1,1115775.942116915,158428.33454899612,0.9176909750402352,0.0871937719622369,172638,0,176
ALL_M_14-25_mrc2,anderson,inf,poly2-gscalar,poly2,scalar,2,1037184.1345818257,145954.42130362825,0.8457546736953535,0.08193566855010621,172573,0,71
ALL_M_14-25_mrc2,anderson,8,poly2-gscalar,poly2,scalar,2,1115454.0657532066,158931.80937508482,0.9209540853730585,0.0885560800047498,172573,0,103
ALL_M_14-25_mrc2,anderson,inf,poly2-gscalar,poly2,scalar,3,1036476.9770482227,147045.5896770017,0.8539133673070097,0.0817304470036251,172202,0,57
ALL_M_14-25_mrc2,anderson,8,poly2-gscalar,poly2,scalar,3,1114972.1247165394,159761.43870360707,0.9277559999512611,0.09140088975522583,172202,0,112
ALL_M_14-25_mrc2,anderson,inf,poly2-gscalar,poly2,scalar,4,1039025.503747291,142069.53613164334,0.8221949739378525,0.08261609957006283,172793,0,59
ALL_M_14-25_mrc2,anderson,8,poly2-gscalar,poly2,scalar,4,1115925.0954805983,158258.24170217334,0.9158834079052586,0.09041528790124091,172793,0,94
ALL_M_14-25_mrc2,anderson,inf,poly2-gvarying,poly2,varying,0,1041692.9690060893,136593.53496637236,0.7901700448114283,0.08352858668453608,172866,0,66
ALL_M_14-25_mrc2,anderson,8,poly2-gvarying,poly2,varying,0,1116858.7062231565,156986.48760304158,0.9081397591373757,0.09135973415189202,172866,0,195
ALL_M_14-25_mrc2,anderson,inf,poly2-gvarying,poly2,varying,1,1037761.158999474,145518.4459455157,0.8429108651948917,0.08199077443915251,172638,0,43
ALL_M_14-25_mrc2,anderson,8,poly2-gvarying,poly2,varying,1,1115811.6684022208,158256.47611568612,0.9166954906549318,0.08639777920181928,172638,0,227
ALL_M_14-25_mrc2,anderson,inf,poly2-gvarying,poly2,varying,2,1037526.6775657012,146421.1295683686,0.8484590843780232,0.08181679366402529,172573,0,73
ALL_M_14-25_mrc2,anderson,8,poly2-gvarying,poly2,varying,2,1115484.0312689068,158864.17366680462,0.920562160168767,0.08764849441156734,172573,0,108
ALL_M_14-25_mrc2,anderson,inf,poly2-gvarying,poly2,varying,3,1037068.861260109,146813.99866401675,0.8525684873811962,0.0817388358087566,172202,0,56
ALL_M_14-25_mrc2,anderson,8,poly2-gvarying,poly2,varying,3,1115039.8583286353,159584.2244287497,0.9267268930021121,0.0901041843714735,172202,0,146
ALL_M_14-25_mrc2,anderson,inf,poly2-gvarying,poly2,varying,4,1039568.576110442,141890.25329120576,0.82115741546941,0.08261475227096286,172793,0,59
ALL_M_14-25_mrc2,anderson,8,poly2-gvarying,poly2,varying,4,1116001.3909486013,158120.656517864,0.9150871650927063,0.08947215777255013,172793,0,195
ALL_M_14-25_mrc2,anderson,inf,poly3-gscalar,poly3,scalar,0,1040646.9108160199,139731.8796619501,0.8083248276812682,0.08297762523986899,172866,0,47
ALL_M_14-25_mrc2,anderson,8,poly3-gscalar,poly3,scalar,0,1117310.879782393,157024.09692115488,0.9083573225570956,0.09167965316458036,172866,0,163
ALL_M_14-25_mrc2,anderson,inf,poly3-gscalar,poly3,scalar,1,1037771.8490537268,145099.25469619274,0.8404827135172601,0.08207580752814568,172638,0,43
ALL_M_14-25_mrc2,anderson,8,poly3-gscalar,poly3,scalar,1,1116242.7366517077,158432.18192573581,0.917713260844865,0.087174196209548,172638,0,153
ALL_M_14-25_mrc2,anderson,inf,poly3-gscalar,poly3,scalar,2,1037555.9343680658,145932.56929858026,0.8456280489913269,0.08191510922746482,172573,0,64
ALL_M_14-25_mrc2,anderson,8,poly3-gscalar,poly3,scalar,2,1115898.0761224085,158967.76912734288,0.9211624595234648,0.0885305748241106,172573,0,94
ALL_M_14-25_mrc2,anderson,inf,poly3-gscalar,poly3,scalar,3,1036847.25866308,147053.2877192652,0.85395807086599,0.08170415564014889,172202,0,62
ALL_M_14-25_mrc2,anderson,8,poly3-gscalar,poly3,scalar,3,1115418.654963117,159789.80021879726,0.9279206990557441,0.09136837541949355,172202,0,107
ALL_M_14-25_mrc2,anderson,inf,poly3-gscalar,poly3,scalar,4,1039390.2666577627,142090.84561690871,0.8223182977140782,0.08258659082987713,172793,0,59
ALL_M_14-25_mrc2,anderson,8,poly3-gscalar,poly3,scalar,4,1116383.539739797,158329.04194415663,0.9162931481261198,0.0903579422860173,172793,0,88
ALL_M_14-25_mrc2,anderson,inf,poly3-gvarying,poly3,varying,0,1042878.1169007317,140151.31360505693,0.8107511807125573,0.08273761586781223,172866,0,60
ALL_M_14-25_mrc2,anderson,8,poly3-gvarying,poly3,varying,0,1117654.8553634644,157807.40384015488,0.9128886180055932,0.08627290412931633,172866,0,177
ALL_M_14-25_mrc2,anderson,inf,poly3-gvarying,poly3,varying,1,1040031.7089998857,145853.16501308949,0.8448497145071738,0.08176910815932986,172638,0,41
