slug,slice,solver,nu,cand,basis,gamma_form,full_loglik,full_aic,full_bic,n_params,n_iter,converged,cv_logdens,cv_per_cell,heldout_rmse,n_test_total,n_orphan_total
ALL_M_14-25_mrc2,ALL_M,anderson,inf,poly2-gscalar,poly2,scalar,1250916.020500871,-1945334.0410017418,1301345.798315755,278250,55,True,719946.5807999464,0.8341674632011541,0.08227766213034847,863072,0
ALL_M_14-25_mrc2,ALL_M,anderson,8,poly2-gscalar,poly2,scalar,1334002.2273378198,-2111506.4546756395,1135173.3846418574,278250,93,True,792389.6491044824,0.9181037608733482,0.08987487628083142,863072,0
ALL_M_14-25_mrc2,ALL_M,anderson,inf,poly2-gvarying,poly2,varying,1251549.537454339,-1946599.074908678,1300092.4326622155,278251,55,True,717237.3624354792,0.8310284222353166,0.08234138309873852,863072,0
ALL_M_14-25_mrc2,ALL_M,anderson,8,poly2-gvarying,poly2,varying,1334171.1387712595,-2111842.277542519,1134849.2300283746,278251,173,True,791812.018332146,0.9174344878899396,0.08901426494137714,863072,0
ALL_M_14-25_mrc2,ALL_M,anderson,inf,poly3-gscalar,poly3,scalar,1251355.5349722207,-1946211.0699444413,1300480.4376264522,278251,55,True,719907.8369928971,0.8341225726160704,0.08225372861181794,863072,0
ALL_M_14-25_mrc2,ALL_M,anderson,8,poly3-gscalar,poly3,scalar,1334529.5518152248,-2112559.1036304496,1134132.4039404439,278251,96,True,792542.8901371874,0.9182813138848062,0.08983853610949968,863072,0
ALL_M_14-25_mrc2,ALL_M,anderson,inf,poly3-gvarying,poly3,varying,1254424.2366962044,-1952344.4733924088,1294370.3706852775,278253,52,True,718513.2011148029,0.8325066751265281,0.08212954699443954,863072,0
ALL_M_14-25_mrc2,ALL_M,anderson,8,poly3-gvarying,poly3,varying,1335916.7011157088,-2115329.4022314176,1131385.4418462687,278253,119,True,795701.3964704056,0.9219409232027057,0.08479009936601518,863072,0
ALL_M_14-25_mrc2,ALL_M,anderson,inf,spline3-gscalar,spline3,scalar,1251331.2206920425,-1946164.441384085,1300515.3979334119,278250,52,True,719923.2203509181,0.8341403965728446,0.08225453022513694,863072,0
ALL_M_14-25_mrc2,ALL_M,anderson,8,spline3-gscalar,spline3,scalar,1334498.3508071913,-2112498.7016143827,1134181.1377031142,278250,96,True,792498.0097035624,0.9182293130857708,0.08984792056171363,863072,0
ALL_M_14-25_mrc2,ALL_M,anderson,inf,spline3-gvarying,spline3,varying,1252401.0185125002,-1948302.0370250004,1298389.470545893,278251,55,True,717603.3683340031,0.8314524956596937,0.0822774945789163,863072,0
ALL_M_14-25_mrc2,ALL_M,anderson,8,spline3-gvarying,spline3,varying,1335361.3328371756,-2114222.665674351,1132468.8418965423,278251,129,True,794281.5240040699,0.9202957852926174,0.08540483054425964,863072,0
ALL_M_14-25_mrc2,ALL_M,anderson,inf,spline4-gscalar,spline4,scalar,1251630.8298556595,-1946761.659711319,1299929.8478595745,278251,52,True,719968.5895842747,0.8341929637206105,0.08223571561297816,863072,0
ALL_M_14-25_mrc2,ALL_M,anderson,8,spline4-gscalar,spline4,scalar,1334834.541868091,-2113169.083736182,1133522.4238347113,278251,102,True,792582.7320711466,0.9183274768167042,0.08982612482180763,863072,0
ALL_M_14-25_mrc2,ALL_M,anderson,inf,spline4-gvarying,spline4,varying,1252809.4732059538,-1949114.9464119077,1297599.8976657786,278253,54,True,717476.6477740952,0.8313056706440427,0.08225920345429565,863072,0
ALL_M_14-25_mrc2,ALL_M,anderson,8,spline4-gvarying,spline4,varying,1336862.725600227,-2117221.451200454,1129493.3928772323,278253,111,True,795611.8458558196,0.9218371652142807,0.08627880258390531,863072,0
ALL_M_14-25_mrc2,ALL_M,anderson,inf,spline5-gscalar,spline5,scalar,1251704.9462027946,-1946907.892405589,1299795.2834187006,278252,54,True,720046.7645005971,0.8342835412347952,0.08222853070975085,863072,0
ALL_M_14-25_mrc2,ALL_M,anderson,8,spline5-gscalar,spline5,scalar,1334919.9135511937,-2113337.8271023873,1133365.3487219024,278252,98,True,792626.7278112734,0.91837845256395,0.08983138352941009,863072,0
ALL_M_14-25_mrc2,ALL_M,anderson,inf,spline5-gvarying,spline5,varying,1254045.9908948676,-1951583.9817897351,1295154.198794744,278255,51,True,718856.9905819853,0.8329050074408454,0.0821372657971682,863072,0
ALL_M_14-25_mrc2,ALL_M,anderson,8,spline5-gvarying,spline5,varying,1337053.4445866956,-2117598.8891733913,1129139.2914110878,278255,100,True,796004.3663602455,0.9222919598367755,0.08733928722029305,863072,0
ALL_M_14-25_mrc2,ALL_M,anderson,inf,spline6-gscalar,spline6,scalar,1251714.9386421484,-1946925.8772842968,1299788.9667933895,278253,55,True,720051.5706474688,0.8342891098859293,0.08222776896504812,863072,0
ALL_M_14-25_mrc2,ALL_M,anderson,8,spline6-gscalar,spline6,scalar,1334932.4268096644,-2113360.8536193287,1133353.9904583576,278253,99,True,792654.394987685,0.9184105091900618,0.08982700584776447,863072,0
ALL_M_14-25_mrc2,ALL_M,anderson,inf,spline6-gvarying,spline6,varying,1255461.2184246052,-1954410.4368492104,1292351.080242062,278257,54,True,721386.5413017442,0.8358358761514035,0.08196137932570206,863072,0
ALL_M_14-25_mrc2,ALL_M,anderson,8,spline6-gvarying,spline6,varying,1337076.3500351268,-2117640.7000702536,1129120.8170210188,278257,107,True,795807.701789313,0.9220640940608814,0.08740685710075803,863072,0
