slug,slice,nu,cand,basis,gamma_form,solver,loglik_best,best_init,loglik_gap_across_inits,max_abs_dv_across_inits,all_converged
ALL_M_14-25_mrc2,ALL_M,inf,poly2-goff,poly2,off,anderson,1247721.6314235057,mean,0.0024671144783496857,0.0016459355588023632,True
ALL_M_14-25_mrc2,ALL_M,inf,poly2-gscalar,poly2,scalar,anderson,1250916.020500871,mean,0.0005401766393333673,0.0006311892832541605,True
ALL_M_14-25_mrc2,ALL_M,inf,poly2-gvarying,poly2,varying,anderson,1251549.537454339,mean,0.000591762363910675,0.000557176383086719,True
ALL_M_14-25_mrc2,ALL_M,inf,poly3-goff,poly3,off,anderson,1248197.9346635512,mean,0.0010521991644054651,0.001039826404322838,True
ALL_M_14-25_mrc2,ALL_M,inf,poly3-gscalar,poly3,scalar,anderson,1251355.5350474168,rand1,0.0010683306027203798,0.0009728397427373626,True
ALL_M_14-25_mrc2,ALL_M,inf,poly3-gvarying,poly3,varying,anderson,1254424.2366962044,mean,0.0008529634214937687,0.0008420096184631777,True
ALL_M_14-25_mrc2,ALL_M,inf,poly4-goff,poly4,off,anderson,1248487.7679684253,rand1,0.0010750868823379278,0.001093605638120304,True
ALL_M_14-25_mrc2,ALL_M,inf,poly4-gscalar,poly4,scalar,anderson,1251620.1098063304,rand1,0.0007780024316161871,0.0005565321522051202,True
ALL_M_14-25_mrc2,ALL_M,inf,poly4-gvarying,poly4,varying,anderson,1256098.4891976407,rand0,0.002636917168274522,0.0020486224664000505,True
ALL_M_14-25_mrc2,ALL_M,inf,poly5-goff,poly5,off,anderson,1248611.9057844537,rand1,0.001190132461488247,0.0010348861643958152,True
ALL_M_14-25_mrc2,ALL_M,inf,poly5-gscalar,poly5,scalar,anderson,1251740.630880399,rand1,0.000557783292606473,0.0009038550989029503,True
ALL_M_14-25_mrc2,ALL_M,inf,poly5-gvarying,poly5,varying,anderson,1256682.8837761423,mean,0.0007566339336335659,0.001279840763414702,True
ALL_M_14-25_mrc2,ALL_M,inf,poly6-goff,poly6,off,anderson,1248617.8922458077,rand1,0.0009170395787805319,0.0010250863403512799,True
ALL_M_14-25_mrc2,ALL_M,inf,poly6-gscalar,poly6,scalar,anderson,1251747.1602389112,rand1,0.0006606075912714005,0.00109053950840262,True
ALL_M_14-25_mrc2,ALL_M,inf,poly6-gvarying,poly6,varying,anderson,1256783.6447004569,rand0,0.0005155813414603472,0.0006593359468866043,True
ALL_M_14-25_mrc2,ALL_M,inf,spline3-goff,spline3,off,anderson,1248167.5740323549,mean,0.0022755425889045,0.0016972575960466744,True
ALL_M_14-25_mrc2,ALL_M,inf,spline3-gscalar,spline3,scalar,anderson,1251331.2214428715,rand1,0.0007508290000259876,0.0006394735469774995,True
ALL_M_14-25_mrc2,ALL_M,inf,spline3-gvarying,spline3,varying,anderson,1252401.0186547604,rand1,0.0007629110477864742,0.0008099124604929401,True
ALL_M_14-25_mrc2,ALL_M,inf,spline4-goff,spline4,off,anderson,1248502.669933079,mean,0.000574739184230566,0.0013520056834126423,True
ALL_M_14-25_mrc2,ALL_M,inf,spline4-gscalar,spline4,scalar,anderson,1251630.8303099894,rand1,0.0009582550264894962,0.0010834442376958867,True
ALL_M_14-25_mrc2,ALL_M,inf,spline4-gvarying,spline4,varying,anderson,1252809.4734859958,rand1,0.0008434741757810116,0.0009400568357484321,True
ALL_M_14-25_mrc2,ALL_M,inf,spline5-goff,spline5,off,anderson,1248575.5367015747,mean,0.0008524826262146235,0.0013467209715094415,True
ALL_M_14-25_mrc2,ALL_M,inf,spline5-gscalar,spline5,scalar,anderson,1251704.9464197713,rand1,0.0006839691195636988,0.0008696143255907882,True
ALL_M_14-25_mrc2,ALL_M,inf,spline5-gvarying,spline5,varying,anderson,1254045.9914505482,rand1,0.0005556805990636349,0.0016015970231298034,True
