slug,slice,nu,cand,basis,gamma_form,solver,init,seed,loglik,aic,bic,n_params,n_iter,converged,wall_s
ALL_M_14-25_mrc2,ALL_M,inf,poly2-goff,poly2,off,anderson,mean,,1247721.6314235057,-1938947.2628470114,1307720.9082170888,278249,56,True,11.970396199962124
ALL_M_14-25_mrc2,ALL_M,inf,poly2-goff,poly2,off,anderson,rand0,0.0,1247721.6308813258,-1938947.2617626516,1307720.9093014486,278249,56,True,11.028090300038457
ALL_M_14-25_mrc2,ALL_M,inf,poly2-goff,poly2,off,anderson,rand1,1.0,1247721.6289563912,-1938947.2579127825,1307720.9131513177,278249,56,True,11.119790199911222
ALL_M_14-25_mrc2,ALL_M,inf,poly2-gscalar,poly2,scalar,anderson,mean,,1250916.020500871,-1945334.0410017418,1301345.798315755,278250,55,True,13.252626899979077
ALL_M_14-25_mrc2,ALL_M,inf,poly2-gscalar,poly2,scalar,anderson,rand0,0.0,1250916.0199606942,-1945334.0399213885,1301345.7993961084,278250,55,True,12.104884900036268
ALL_M_14-25_mrc2,ALL_M,inf,poly2-gscalar,poly2,scalar,anderson,rand1,1.0,1250916.0203759386,-1945334.0407518772,1301345.7985656196,278250,53,True,11.169116600067355
ALL_M_14-25_mrc2,ALL_M,inf,poly2-gvarying,poly2,varying,anderson,mean,,1251549.537454339,-1946599.074908678,1300092.4326622155,278251,55,True,13.31602569995448
ALL_M_14-25_mrc2,ALL_M,inf,poly2-gvarying,poly2,varying,anderson,rand0,0.0,1251549.5368625766,-1946599.0737251532,1300092.4338457403,278251,54,True,12.350404800032265
ALL_M_14-25_mrc2,ALL_M,inf,poly2-gvarying,poly2,varying,anderson,rand1,1.0,1251549.537200993,-1946599.0744019859,1300092.4331689076,278251,52,True,11.461769500048831
ALL_M_14-25_mrc2,ALL_M,inf,poly3-goff,poly3,off,anderson,mean,,1248197.9346635512,-1939897.8693271023,1306781.9699903945,278250,55,True,12.787493199924938
ALL_M_14-25_mrc2,ALL_M,inf,poly3-goff,poly3,off,anderson,rand0,0.0,1248197.933611352,-1939897.867222704,1306781.9720947929,278250,55,True,11.63906620000489
ALL_M_14-25_mrc2,ALL_M,inf,poly3-goff,poly3,off,anderson,rand1,1.0,1248197.9346311544,-1939897.8692623088,1306781.970055188,278250,55,True,11.068422600044869
ALL_M_14-25_mrc2,ALL_M,inf,poly3-gscalar,poly3,scalar,anderson,mean,,1251355.5349722207,-1946211.0699444413,1300480.4376264522,278251,55,True,13.290879299980588
ALL_M_14-25_mrc2,ALL_M,inf,poly3-gscalar,poly3,scalar,anderson,rand0,0.0,1251355.5339790862,-1946211.0679581724,1300480.439612721,278251,54,True,11.93253539991565
ALL_M_14-25_mrc2,ALL_M,inf,poly3-gscalar,poly3,scalar,anderson,rand1,1.0,1251355.5350474168,-1946211.0700948336,1300480.43747606,278251,55,True,11.93631010001991
ALL_M_14-25_mrc2,ALL_M,inf,poly3-gvarying,poly3,varying,anderson,mean,,1254424.2366962044,-1952344.4733924088,1294370.3706852775,278253,52,True,13.531708499998786
ALL_M_14-25_mrc2,ALL_M,inf,poly3-gvarying,poly3,varying,anderson,rand0,0.0,1254424.235843241,-1952344.471686482,1294370.3723912043,278253,51,True,12.519477599998936
ALL_M_14-25_mrc2,ALL_M,inf,poly3-gvarying,poly3,varying,anderson,rand1,1.0,1254424.2362618777,-1952344.4725237554,1294370.371553931,278253,47,True,11.029147599940188
ALL_M_14-25_mrc2,ALL_M,inf,poly4-goff,poly4,off,anderson,mean,,1248487.7671544573,-1940475.5343089146,1306215.973261979,278251,55,True,12.050135399913415
