slug,solver,nu,cand,basis,gamma_form,fold,train_loglik,heldout_logdens,heldout_per_cell,heldout_rmse,n_test,n_orphan,n_iter
ALL_W_14-25_mrc2,anderson,inf,poly2-gscalar,poly2,scalar,0,479095.902531996,64961.751445655515,0.8517898307959814,0.07848398799893531,76265,0,60
ALL_W_14-25_mrc2,anderson,8,poly2-gscalar,poly2,scalar,0,508606.955579679,71827.89469245404,0.9418199002485287,0.0834823105280898,76265,0,171
ALL_W_14-25_mrc2,anderson,inf,poly2-gscalar,poly2,scalar,1,479351.9448381512,65099.49055767986,0.8570684416988765,0.07834874546517463,75956,0,53
ALL_W_14-25_mrc2,anderson,8,poly2-gscalar,poly2,scalar,1,508858.74952237576,71871.98530134826,0.9462318355541137,0.0831633135080389,75956,0,196
ALL_W_14-25_mrc2,anderson,inf,poly2-gscalar,poly2,scalar,2,480240.72368871194,63054.98657011566,0.827156754733844,0.0791024037465961,76231,0,33
ALL_W_14-25_mrc2,anderson,8,poly2-gscalar,poly2,scalar,2,509497.1087035432,70908.22870193534,0.9301757644781695,0.08254847611347708,76231,0,141
ALL_W_14-25_mrc2,anderson,inf,poly2-gscalar,poly2,scalar,3,479931.9776940098,63144.02892204474,0.8271746194118808,0.07912389673247686,76337,0,47
ALL_W_14-25_mrc2,anderson,8,poly2-gscalar,poly2,scalar,3,509384.146935522,70631.78136680643,0.9252627345429665,0.08125013640265737,76337,0,164
ALL_W_14-25_mrc2,anderson,inf,poly2-gscalar,poly2,scalar,4,479422.6025812855,64243.83567251673,0.8426305143164756,0.07873344511558965,76242,0,58
ALL_W_14-25_mrc2,anderson,8,poly2-gscalar,poly2,scalar,4,509062.04063143884,71235.12022450496,0.9343291128840399,0.08312661137900654,76242,0,159
ALL_W_14-25_mrc2,anderson,inf,poly2-gvarying,poly2,varying,0,480289.4397676467,65680.25697850394,0.8612110008326748,0.07800068256696446,76265,0,58
ALL_W_14-25_mrc2,anderson,8,poly2-gvarying,poly2,varying,0,508607.9787688938,71845.64797064824,0.942052684332895,0.08373031820921335,76265,0,128
ALL_W_14-25_mrc2,anderson,inf,poly2-gvarying,poly2,varying,1,480659.7145685488,65515.64226481729,0.8625472940230829,0.07797529781052362,75956,0,52
ALL_W_14-25_mrc2,anderson,8,poly2-gvarying,poly2,varying,1,508860.7480266623,71879.43659726523,0.946329935716273,0.08294395278560748,75956,0,153
ALL_W_14-25_mrc2,anderson,inf,poly2-gvarying,poly2,varying,2,481581.3027604689,63340.267117318945,0.8308990714711724,0.07877594316944911,76231,0,45
ALL_W_14-25_mrc2,anderson,8,poly2-gvarying,poly2,varying,2,509500.4081679261,70874.25151201045,0.9297300509243018,0.08237980774593028,76231,0,166
ALL_W_14-25_mrc2,anderson,inf,poly2-gvarying,poly2,varying,3,481336.9322491357,63196.29566394243,0.8278593036658819,0.07888369472731907,76337,0,32
ALL_W_14-25_mrc2,anderson,8,poly2-gvarying,poly2,varying,3,509377.3563269978,70641.07624743512,0.9253844956893135,0.08116982744916088,76337,0,118
ALL_W_14-25_mrc2,anderson,inf,poly2-gvarying,poly2,varying,4,480700.7864099097,64683.190817895826,0.8483931536147508,0.07835394672234369,76242,0,54
ALL_W_14-25_mrc2,anderson,8,poly2-gvarying,poly2,varying,4,509063.75949418347,71237.50615056617,0.9343604070009466,0.08339510049631968,76242,0,113
ALL_W_14-25_mrc2,anderson,inf,poly3-gscalar,poly3,scalar,0,479217.9057045856,65000.64729341652,0.8522998399451455,0.07844904945261956,76265,0,63
ALL_W_14-25_mrc2,anderson,8,poly3-gscalar,poly3,scalar,0,508760.45188313245,71883.63363919737,0.9425507590532666,0.08342599612657524,76265,0,100
ALL_W_14-25_mrc2,anderson,inf,poly3-gscalar,poly3,scalar,1,479477.5169925404,65127.24163727618,0.8574337990056898,0.07831799459484849,75956,0,55
ALL_W_14-25_mrc2,anderson,8,poly3-gscalar,poly3,scalar,1,509007.9938257807,71894.76059888599,0.9465316841182525,0.08313439080578432,75956,0,154
ALL_W_14-25_mrc2,anderson,inf,poly3-gscalar,poly3,scalar,2,480370.97759904736,63072.55174717077,0.8273871751278452,0.07907484286004086,76231,0,33
