slug,slice,solver,nu,cand,basis,gamma_form,full_loglik,full_aic,full_bic,n_params,n_iter,converged,cv_logdens,cv_per_cell,heldout_rmse,n_test_total,n_orphan_total
ALL_W_14-25_mrc2,ALL_W,anderson,inf,poly2-gscalar,poly2,scalar,577307.4717241446,-904636.9434482893,451573.20150907594,124990,53,True,320504.0931680125,0.841149652306538,0.0787594970325943,381031,0
ALL_W_14-25_mrc2,ALL_W,anderson,8,poly2-gscalar,poly2,scalar,607993.6466701825,-966009.2933403649,390200.8516170003,124990,162,True,356475.010287049,0.9355538270824395,0.08271731025077407,381031,0
ALL_W_14-25_mrc2,ALL_W,anderson,inf,poly2-gvarying,poly2,varying,578946.9839070184,-907913.9678140369,448307.027779344,124991,54,True,322415.6528424784,0.8461664611080947,0.07839923125614488,381031,0
ALL_W_14-25_mrc2,ALL_W,anderson,8,poly2-gvarying,poly2,varying,608005.901281718,-966031.8025634361,390189.1930299448,124991,177,True,356477.9184779252,0.9355614595083476,0.0827282154757205,381031,0
ALL_W_14-25_mrc2,ALL_W,anderson,inf,poly3-gscalar,poly3,scalar,577475.4490314167,-904970.8980628334,451250.09753054753,124991,54,True,320477.902769054,0.8410809166945838,0.07873961727135508,381031,0
ALL_W_14-25_mrc2,ALL_W,anderson,8,poly3-gscalar,poly3,scalar,608184.0103193421,-966388.0206386843,389832.9749546966,124991,147,True,356511.42229023745,0.9356493888692454,0.08270089282898652,381031,0
ALL_W_14-25_mrc2,ALL_W,anderson,inf,poly3-gvarying,poly3,varying,579148.8348067685,-908313.6696135369,447929.027251875,124993,57,True,322394.0619313496,0.846109796660507,0.07837468887317219,381031,0
ALL_W_14-25_mrc2,ALL_W,anderson,8,poly3-gvarying,poly3,varying,608534.8583988391,-967085.7167976783,389156.9800677337,124993,201,True,357382.35718413943,0.9379351212477185,0.07990526698503136,381031,0
ALL_W_14-25_mrc2,ALL_W,anderson,inf,spline3-gscalar,spline3,scalar,577457.232711696,-904936.4654233919,451273.67953397334,124990,54,True,320495.868793627,0.8411280677782832,0.07874058328615231,381031,0
ALL_W_14-25_mrc2,ALL_W,anderson,8,spline3-gscalar,spline3,scalar,608163.492154042,-966348.984308084,389861.1606492812,124990,167,True,356497.57918184006,0.9356130582074426,0.08270202202837387,381031,0
ALL_W_14-25_mrc2,ALL_W,anderson,inf,spline3-gvarying,spline3,varying,579042.033787963,-908104.067575926,448116.9280174549,124991,55,True,322152.72631272447,0.8454764213744406,0.07840657110059526,381031,0
ALL_W_14-25_mrc2,ALL_W,anderson,8,spline3-gvarying,spline3,varying,608304.4590476763,-966628.9180953526,389592.0774980283,124991,190,True,356715.22175002383,0.9361842520687919,0.08124294575161652,381031,0
ALL_W_14-25_mrc2,ALL_W,anderson,inf,spline4-gscalar,spline4,scalar,577618.3331634654,-905256.6663269307,450964.32926645014,124991,55,True,320475.76990356937,0.8410753190778949,0.0787213085406668,381031,0
ALL_W_14-25_mrc2,ALL_W,anderson,8,spline4-gscalar,spline4,scalar,608326.5728310383,-966673.1456620765,389547.84993130434,124991,160,True,356567.3437449804,0.9357961523996221,0.08267339100399108,381031,0
ALL_W_14-25_mrc2,ALL_W,anderson,inf,spline4-gvarying,spline4,varying,579513.2589648055,-909042.517929611,447200.1789358009,124993,58,True,322729.9747232678,0.8469913858013332,0.0783022246297121,381031,0
ALL_W_14-25_mrc2,ALL_W,anderson,8,spline4-gvarying,spline4,varying,608939.6833661856,-967895.3667323713,388347.33013304067,124993,173,True,357535.7240718189,0.9383376262609051,0.08103715552461424,381031,0
ALL_W_14-25_mrc2,ALL_W,anderson,inf,spline5-gscalar,spline5,scalar,577663.4762496426,-905344.9524992851,450886.8937301114,124992,55,True,320504.2204974425,0.8411499864773274,0.07871329256505094,381031,0
ALL_W_14-25_mrc2,ALL_W,anderson,8,spline5-gscalar,spline5,scalar,608376.774659061,-966771.549318122,389460.29691127455,124992,178,True,356625.9980930971,0.9359500882949081,0.08266965080187,381031,0
ALL_W_14-25_mrc2,ALL_W,anderson,inf,spline5-gvarying,spline5,varying,579546.5866410387,-909105.1732820773,447159.22485536593,124995,58,True,322692.922908145,0.8468941448547362,0.07830065749161706,381031,0
ALL_W_14-25_mrc2,ALL_W,anderson,8,spline5-gvarying,spline5,varying,609031.2517114067,-968074.5034228135,388189.89471462974,124995,201,True,357454.7129711274,0.9381250159990326,0.0817770253821591,381031,0
ALL_W_14-25_mrc2,ALL_W,anderson,inf,spline6-gscalar,spline6,scalar,577670.748067015,-905357.4961340299,450885.200731382,124993,56,True,320496.11894530687,0.841128724290955,0.07871297243427301,381031,0
ALL_W_14-25_mrc2,ALL_W,anderson,8,spline6-gscalar,spline6,scalar,608383.7572746271,-966783.5145492542,389459.18231615773,124993,158,True,356629.1086584531,0.935958251844215,0.08266817495755152,381031,0
ALL_W_14-25_mrc2,ALL_W,anderson,inf,spline6-gvarying,spline6,varying,579596.5928562806,-909201.1857125612,447084.9136969133,124997,57,True,322711.6825902044,0.8469433788594745,0.0782928202644355,381031,0
ALL_W_14-25_mrc2,ALL_W,anderson,8,spline6-gvarying,spline6,varying,609045.8945702952,-968099.7891405905,388186.31026888406,124997,167,True,357600.1359853324,0.9385066726469301,0.08167189278776431,381031,0
