slug,slice,nu,cand,basis,gamma_form,solver,loglik_best,best_init,loglik_gap_across_inits,max_abs_dv_across_inits,all_converged
ALL_W_14-25_mrc2,ALL_W,inf,poly2-goff,poly2,off,anderson,575807.4377912423,rand0,1.3631884939968586e-05,0.0005418979253378822,True
ALL_W_14-25_mrc2,ALL_W,inf,poly2-gscalar,poly2,scalar,anderson,577307.4717656296,rand0,4.14849491789937e-05,0.00039140297371242417,True
ALL_W_14-25_mrc2,ALL_W,inf,poly2-gvarying,poly2,varying,anderson,578946.9839791628,rand0,7.214432116597891e-05,0.0004022588752074655,True
ALL_W_14-25_mrc2,ALL_W,inf,poly3-goff,poly3,off,anderson,575988.4113755366,rand0,4.710920620709658e-05,0.0003896237277470557,True
ALL_W_14-25_mrc2,ALL_W,inf,poly3-gscalar,poly3,scalar,anderson,577475.4490465139,rand1,1.6931327991187572e-05,0.0005636984737977108,True
ALL_W_14-25_mrc2,ALL_W,inf,poly3-gvarying,poly3,varying,anderson,579148.8348771733,rand0,7.040484342724085e-05,0.00039645198597024374,True
ALL_W_14-25_mrc2,ALL_W,inf,poly4-goff,poly4,off,anderson,576125.0362417995,mean,2.9772287234663963e-05,0.0003878637951911252,True
ALL_W_14-25_mrc2,ALL_W,inf,poly4-gscalar,poly4,scalar,anderson,577601.6270701983,rand0,3.0417460948228836e-05,0.000508986166435875,True
ALL_W_14-25_mrc2,ALL_W,inf,poly4-gvarying,poly4,varying,anderson,579519.3325470942,rand0,3.800040576606989e-05,0.000390864868320572,True
ALL_W_14-25_mrc2,ALL_W,inf,poly5-goff,poly5,off,anderson,576174.8497389656,rand0,6.69361324980855e-05,0.00041254281929859263,True
ALL_W_14-25_mrc2,ALL_W,inf,poly5-gscalar,poly5,scalar,anderson,577651.4748693032,mean,5.741138011217117e-06,0.0004474369074655288,True
ALL_W_14-25_mrc2,ALL_W,inf,poly5-gvarying,poly5,varying,anderson,579626.5836360025,rand0,2.2754422388970852e-05,0.0003923364406432459,True
ALL_W_14-25_mrc2,ALL_W,inf,poly6-goff,poly6,off,anderson,576193.4920223256,rand1,4.276202525943518e-05,0.00039086166867285943,True
ALL_W_14-25_mrc2,ALL_W,inf,poly6-gscalar,poly6,scalar,anderson,577669.8033410169,rand0,9.82009805738926e-06,0.00040216317721340766,True
ALL_W_14-25_mrc2,ALL_W,inf,poly6-gvarying,poly6,varying,anderson,579665.4717060365,rand0,4.741107113659382e-05,0.00039408510187681316,True
ALL_W_14-25_mrc2,ALL_W,inf,spline3-goff,spline3,off,anderson,575968.209252908,rand0,4.837312735617161e-05,0.0004730833066311016,True
ALL_W_14-25_mrc2,ALL_W,inf,spline3-gscalar,spline3,scalar,anderson,577457.2327502472,rand0,3.8551283068954945e-05,0.0004456495026664009,True
ALL_W_14-25_mrc2,ALL_W,inf,spline3-gvarying,spline3,varying,anderson,579042.0338439087,rand1,5.5945711210370064e-05,0.0003973890372061589,True
ALL_W_14-25_mrc2,ALL_W,inf,spline4-goff,spline4,off,anderson,576141.5050616392,rand0,3.772997297346592e-05,0.00039183293290641526,True
ALL_W_14-25_mrc2,ALL_W,inf,spline4-gscalar,spline4,scalar,anderson,577618.3331663018,rand1,1.5042838640511036e-05,0.00039420445687703143,True
ALL_W_14-25_mrc2,ALL_W,inf,spline4-gvarying,spline4,varying,anderson,579513.2589904267,rand0,2.5621149688959122e-05,0.0003900361660952481,True
ALL_W_14-25_mrc2,ALL_W,inf,spline5-goff,spline5,off,anderson,576187.6366210768,rand0,7.287017069756985e-05,0.0003919377006109505,True
ALL_W_14-25_mrc2,ALL_W,inf,spline5-gscalar,spline5,scalar,anderson,577663.4762496426,mean,4.768720827996731e-06,0.0003900398130674337,True
ALL_W_14-25_mrc2,ALL_W,inf,spline5-gvarying,spline5,varying,anderson,579546.5866897395,rand0,4.870083648711443e-05,0.0003942277022573673,True
ALL_W_14-25_mrc2,ALL_W,inf,spline6-goff,spline6,off,anderson,576194.7909158025,rand0,4.2516738176345825e-05,0.00039585265725842686,True
