slug,slice,nu,cand,basis,gamma_form,solver,init,seed,loglik,aic,bic,n_params,n_iter,converged,wall_s
ALL_W_14-25_mrc2,ALL_W,inf,poly2-goff,poly2,off,anderson,mean,,575807.4377776104,-901638.8755552208,454560.41876612883,124989,54,True,6.8537847000407055
ALL_W_14-25_mrc2,ALL_W,inf,poly2-goff,poly2,off,anderson,rand0,0.0,575807.4377912423,-901638.8755824845,454560.41873886506,124989,51,True,5.317514099995606
ALL_W_14-25_mrc2,ALL_W,inf,poly2-goff,poly2,off,anderson,rand1,1.0,575807.4377794522,-901638.8755589044,454560.4187624452,124989,53,True,5.547877899953164
ALL_W_14-25_mrc2,ALL_W,inf,poly2-gscalar,poly2,scalar,anderson,mean,,577307.4717241446,-904636.9434482893,451573.20150907594,124990,53,True,6.311240899958648
ALL_W_14-25_mrc2,ALL_W,inf,poly2-gscalar,poly2,scalar,anderson,rand0,0.0,577307.4717656296,-904636.9435312592,451573.20142610604,124990,55,True,6.283865600009449
ALL_W_14-25_mrc2,ALL_W,inf,poly2-gscalar,poly2,scalar,anderson,rand1,1.0,577307.4717551891,-904636.9435103782,451573.201446987,124990,54,True,6.45685560000129
ALL_W_14-25_mrc2,ALL_W,inf,poly2-gvarying,poly2,varying,anderson,mean,,578946.9839070184,-907913.9678140369,448307.027779344,124991,54,True,6.944569200044498
ALL_W_14-25_mrc2,ALL_W,inf,poly2-gvarying,poly2,varying,anderson,rand0,0.0,578946.9839791628,-907913.9679583255,448307.02763505536,124991,57,True,6.270743799977936
ALL_W_14-25_mrc2,ALL_W,inf,poly2-gvarying,poly2,varying,anderson,rand1,1.0,578946.9839709575,-907913.9679419149,448307.02765146596,124991,57,True,6.892564099980518
ALL_W_14-25_mrc2,ALL_W,inf,poly3-goff,poly3,off,anderson,mean,,575988.4113670812,-901998.8227341624,454211.3222232028,124990,47,True,5.710977300070226
ALL_W_14-25_mrc2,ALL_W,inf,poly3-goff,poly3,off,anderson,rand0,0.0,575988.4113755366,-901998.8227510732,454211.32220629207,124990,47,True,4.9347706999396905
ALL_W_14-25_mrc2,ALL_W,inf,poly3-goff,poly3,off,anderson,rand1,1.0,575988.4113284274,-901998.8226568548,454211.3223005105,124990,51,True,5.424070400069468
ALL_W_14-25_mrc2,ALL_W,inf,poly3-gscalar,poly3,scalar,anderson,mean,,577475.4490314167,-904970.8980628334,451250.09753054753,124991,54,True,6.787323500029743
ALL_W_14-25_mrc2,ALL_W,inf,poly3-gscalar,poly3,scalar,anderson,rand0,0.0,577475.4490295826,-904970.8980591651,451250.0975342158,124991,55,True,6.225112400017679
ALL_W_14-25_mrc2,ALL_W,inf,poly3-gscalar,poly3,scalar,anderson,rand1,1.0,577475.4490465139,-904970.8980930278,451250.0975003531,124991,55,True,5.8913475999142975
ALL_W_14-25_mrc2,ALL_W,inf,poly3-gvarying,poly3,varying,anderson,mean,,579148.8348067685,-908313.6696135369,447929.027251875,124993,57,True,8.048212600057013
ALL_W_14-25_mrc2,ALL_W,inf,poly3-gvarying,poly3,varying,anderson,rand0,0.0,579148.8348771733,-908313.6697543466,447929.02711106534,124993,59,True,7.65060680010356
ALL_W_14-25_mrc2,ALL_W,inf,poly3-gvarying,poly3,varying,anderson,rand1,1.0,579148.8348568124,-908313.6697136248,447929.0271517872,124993,59,True,7.712937999982387
ALL_W_14-25_mrc2,ALL_W,inf,poly4-goff,poly4,off,anderson,mean,,576125.0362417995,-902270.072483599,453950.9231097819,124991,53,True,7.047797899926081
ALL_W_14-25_mrc2,ALL_W,inf,poly4-goff,poly4,off,anderson,rand0,0.0,576125.0362382091,-902270.0724764182,453950.92311696266,124991,52,True,5.462409600033425
ALL_W_14-25_mrc2,ALL_W,inf,poly4-goff,poly4,off,anderson,rand1,1.0,576125.0362120272,-902270.0724240544,453950.9231693265,124991,53,True,5.687815999961458
ALL_W_14-25_mrc2,ALL_W,inf,poly4-gscalar,poly4,scalar,anderson,mean,,577601.6270397808,-905221.2540795617,451010.59214983485,124992,54,True,7.213677000021562
ALL_W_14-25_mrc2,ALL_W,inf,poly4-gscalar,poly4,scalar,anderson,rand0,0.0,577601.6270701983,-905221.2541403966,451010.5920889999,124992,55,True,6.882661400013603
ALL_W_14-25_mrc2,ALL_W,inf,poly4-gscalar,poly4,scalar,anderson,rand1,1.0,577601.6270601584,-905221.2541203168,451010.5921090797,124992,55,True,7.263141599949449
ALL_W_14-25_mrc2,ALL_W,inf,poly4-gvarying,poly4,varying,anderson,mean,,579519.3325090938,-909050.6650181876,447213.73311925563,124995,58,True,8.192262100055814
ALL_W_14-25_mrc2,ALL_W,inf,poly4-gvarying,poly4,varying,anderson,rand0,0.0,579519.3325470942,-909050.6650941884,447213.7330432548,124995,59,True,8.435054500005208
ALL_W_14-25_mrc2,ALL_W,inf,poly4-gvarying,poly4,varying,anderson,rand1,1.0,579519.3325206811,-909050.6650413622,447213.73309608107,124995,59,True,7.4089397001080215
ALL_W_14-25_mrc2,ALL_W,inf,poly5-goff,poly5,off,anderson,mean,,576174.8496847793,-902367.6993695586,453864.1468598379,124992,50,True,6.603063499904238
ALL_W_14-25_mrc2,ALL_W,inf,poly5-goff,poly5,off,anderson,rand0,0.0,576174.8497389656,-902367.6994779313,453864.1467514653,124992,51,True,6.205931599950418
