slug,nu,solver,form_a,form_b,pearson,spearman
ALL_W_14-25_mrc2,8,anderson,poly2-goff,poly2-goff,1.0,0.9999999999999999
ALL_W_14-25_mrc2,8,anderson,poly2-goff,poly2-gscalar,0.9850931871679577,0.9796771648803146
ALL_W_14-25_mrc2,8,anderson,poly2-goff,poly2-gvarying,0.9859981796256166,0.9808802245460541
ALL_W_14-25_mrc2,8,anderson,poly2-goff,poly3-goff,0.9984521291798144,0.9974283306285131
ALL_W_14-25_mrc2,8,anderson,poly2-goff,poly3-gscalar,0.9847597944149108,0.9785446521066241
ALL_W_14-25_mrc2,8,anderson,poly2-goff,poly3-gvarying,0.985585014988327,0.9797201200990289
ALL_W_14-25_mrc2,8,anderson,poly2-goff,poly4-goff,0.9974098760364417,0.9959393208936691
ALL_W_14-25_mrc2,8,anderson,poly2-goff,poly4-gscalar,0.9837438176189082,0.9772820195098213
ALL_W_14-25_mrc2,8,anderson,poly2-goff,poly4-gvarying,0.9817962576803713,0.9733705862728914
ALL_W_14-25_mrc2,8,anderson,poly2-goff,poly5-goff,0.9971996751353882,0.9955555458009234
ALL_W_14-25_mrc2,8,anderson,poly2-goff,poly5-gscalar,0.9832942876013636,0.9768941683744239
ALL_W_14-25_mrc2,8,anderson,poly2-goff,poly5-gvarying,0.9827683809643329,0.9757757649791432
ALL_W_14-25_mrc2,8,anderson,poly2-goff,poly6-goff,0.9972475398908857,0.9955389280885741
ALL_W_14-25_mrc2,8,anderson,poly2-goff,poly6-gscalar,0.9830299295050342,0.9763968911709152
ALL_W_14-25_mrc2,8,anderson,poly2-goff,poly6-gvarying,0.98209736478224,0.9747144261809861
ALL_W_14-25_mrc2,8,anderson,poly2-goff,spline3-goff,0.9991976482461409,0.9985087954729588
ALL_W_14-25_mrc2,8,anderson,poly2-goff,spline3-gscalar,0.9852001106895507,0.9793934096034072
ALL_W_14-25_mrc2,8,anderson,poly2-goff,spline3-gvarying,0.9856332985436617,0.9795163179664436
ALL_W_14-25_mrc2,8,anderson,poly2-goff,spline4-goff,0.99651016196736,0.9946117851561812
ALL_W_14-25_mrc2,8,anderson,poly2-goff,spline4-gscalar,0.9829116806279377,0.9760206410799882
ALL_W_14-25_mrc2,8,anderson,poly2-goff,spline4-gvarying,0.9805764729342784,0.9715184952003029
ALL_W_14-25_mrc2,8,anderson,poly2-goff,spline5-goff,0.9971151981975448,0.9953818436756122
ALL_W_14-25_mrc2,8,anderson,poly2-goff,spline5-gscalar,0.9832483201946017,0.9767715735531302
ALL_W_14-25_mrc2,8,anderson,poly2-goff,spline5-gvarying,0.9820925430079651,0.9743892833940767
ALL_W_14-25_mrc2,8,anderson,poly2-goff,spline6-goff,0.997109630147642,0.995377454091218
ALL_W_14-25_mrc2,8,anderson,poly2-goff,spline6-gscalar,0.9829800424353379,0.9763517411600041
ALL_W_14-25_mrc2,8,anderson,poly2-goff,spline6-gvarying,0.9819932409830839,0.9741911250128551
ALL_W_14-25_mrc2,8,anderson,poly2-gscalar,poly2-goff,0.9850931871679576,0.9796771648803146
ALL_W_14-25_mrc2,8,anderson,poly2-gscalar,poly2-gscalar,1.0,0.9999999999999999
ALL_W_14-25_mrc2,8,anderson,poly2-gscalar,poly2-gvarying,0.9998277256117309,0.9996027426123293
ALL_W_14-25_mrc2,8,anderson,poly2-gscalar,poly3-goff,0.9834300502399094,0.9780200967715234
ALL_W_14-25_mrc2,8,anderson,poly2-gscalar,poly3-gscalar,0.9984705348750694,0.9974565493853327
ALL_W_14-25_mrc2,8,anderson,poly2-gscalar,poly3-gvarying,0.997877197912131,0.9968175513142413
ALL_W_14-25_mrc2,8,anderson,poly2-gscalar,poly4-goff,0.9831233507465507,0.9774949143529376
ALL_W_14-25_mrc2,8,anderson,poly2-gscalar,poly4-gscalar,0.9975283622841293,0.9960431032104166
ALL_W_14-25_mrc2,8,anderson,poly2-gscalar,poly4-gvarying,0.9969702819205017,0.9950664206827182
ALL_W_14-25_mrc2,8,anderson,poly2-gscalar,poly5-goff,0.9825571670281886,0.9765282651609973
ALL_W_14-25_mrc2,8,anderson,poly2-gscalar,poly5-gscalar,0.9973374222609125,0.9957138843808553
ALL_W_14-25_mrc2,8,anderson,poly2-gscalar,poly5-gvarying,0.9972819032300876,0.995785058356389
ALL_W_14-25_mrc2,8,anderson,poly2-gscalar,poly6-goff,0.98289186481715,0.9767439818797955
ALL_W_14-25_mrc2,8,anderson,poly2-gscalar,poly6-gscalar,0.9974818137487053,0.9959600146486701
ALL_W_14-25_mrc2,8,anderson,poly2-gscalar,poly6-gvarying,0.9969583003938477,0.9952495290603027
ALL_W_14-25_mrc2,8,anderson,poly2-gscalar,spline3-goff,0.983951531007792,0.97865595942519
ALL_W_14-25_mrc2,8,anderson,poly2-gscalar,spline3-gscalar,0.9991660859108347,0.9985865538250838
ALL_W_14-25_mrc2,8,anderson,poly2-gscalar,spline3-gvarying,0.9984747644190116,0.9977738536286812
ALL_W_14-25_mrc2,8,anderson,poly2-gscalar,spline4-goff,0.9815127087790134,0.9753327304970763
ALL_W_14-25_mrc2,8,anderson,poly2-gscalar,spline4-gscalar,0.996705475042513,0.9947754539457345
ALL_W_14-25_mrc2,8,anderson,poly2-gscalar,spline4-gvarying,0.9960964330807933,0.9937147422310626
ALL_W_14-25_mrc2,8,anderson,poly2-gscalar,spline5-goff,0.9824533417439532,0.9763978317961426
ALL_W_14-25_mrc2,8,anderson,poly2-gscalar,spline5-gscalar,0.997297164906195,0.9957141979225977
ALL_W_14-25_mrc2,8,anderson,poly2-gscalar,spline5-gvarying,0.9968483949438041,0.9951200363206752
ALL_W_14-25_mrc2,8,anderson,poly2-gscalar,spline6-goff,0.9822265203768789,0.9761796067434048
ALL_W_14-25_mrc2,8,anderson,poly2-gscalar,spline6-gscalar,0.9973838696921407,0.995905771927228
ALL_W_14-25_mrc2,8,anderson,poly2-gscalar,spline6-gvarying,0.9968818960516481,0.9951429248678734
ALL_W_14-25_mrc2,8,anderson,poly2-gvarying,poly2-goff,0.9859981796256166,0.9808802245460541
ALL_W_14-25_mrc2,8,anderson,poly2-gvarying,poly2-gscalar,0.9998277256117309,0.9996027426123293
ALL_W_14-25_mrc2,8,anderson,poly2-gvarying,poly2-gvarying,1.0,0.9999999999999999
ALL_W_14-25_mrc2,8,anderson,poly2-gvarying,poly3-goff,0.9844690469466085,0.9794269585698481
ALL_W_14-25_mrc2,8,anderson,poly2-gvarying,poly3-gscalar,0.9985613641529808,0.9975280369026088
ALL_W_14-25_mrc2,8,anderson,poly2-gvarying,poly3-gvarying,0.9982746569552338,0.9972373837073677
ALL_W_14-25_mrc2,8,anderson,poly2-gvarying,poly4-goff,0.9842398729246371,0.9789441042864918
ALL_W_14-25_mrc2,8,anderson,poly2-gvarying,poly4-gscalar,0.9977622850097532,0.9963456709918704
ALL_W_14-25_mrc2,8,anderson,poly2-gvarying,poly4-gvarying,0.9972429410961284,0.9951683217490109
ALL_W_14-25_mrc2,8,anderson,poly2-gvarying,poly5-goff,0.983729309940193,0.9780912707470569
ALL_W_14-25_mrc2,8,anderson,poly2-gvarying,poly5-gscalar,0.997549352407951,0.9959973261160204
ALL_W_14-25_mrc2,8,anderson,poly2-gvarying,poly5-gvarying,0.997514987040946,0.9960465521695833
ALL_W_14-25_mrc2,8,anderson,poly2-gvarying,poly6-goff,0.9840330964380073,0.9782587020375196
ALL_W_14-25_mrc2,8,anderson,poly2-gvarying,poly6-gscalar,0.9976526587298318,0.9961296407313297
ALL_W_14-25_mrc2,8,anderson,poly2-gvarying,poly6-gvarying,0.9973471690965442,0.9956521166575947
ALL_W_14-25_mrc2,8,anderson,poly2-gvarying,spline3-goff,0.9850134073530993,0.9800879045629102
ALL_W_14-25_mrc2,8,anderson,poly2-gvarying,spline3-gscalar,0.9992181272617966,0.9986012902869783
ALL_W_14-25_mrc2,8,anderson,poly2-gvarying,spline3-gvarying,0.9988007883154068,0.998014967228617
ALL_W_14-25_mrc2,8,anderson,poly2-gvarying,spline4-goff,0.9826913121752601,0.9769239548399556
ALL_W_14-25_mrc2,8,anderson,poly2-gvarying,spline4-gscalar,0.9969130659265854,0.995041964426808
ALL_W_14-25_mrc2,8,anderson,poly2-gvarying,spline4-gvarying,0.9963115951320186,0.9937103526466683
ALL_W_14-25_mrc2,8,anderson,poly2-gvarying,spline5-goff,0.9836065269631316,0.9779379488350042
ALL_W_14-25_mrc2,8,anderson,poly2-gvarying,spline5-gscalar,0.9974936313508386,0.9959371261014721
ALL_W_14-25_mrc2,8,anderson,poly2-gvarying,spline5-gvarying,0.9972266731129732,0.9954605426529642
ALL_W_14-25_mrc2,8,anderson,poly2-gvarying,spline6-goff,0.9834214978324117,0.9777604842087835
ALL_W_14-25_mrc2,8,anderson,poly2-gvarying,spline6-gscalar,0.9975466569950866,0.996032756332916
ALL_W_14-25_mrc2,8,anderson,poly2-gvarying,spline6-gvarying,0.9972583330183797,0.995485939534102
ALL_W_14-25_mrc2,8,anderson,poly3-goff,poly2-goff,0.9984521291798145,0.9974283306285131
ALL_W_14-25_mrc2,8,anderson,poly3-goff,poly2-gscalar,0.9834300502399093,0.9780200967715234
ALL_W_14-25_mrc2,8,anderson,poly3-goff,poly2-gvarying,0.9844690469466085,0.9794269585698481
ALL_W_14-25_mrc2,8,anderson,poly3-goff,poly3-goff,1.0,0.9999999999999999
ALL_W_14-25_mrc2,8,anderson,poly3-goff,poly3-gscalar,0.9860296680968667,0.9810943735561402
ALL_W_14-25_mrc2,8,anderson,poly3-goff,poly3-gvarying,0.9870638103255835,0.9825705280795441
ALL_W_14-25_mrc2,8,anderson,poly3-goff,poly4-goff,0.9995847446443039,0.9993102081666336
ALL_W_14-25_mrc2,8,anderson,poly3-goff,poly4-gscalar,0.9855854591421406,0.980710284921652
ALL_W_14-25_mrc2,8,anderson,poly3-goff,poly4-gvarying,0.9837913759434161,0.9772738674245178
ALL_W_14-25_mrc2,8,anderson,poly3-goff,poly5-goff,0.999383765722708,0.9989383476601005
ALL_W_14-25_mrc2,8,anderson,poly3-goff,poly5-gscalar,0.9851487564535936,0.9803669567136812
ALL_W_14-25_mrc2,8,anderson,poly3-goff,poly5-gvarying,0.9845966255774905,0.9791858449699123
ALL_W_14-25_mrc2,8,anderson,poly3-goff,poly6-goff,0.9992645452410481,0.9987734247035776
ALL_W_14-25_mrc2,8,anderson,poly3-goff,poly6-gscalar,0.9847120847395527,0.9796890794665274
ALL_W_14-25_mrc2,8,anderson,poly3-goff,poly6-gvarying,0.983877516814381,0.9782884885030512
ALL_W_14-25_mrc2,8,anderson,poly3-goff,spline3-goff,0.9998510914895988,0.9997407009790026
ALL_W_14-25_mrc2,8,anderson,poly3-goff,spline3-gscalar,0.9856664764142581,0.9807215724243797
ALL_W_14-25_mrc2,8,anderson,poly3-goff,spline3-gvarying,0.986225257193931,0.9811552006541734
ALL_W_14-25_mrc2,8,anderson,poly3-goff,spline4-goff,0.9994133890520922,0.998980048711845
ALL_W_14-25_mrc2,8,anderson,poly3-goff,spline4-gscalar,0.985466281103904,0.980442520273609
ALL_W_14-25_mrc2,8,anderson,poly3-goff,spline4-gvarying,0.983294870906361,0.9763777651246264
ALL_W_14-25_mrc2,8,anderson,poly3-goff,spline5-goff,0.9993187342085412,0.9988521236809297
ALL_W_14-25_mrc2,8,anderson,poly3-goff,spline5-gscalar,0.9851061330802366,0.9802578441873122
ALL_W_14-25_mrc2,8,anderson,poly3-goff,spline5-gvarying,0.9840594440885527,0.9781232520047858
ALL_W_14-25_mrc2,8,anderson,poly3-goff,spline6-goff,0.9992781717239725,0.9988129309631248
ALL_W_14-25_mrc2,8,anderson,poly3-goff,spline6-gscalar,0.9847977775024563,0.9797696596943343
ALL_W_14-25_mrc2,8,anderson,poly3-goff,spline6-gvarying,0.9838842826562614,0.9778335394347719
ALL_W_14-25_mrc2,8,anderson,poly3-gscalar,poly2-goff,0.9847597944149107,0.9785446521066241
ALL_W_14-25_mrc2,8,anderson,poly3-gscalar,poly2-gscalar,0.9984705348750694,0.9974565493853327
ALL_W_14-25_mrc2,8,anderson,poly3-gscalar,poly2-gvarying,0.9985613641529807,0.9975280369026088
ALL_W_14-25_mrc2,8,anderson,poly3-gscalar,poly3-goff,0.9860296680968667,0.9810943735561402
ALL_W_14-25_mrc2,8,anderson,poly3-gscalar,poly3-gscalar,1.0,0.9999999999999999
ALL_W_14-25_mrc2,8,anderson,poly3-gscalar,poly3-gvarying,0.9993723149800778,0.9989079341110841
ALL_W_14-25_mrc2,8,anderson,poly3-gscalar,poly4-goff,0.9862276997403255,0.9813417579909247
ALL_W_14-25_mrc2,8,anderson,poly3-gscalar,poly4-gscalar,0.9996463664077232,0.9994541238264131
ALL_W_14-25_mrc2,8,anderson,poly3-gscalar,poly4-gvarying,0.998617510419317,0.9975396379470791
