slug,nu,cand,basis,gamma_form,solver,entry_age_label,entry_age,peak_an,peak_age,peak_depth,peak_pct,improve_span_yr,breakeven_an,tail_value,plateau_p05_yr,plateau_p10_yr,plateau_p25_yr,tail_an_cut,tail_sign_changes,tail_nonmonotone
Po10_B_14-25_mrc2,inf,poly2-goff,poly2,off,anderson,mean,40.14172254819782,3.8185451556206766,43.960267703818495,-0.015260051304823398,-0.015144206735189951,7.5783434626933435,7.591192295279298,0.050764006171498066,1.703658607892302,2.4086207904684267,3.7597983070726664,8.988364134154688,0.0,0.0
Po10_B_14-25_mrc2,inf,poly2-goff,poly2,off,anderson,p10,26.5,3.8185451556206766,30.318545155620676,-0.015260051304823398,-0.015144206735189951,7.5783434626933435,7.591192295279298,0.050764006171498066,1.703658607892302,2.4086207904684267,3.7597983070726664,8.988364134154688,0.0,0.0
Po10_B_14-25_mrc2,inf,poly2-goff,poly2,off,anderson,p50,40.5,3.8185451556206766,44.318545155620676,-0.015260051304823398,-0.015144206735189951,7.5783434626933435,7.591192295279298,0.050764006171498066,1.703658607892302,2.4086207904684267,3.7597983070726664,8.988364134154688,0.0,0.0
Po10_B_14-25_mrc2,inf,poly2-goff,poly2,off,anderson,p90,54.5,3.8185451556206766,58.318545155620676,-0.015260051304823398,-0.015144206735189951,7.5783434626933435,7.591192295279298,0.050764006171498066,1.703658607892302,2.4086207904684267,3.7597983070726664,8.988364134154688,0.0,0.0
Po10_B_14-25_mrc2,8,poly2-goff,poly2,off,anderson,mean,40.14172254819782,3.9360388527166976,44.07776140091452,-0.016144687651665584,-0.016015060714975594,7.8133308568853845,7.820936380973275,0.04776315341203224,1.7624054564403124,2.4673676390164374,3.8772920041686874,8.988364134154688,0.0,0.0
Po10_B_14-25_mrc2,8,poly2-goff,poly2,off,anderson,p10,26.5,3.9360388527166976,30.4360388527167,-0.016144687651665584,-0.016015060714975594,7.8133308568853845,7.820936380973275,0.04776315341203224,1.7624054564403124,2.4673676390164374,3.8772920041686874,8.988364134154688,0.0,0.0
Po10_B_14-25_mrc2,8,poly2-goff,poly2,off,anderson,p50,40.5,3.9360388527166976,44.4360388527167,-0.016144687651665584,-0.016015060714975594,7.8133308568853845,7.820936380973275,0.04776315341203224,1.7624054564403124,2.4673676390164374,3.8772920041686874,8.988364134154688,0.0,0.0
Po10_B_14-25_mrc2,8,poly2-goff,poly2,off,anderson,p90,54.5,3.9360388527166976,58.4360388527167,-0.016144687651665584,-0.016015060714975594,7.8133308568853845,7.820936380973275,0.04776315341203224,1.7624054564403124,2.4673676390164374,3.8772920041686874,8.988364134154688,0.0,0.0
Po10_B_14-25_mrc2,inf,poly2-gscalar,poly2,scalar,anderson,mean,40.14172254819782,3.9360388527166976,44.07776140091452,-0.016130497585006228,-0.016001097804028253,7.872077705433395,7.873906068030645,0.04643569443817879,1.7624054564403124,2.5261144875644477,3.9360388527166976,8.988364134154688,0.0,0.0
Po10_B_14-25_mrc2,inf,poly2-gscalar,poly2,scalar,anderson,p10,26.5,7.695837159789364,34.19583715978936,-0.061212640436335994,-0.05937679601960812,11.690622861054072,,-0.04438482091719354,3.407317215784604,4.817241580936853,7.637090311241353,8.988364134154688,0.0,0.0
