slug,solver,nu,cand,basis,gamma_form,fold,train_loglik,heldout_logdens,heldout_per_cell,heldout_rmse,n_test,n_orphan,n_iter
Po10_B_14-25_mrc2,anderson,inf,poly2-gscalar,poly2,scalar,0,205551.73723357776,28940.69098407654,0.7844493802097021,0.08946868587654973,36893,0,10
Po10_B_14-25_mrc2,anderson,8,poly2-gscalar,poly2,scalar,0,221832.82246324667,33632.03620188938,0.9116102296340601,0.08978531158912838,36893,0,197
Po10_B_14-25_mrc2,anderson,inf,poly2-gscalar,poly2,scalar,1,205650.98685534112,28741.604869483446,0.7821483350881282,0.08959621166823915,36747,0,10
Po10_B_14-25_mrc2,anderson,8,poly2-gscalar,poly2,scalar,1,221719.30539391626,33779.05646921106,0.9192330385939276,0.09011323585059292,36747,0,212
Po10_B_14-25_mrc2,anderson,inf,poly2-gscalar,poly2,scalar,2,205740.31766418132,28750.51311277138,0.7817312826355804,0.08956882940605705,36778,0,10
Po10_B_14-25_mrc2,anderson,8,poly2-gscalar,poly2,scalar,2,221929.8024536199,33518.75207874064,0.9113805013524563,0.08999404889700266,36778,0,261
Po10_B_14-25_mrc2,anderson,inf,poly2-gscalar,poly2,scalar,3,205622.5219930179,28762.163288627777,0.7770827354882819,0.08968547592852684,37013,0,10
Po10_B_14-25_mrc2,anderson,8,poly2-gscalar,poly2,scalar,3,221761.0818390933,33612.35237364122,0.9081228858412238,0.0899694955010485,37013,0,224
Po10_B_14-25_mrc2,anderson,inf,poly2-gscalar,poly2,scalar,4,204707.68885831555,30358.901798903647,0.8201340410866264,0.08823082795251044,37017,0,10
Po10_B_14-25_mrc2,anderson,8,poly2-gscalar,poly2,scalar,4,221316.444334768,34193.749874030174,0.9237309850617331,0.08851550325078737,37017,0,213
Po10_B_14-25_mrc2,anderson,inf,poly2-gvarying,poly2,varying,0,205575.54340928135,28937.445068294615,0.784361398322029,0.08946431070246401,36893,0,11
Po10_B_14-25_mrc2,anderson,8,poly2-gvarying,poly2,varying,0,221873.05294374243,33818.966056699806,0.9166770405415609,0.08941516527141632,36893,0,150
