slug,slice,solver,nu,cand,basis,gamma_form,full_loglik,full_aic,full_bic,n_params,n_iter,converged,cv_logdens,cv_per_cell,heldout_rmse,n_test_total,n_orphan_total
Po10_B_14-25_mrc2,Po10_B,anderson,inf,poly2-gscalar,poly2,scalar,247740.44782953133,-395204.89565906266,112448.51429156319,50139,10,True,145553.8740538628,0.7891322977417092,0.08931079826563573,184448,0
Po10_B_14-25_mrc2,Po10_B,anderson,8,poly2-gscalar,poly2,scalar,265946.1511326193,-431616.3022652386,76037.10768538725,50139,296,True,168735.94699751248,0.9148158125732591,0.08967632685965543,184448,0
Po10_B_14-25_mrc2,Po10_B,anderson,inf,poly2-gvarying,poly2,varying,247766.21700873642,-395254.43401747284,112409.10105601285,50140,10,True,145553.4790542062,0.7891301562185884,0.08930357055646101,184448,0
Po10_B_14-25_mrc2,Po10_B,anderson,8,poly2-gvarying,poly2,varying,265996.1400212819,-431714.2800425638,75949.2550309219,50140,196,True,169406.29560234453,0.9184501626601781,0.08944779452655646,184448,0
Po10_B_14-25_mrc2,Po10_B,anderson,inf,poly3-gscalar,poly3,scalar,247822.3809576139,-395366.7619152278,112296.77315825789,50140,10,True,145426.29091799108,0.7884405952788378,0.08931360697959123,184448,0
Po10_B_14-25_mrc2,Po10_B,anderson,8,poly3-gscalar,poly3,scalar,266053.3665368004,-431828.7330736008,75834.80199988489,50140,259,True,168060.2812522449,0.911152635172216,0.09003173849618956,184448,0
Po10_B_14-25_mrc2,Po10_B,anderson,inf,poly3-gvarying,poly3,varying,247875.94504736405,-395469.8900947281,112213.89522447751,50142,11,True,145452.53572627087,0.7885828836651569,0.08929325191120915,184448,0
Po10_B_14-25_mrc2,Po10_B,anderson,8,poly3-gvarying,poly3,varying,266130.6451647006,-431979.29032940115,75704.49498980446,50142,254,True,168320.21909110175,0.9125619095414521,0.08990178847675491,184448,0
Po10_B_14-25_mrc2,Po10_B,anderson,inf,poly4-gscalar,poly4,scalar,247848.73980219453,-395417.47960438905,112256.1805919566,50141,11,True,145390.09156336257,0.7882443375008814,0.0893136692499614,184448,0
Po10_B_14-25_mrc2,Po10_B,anderson,8,poly4-gscalar,poly4,scalar,266087.4969539429,-431894.99390788574,75778.6662884599,50141,265,True,167868.68135421336,0.9101138605689049,0.09010098892218468,184448,0
Po10_B_14-25_mrc2,Po10_B,anderson,inf,poly4-gvarying,poly4,varying,247905.86032248475,-395525.7206449695,112178.31491995591,50144,11,True,145421.67446772772,0.7884155668141033,0.0892912607064195,184448,0
Po10_B_14-25_mrc2,Po10_B,anderson,8,poly4-gvarying,poly4,varying,266171.3017764621,-432056.60355292424,75647.43201200117,50144,193,True,168169.61321628105,0.9117453874061039,0.0900047611760839,184448,0
Po10_B_14-25_mrc2,Po10_B,anderson,inf,poly5-gscalar,poly5,scalar,247871.69246610513,-395461.38493221026,112222.40038699534,50142,11,True,145340.94566809034,0.7879778889881719,0.08931710139503261,184448,0
Po10_B_14-25_mrc2,Po10_B,anderson,8,poly5-gscalar,poly5,scalar,266110.42173786013,-431938.84347572026,75744.94184348534,50142,206,True,167900.2361190434,0.9102849373213231,0.09006243130224223,184448,0
Po10_B_14-25_mrc2,Po10_B,anderson,inf,poly5-gvarying,poly5,varying,247929.17499599306,-395568.3499919861,112155.93581865908,50146,11,True,145366.00839304025,0.78811376861251,0.08929590555678113,184448,0
Po10_B_14-25_mrc2,Po10_B,anderson,8,poly5-gvarying,poly5,varying,266194.5475914514,-432099.09518290276,75625.19062774244,50146,190,True,168166.27393100556,0.9117272831963782,0.08997145216970141,184448,0
Po10_B_14-25_mrc2,Po10_B,anderson,inf,poly6-gscalar,poly6,scalar,247887.86456049373,-395491.72912098747,112202.18132107798,50143,11,True,145334.79072379626,0.7879445194515325,0.0893138512119092,184448,0
Po10_B_14-25_mrc2,Po10_B,anderson,8,poly6-gscalar,poly6,scalar,266123.00751132675,-431962.0150226535,75731.89541941194,50143,162,True,167966.05719085562,0.9106417916749199,0.09006052794970135,184448,0
Po10_B_14-25_mrc2,Po10_B,anderson,inf,poly6-gvarying,poly6,varying,247947.73965302896,-395601.4793060579,112143.05675030721,50148,11,True,145357.63093012897,0.7880683495084195,0.08929244820162395,184448,0
Po10_B_14-25_mrc2,Po10_B,anderson,8,poly6-gvarying,poly6,varying,266211.11888663773,-432128.23777327547,75616.29828308965,50148,165,True,168143.65311414312,0.9116046425775456,0.08997408437709882,184448,0
Po10_B_14-25_mrc2,Po10_B,anderson,inf,spline3-gscalar,spline3,scalar,247816.67161485643,-395357.34322971286,112296.06672091299,50139,10,True,145457.9222851862,0.7886120873372778,0.0893087079825878,184448,0
Po10_B_14-25_mrc2,Po10_B,anderson,8,spline3-gscalar,spline3,scalar,266046.87104224146,-431817.7420844829,75835.66786614293,50139,201,True,168282.11567544343,0.9123553287400429,0.0899436974366368,184448,0
Po10_B_14-25_mrc2,Po10_B,anderson,inf,spline3-gvarying,spline3,varying,247853.38131096328,-395428.76262192655,112234.77245155914,50140,10,True,145466.32143239462,0.7886576240045683,0.0892966113508562,184448,0
Po10_B_14-25_mrc2,Po10_B,anderson,8,spline3-gvarying,spline3,varying,266111.46264533966,-431944.9252906793,75718.60978280636,50140,236,True,168974.47365572865,0.9161090044659126,0.08967124014319192,184448,0
Po10_B_14-25_mrc2,Po10_B,anderson,inf,spline4-gscalar,spline4,scalar,247854.92964945995,-395431.8592989199,112231.67577456578,50140,11,True,145355.14335049645,0.7880548628908769,0.08931906774178419,184448,0
Po10_B_14-25_mrc2,Po10_B,anderson,8,spline4-gscalar,spline4,scalar,266090.625008757,-431903.250017514,75760.2850559717,50140,223,True,167757.52235226665,0.9095112028987392,0.09014539375954234,184448,0
Po10_B_14-25_mrc2,Po10_B,anderson,inf,spline4-gvarying,spline4,varying,247909.0496415398,-395536.0992830796,112147.68603612599,50142,11,True,145383.99529896304,0.7882112861021158,0.08929804802964283,184448,0
Po10_B_14-25_mrc2,Po10_B,anderson,8,spline4-gvarying,spline4,varying,266173.76384757773,-432065.52769515547,75618.25762405014,50142,205,True,168046.76929861502,0.9110793790044621,0.0900217399206299,184448,0
Po10_B_14-25_mrc2,Po10_B,anderson,inf,spline5-gscalar,spline5,scalar,247888.55036836135,-395497.1007367227,112176.55945962295,50141,11,True,145345.09119371127,0.7880003642962313,0.08931159640353792,184448,0
Po10_B_14-25_mrc2,Po10_B,anderson,8,spline5-gscalar,spline5,scalar,266124.12244046124,-431968.2448809225,75705.41531542316,50141,173,True,168068.5780474557,0.9111976169297347,0.08999789758594257,184448,0
Po10_B_14-25_mrc2,Po10_B,anderson,inf,spline5-gvarying,spline5,varying,247942.4561381357,-395598.9122762714,112105.12328865402,50144,11,True,145363.2623684029,0.7880988808141206,0.08929281344887638,184448,0
Po10_B_14-25_mrc2,Po10_B,anderson,8,spline5-gvarying,spline5,varying,266206.96893653646,-432127.9378730729,75576.09769185248,50144,189,True,168269.5416186858,0.9122871574573094,0.08991929731313004,184448,0
Po10_B_14-25_mrc2,Po10_B,anderson,inf,spline6-gscalar,spline6,scalar,247889.2488968511,-395496.4977937022,112187.28752550343,50142,11,True,145341.28585475558,0.7879797333381526,0.08931216463849037,184448,0
Po10_B_14-25_mrc2,Po10_B,anderson,8,spline6-gscalar,spline6,scalar,266124.8717030923,-431967.7434061846,75716.041913021,50142,144,True,168004.59438272077,0.9108507242297057,0.09001852105045247,184448,0
Po10_B_14-25_mrc2,Po10_B,anderson,inf,spline6-gvarying,spline6,varying,247946.4283392171,-395602.8566784342,112121.42913221102,50146,11,True,145355.50918679195,0.7880568463024373,0.08929329369825048,184448,0
Po10_B_14-25_mrc2,Po10_B,anderson,8,spline6-gvarying,spline6,varying,266209.60138122895,-432129.2027624579,75595.08304818731,50146,167,True,168112.34403701627,0.9114348978412141,0.08998456959567101,184448,0
