slug,slice,nu,cand,basis,gamma_form,solver,loglik_best,best_init,loglik_gap_across_inits,max_abs_dv_across_inits,all_converged
Po10_B_14-25_mrc2,Po10_B,inf,poly2-goff,poly2,off,anderson,243513.3752119264,rand0,1.3640965335071087e-06,0.0002620821301713844,True
Po10_B_14-25_mrc2,Po10_B,inf,poly2-gscalar,poly2,scalar,anderson,247740.44782957266,rand1,1.09837856143713e-07,0.0002620802502433916,True
Po10_B_14-25_mrc2,Po10_B,inf,poly2-gvarying,poly2,varying,anderson,247766.21700873642,mean,4.636240191757679e-07,0.00026190649902621023,True
Po10_B_14-25_mrc2,Po10_B,inf,poly3-goff,poly3,off,anderson,243601.66214042058,rand0,2.1193409338593483e-07,0.00026204006358692203,True
Po10_B_14-25_mrc2,Po10_B,inf,poly3-gscalar,poly3,scalar,anderson,247822.38095803754,rand1,4.236353561282158e-07,0.0002620831907027676,True
Po10_B_14-25_mrc2,Po10_B,inf,poly3-gvarying,poly3,varying,anderson,247875.94504736405,mean,6.667454726994038e-06,0.00026139909347372686,True
Po10_B_14-25_mrc2,Po10_B,inf,poly4-goff,poly4,off,anderson,243631.931355134,mean,2.8224894776940346e-07,0.0002620552455338092,True
Po10_B_14-25_mrc2,Po10_B,inf,poly4-gscalar,poly4,scalar,anderson,247848.73980219453,mean,2.020358806475997e-06,0.00026139349499476085,True
Po10_B_14-25_mrc2,Po10_B,inf,poly4-gvarying,poly4,varying,anderson,247905.86032248475,mean,1.2557487934827805e-05,0.0002615896840563363,True
Po10_B_14-25_mrc2,Po10_B,inf,poly5-goff,poly5,off,anderson,243660.45317717493,mean,1.4551915228366852e-09,0.00026202393182455513,True
Po10_B_14-25_mrc2,Po10_B,inf,poly5-gscalar,poly5,scalar,anderson,247871.69246610513,mean,4.770670784637332e-06,0.00026125410408055737,True
Po10_B_14-25_mrc2,Po10_B,inf,poly5-gvarying,poly5,varying,anderson,247929.17499599306,mean,1.4308781828731298e-05,0.00026154303474972343,True
Po10_B_14-25_mrc2,Po10_B,inf,poly6-goff,poly6,off,anderson,243673.77664336865,mean,5.587935447692871e-09,0.00026203589859194465,True
Po10_B_14-25_mrc2,Po10_B,inf,poly6-gscalar,poly6,scalar,anderson,247887.86456049373,mean,6.222689989954233e-06,0.0002612525889426256,True
Po10_B_14-25_mrc2,Po10_B,inf,poly6-gvarying,poly6,varying,anderson,247947.73965302896,mean,1.6000471077859402e-05,0.0002615467238843202,True
Po10_B_14-25_mrc2,Po10_B,inf,spline3-goff,spline3,off,anderson,243594.18308352813,rand0,1.9028084352612495e-07,0.00026198491230549487,True
Po10_B_14-25_mrc2,Po10_B,inf,spline3-gscalar,spline3,scalar,anderson,247816.67161494424,rand1,8.780625648796558e-08,0.0002620659911973366,True
Po10_B_14-25_mrc2,Po10_B,inf,spline3-gvarying,spline3,varying,anderson,247853.38131096328,mean,1.207896275445819e-06,0.0002618852251031426,True
Po10_B_14-25_mrc2,Po10_B,inf,spline4-goff,spline4,off,anderson,243640.64761846227,rand1,1.3684621080756187e-07,0.000262030520012016,True
Po10_B_14-25_mrc2,Po10_B,inf,spline4-gscalar,spline4,scalar,anderson,247854.92964945995,mean,2.000044332817197e-06,0.000261491445446611,True
Po10_B_14-25_mrc2,Po10_B,inf,spline4-gvarying,spline4,varying,anderson,247909.04964212657,rand0,5.539273843169212e-06,0.00026155343539088424,True
Po10_B_14-25_mrc2,Po10_B,inf,spline5-goff,spline5,off,anderson,243674.6246812684,rand0,4.900211934000254e-07,0.0002620963007557847,True
Po10_B_14-25_mrc2,Po10_B,inf,spline5-gscalar,spline5,scalar,anderson,247888.55036836135,mean,4.801491741091013e-06,0.00026126631927980183,True
Po10_B_14-25_mrc2,Po10_B,inf,spline5-gvarying,spline5,varying,anderson,247942.4561381357,mean,1.7347600078210235e-05,0.00026148934213493773,True
Po10_B_14-25_mrc2,Po10_B,inf,spline6-goff,spline6,off,anderson,243675.83631596703,rand1,1.1175870895385742e-08,0.0002620102901425697,True
Po10_B_14-25_mrc2,Po10_B,inf,spline6-gscalar,spline6,scalar,anderson,247889.2488968511,mean,6.408867193385959e-06,0.0002612588535918425,True
Po10_B_14-25_mrc2,Po10_B,inf,spline6-gvarying,spline6,varying,anderson,247946.4283392171,mean,1.8779828678816557e-05,0.00026150246552805734,True
Po10_B_14-25_mrc2,Po10_B,8,poly2-goff,poly2,off,anderson,261001.5861444966,rand0,1.3655127522361,0.0013942381801183776,True
Po10_B_14-25_mrc2,Po10_B,8,poly2-gscalar,poly2,scalar,anderson,265943.9187080097,rand0,2.231028427137062,0.0013970656082348178,True
Po10_B_14-25_mrc2,Po10_B,8,poly2-gvarying,poly2,varying,anderson,265993.78639298584,rand0,2.2090844440390356,0.0014082643498113442,True
Po10_B_14-25_mrc2,Po10_B,8,poly3-goff,poly3,off,anderson,261112.46448687802,rand0,1.3534841813670937,0.0014023075470066728,True
Po10_B_14-25_mrc2,Po10_B,8,poly3-gscalar,poly3,scalar,anderson,266050.989982584,rand0,2.2120092227123678,0.0013989653978543105,True
Po10_B_14-25_mrc2,Po10_B,8,poly3-gvarying,poly3,varying,anderson,266128.1575205328,rand0,2.1807883249712177,0.0014019738175286931,True
Po10_B_14-25_mrc2,Po10_B,8,poly4-goff,poly4,off,anderson,261150.24570708867,rand0,1.400832301034825,0.001402123661555182,True
Po10_B_14-25_mrc2,Po10_B,8,poly4-gscalar,poly4,scalar,anderson,266085.12394073943,rand0,2.2818191791302525,0.0013955214724797622,True
Po10_B_14-25_mrc2,Po10_B,8,poly4-gvarying,poly4,varying,anderson,266168.83956695936,rand0,2.249420994485263,0.0013962398033574453,True
Po10_B_14-25_mrc2,Po10_B,8,poly5-goff,poly5,off,anderson,261177.28331933834,rand0,1.3644515536143444,0.001395750105040795,True
Po10_B_14-25_mrc2,Po10_B,8,poly5-gscalar,poly5,scalar,anderson,266108.04101164616,rand0,1.4161048492533155,0.0013958408445062208,True
Po10_B_14-25_mrc2,Po10_B,8,poly5-gvarying,poly5,varying,anderson,266192.0866703056,rand0,1.385530944331549,0.001394933412349586,True
Po10_B_14-25_mrc2,Po10_B,8,poly6-goff,poly6,off,anderson,261186.6093986968,rand0,1.3493667038273998,0.0014017651763288466,True
Po10_B_14-25_mrc2,Po10_B,8,poly6-gscalar,poly6,scalar,anderson,266120.59117218666,rand0,1.402813296066597,0.0013974327689642574,True
Po10_B_14-25_mrc2,Po10_B,8,poly6-gvarying,poly6,varying,anderson,266208.5924821581,rand0,1.3755273882998154,0.0013945616431513715,True
Po10_B_14-25_mrc2,Po10_B,8,spline3-goff,spline3,off,anderson,261104.30258802048,rand0,1.3605385880509857,0.001396611459863006,True
Po10_B_14-25_mrc2,Po10_B,8,spline3-gscalar,spline3,scalar,anderson,266044.5168064333,rand0,2.2165212507825345,0.0013919994037556935,True
Po10_B_14-25_mrc2,Po10_B,8,spline3-gvarying,spline3,varying,anderson,266109.0032104884,rand0,2.188463051454164,0.001397657857435692,True
Po10_B_14-25_mrc2,Po10_B,8,spline4-goff,spline4,off,anderson,261155.41837209283,rand0,1.380912193795666,0.0013992268496172446,True
Po10_B_14-25_mrc2,Po10_B,8,spline4-gscalar,spline4,scalar,anderson,266088.2249492237,rand0,2.2715270113549195,0.0013939561707025198,True
Po10_B_14-25_mrc2,Po10_B,8,spline4-gvarying,spline4,varying,anderson,266171.26717785234,rand0,2.2382680933806114,0.00139449182920723,True
Po10_B_14-25_mrc2,Po10_B,8,spline5-goff,spline5,off,anderson,261187.13144986075,rand0,1.3266729659808334,0.001400631137619025,True
Po10_B_14-25_mrc2,Po10_B,8,spline5-gscalar,spline5,scalar,anderson,266121.6946199859,rand0,1.3780555230332538,0.0013949513975758405,True
Po10_B_14-25_mrc2,Po10_B,8,spline5-gvarying,spline5,varying,anderson,266204.4393379151,rand0,1.3568142721196637,0.0013937448643671687,True
Po10_B_14-25_mrc2,Po10_B,8,spline6-goff,spline6,off,anderson,261188.4264514253,rand0,1.3295667023048736,0.0014014173007201765,True
Po10_B_14-25_mrc2,Po10_B,8,spline6-gscalar,spline6,scalar,anderson,266122.4502680429,rand0,1.3790251376922242,0.001392914684550545,True
Po10_B_14-25_mrc2,Po10_B,8,spline6-gvarying,spline6,varying,anderson,266207.06808494276,rand0,1.3489728613058105,0.0013938382842088332,True
