slug,slice,nu,cand,basis,gamma_form,solver,init,seed,loglik,aic,bic,n_params,n_iter,converged,wall_s
Po10_B_14-25_mrc2,Po10_B,inf,poly2-goff,poly2,off,anderson,mean,,243513.3752105623,-386752.7504211246,120890.53440664127,50138,8,True,0.48386120004579425
Po10_B_14-25_mrc2,Po10_B,inf,poly2-goff,poly2,off,anderson,rand0,0.0,243513.3752119264,-386752.7504238528,120890.53440391307,50138,9,True,0.6663222999777645
Po10_B_14-25_mrc2,Po10_B,inf,poly2-goff,poly2,off,anderson,rand1,1.0,243513.37521186937,-386752.75042373873,120890.53440402716,50138,9,True,0.6250277999788523
Po10_B_14-25_mrc2,Po10_B,inf,poly2-gscalar,poly2,scalar,anderson,mean,,247740.44782953133,-395204.89565906266,112448.51429156319,50139,10,True,1.1425668000010774
Po10_B_14-25_mrc2,Po10_B,inf,poly2-gscalar,poly2,scalar,anderson,rand0,0.0,247740.44782946282,-395204.89565892564,112448.51429170021,50139,10,True,1.3669264999916777
Po10_B_14-25_mrc2,Po10_B,inf,poly2-gscalar,poly2,scalar,anderson,rand1,1.0,247740.44782957266,-395204.8956591453,112448.51429148053,50139,10,True,0.9042366999201477
Po10_B_14-25_mrc2,Po10_B,inf,poly2-gvarying,poly2,varying,anderson,mean,,247766.21700873642,-395254.43401747284,112409.10105601285,50140,10,True,1.0123851000098512
Po10_B_14-25_mrc2,Po10_B,inf,poly2-gvarying,poly2,varying,anderson,rand0,0.0,247766.21700841782,-395254.43401683564,112409.10105665005,50140,10,True,0.9888254000106826
Po10_B_14-25_mrc2,Po10_B,inf,poly2-gvarying,poly2,varying,anderson,rand1,1.0,247766.2170082728,-395254.4340165456,112409.1010569401,50140,10,True,0.9713971000164747
Po10_B_14-25_mrc2,Po10_B,inf,poly3-goff,poly3,off,anderson,mean,,243601.66214020865,-386927.3242804173,120726.08567020856,50139,9,True,0.9991940000327304
Po10_B_14-25_mrc2,Po10_B,inf,poly3-goff,poly3,off,anderson,rand0,0.0,243601.66214042058,-386927.32428084116,120726.08566978469,50139,9,True,1.0197704000165686
Po10_B_14-25_mrc2,Po10_B,inf,poly3-goff,poly3,off,anderson,rand1,1.0,243601.6621403905,-386927.324280781,120726.08566984488,50139,9,True,0.901463899994269
Po10_B_14-25_mrc2,Po10_B,inf,poly3-gscalar,poly3,scalar,anderson,mean,,247822.3809576139,-395366.7619152278,112296.77315825789,50140,10,True,1.3561675999080762
Po10_B_14-25_mrc2,Po10_B,inf,poly3-gscalar,poly3,scalar,anderson,rand0,0.0,247822.38095793294,-395366.7619158659,112296.77315761981,50140,10,True,1.2512802999699488
Po10_B_14-25_mrc2,Po10_B,inf,poly3-gscalar,poly3,scalar,anderson,rand1,1.0,247822.38095803754,-395366.7619160751,112296.77315741061,50140,10,True,1.2797976000001654
Po10_B_14-25_mrc2,Po10_B,inf,poly3-gvarying,poly3,varying,anderson,mean,,247875.94504736405,-395469.8900947281,112213.89522447751,50142,11,True,1.5515000000596046
Po10_B_14-25_mrc2,Po10_B,inf,poly3-gvarying,poly3,varying,anderson,rand0,0.0,247875.9450412269,-395469.8900824538,112213.89523675182,50142,11,True,1.7387929001124576
Po10_B_14-25_mrc2,Po10_B,inf,poly3-gvarying,poly3,varying,anderson,rand1,1.0,247875.9450406966,-395469.8900813932,112213.89523781242,50142,10,True,1.600339199998416
Po10_B_14-25_mrc2,Po10_B,inf,poly4-goff,poly4,off,anderson,mean,,243631.931355134,-386985.862710268,120677.67236321769,50140,9,True,0.9158951001008973
Po10_B_14-25_mrc2,Po10_B,inf,poly4-goff,poly4,off,anderson,rand0,0.0,243631.93135485175,-386985.8627097035,120677.67236378219,50140,9,True,0.8802884999895468
Po10_B_14-25_mrc2,Po10_B,inf,poly4-goff,poly4,off,anderson,rand1,1.0,243631.93135494183,-386985.86270988366,120677.67236360203,50140,9,True,0.988656900008209
Po10_B_14-25_mrc2,Po10_B,inf,poly4-gscalar,poly4,scalar,anderson,mean,,247848.73980219453,-395417.47960438905,112256.1805919566,50141,11,True,1.4277131999842823
Po10_B_14-25_mrc2,Po10_B,inf,poly4-gscalar,poly4,scalar,anderson,rand0,0.0,247848.73980018112,-395417.47960036225,112256.1805959834,50141,10,True,1.1934538000496104
Po10_B_14-25_mrc2,Po10_B,inf,poly4-gscalar,poly4,scalar,anderson,rand1,1.0,247848.73980017417,-395417.47960034834,112256.18059599731,50141,10,True,1.262596399988979
Po10_B_14-25_mrc2,Po10_B,inf,poly4-gvarying,poly4,varying,anderson,mean,,247905.86032248475,-395525.7206449695,112178.31491995591,50144,11,True,1.7966321000130847
Po10_B_14-25_mrc2,Po10_B,inf,poly4-gvarying,poly4,varying,anderson,rand0,0.0,247905.86030992726,-395525.7206198545,112178.31494507089,50144,11,True,1.700871599954553
Po10_B_14-25_mrc2,Po10_B,inf,poly4-gvarying,poly4,varying,anderson,rand1,1.0,247905.86031510335,-395525.7206302067,112178.31493471871,50144,11,True,1.6651235000463203
Po10_B_14-25_mrc2,Po10_B,inf,poly5-goff,poly5,off,anderson,mean,,243660.45317717493,-387040.90635434986,120632.75384199579,50141,10,True,1.7952780000632629
Po10_B_14-25_mrc2,Po10_B,inf,poly5-goff,poly5,off,anderson,rand0,0.0,243660.45317717348,-387040.90635434695,120632.7538419987,50141,10,True,1.4699904000153765
Po10_B_14-25_mrc2,Po10_B,inf,poly5-goff,poly5,off,anderson,rand1,1.0,243660.4531771746,-387040.9063543492,120632.75384199643,50141,10,True,1.773849799996242
Po10_B_14-25_mrc2,Po10_B,inf,poly5-gscalar,poly5,scalar,anderson,mean,,247871.69246610513,-395461.38493221026,112222.40038699534,50142,11,True,2.0378660999704152
Po10_B_14-25_mrc2,Po10_B,inf,poly5-gscalar,poly5,scalar,anderson,rand0,0.0,247871.6924625848,-395461.3849251696,112222.40039403603,50142,10,True,1.8146852001082152
Po10_B_14-25_mrc2,Po10_B,inf,poly5-gscalar,poly5,scalar,anderson,rand1,1.0,247871.69246133446,-395461.3849226689,112222.40039653669,50142,10,True,1.5259497000370175
Po10_B_14-25_mrc2,Po10_B,inf,poly5-gvarying,poly5,varying,anderson,mean,,247929.17499599306,-395568.3499919861,112155.93581865908,50146,11,True,2.8459420000435784
Po10_B_14-25_mrc2,Po10_B,inf,poly5-gvarying,poly5,varying,anderson,rand0,0.0,247929.17498345533,-395568.34996691067,112155.93584373454,50146,11,True,2.7946615000255406
Po10_B_14-25_mrc2,Po10_B,inf,poly5-gvarying,poly5,varying,anderson,rand1,1.0,247929.17498168428,-395568.34996336856,112155.93584727665,50146,11,True,2.1498115001013502
Po10_B_14-25_mrc2,Po10_B,inf,poly6-goff,poly6,off,anderson,mean,,243673.77664336865,-387065.5532867373,120618.23203246831,50142,10,True,1.5365742999128997
Po10_B_14-25_mrc2,Po10_B,inf,poly6-goff,poly6,off,anderson,rand0,0.0,243673.77664336306,-387065.5532867261,120618.23203247949,50142,10,True,1.2306826999410987
Po10_B_14-25_mrc2,Po10_B,inf,poly6-goff,poly6,off,anderson,rand1,1.0,243673.77664336376,-387065.5532867275,120618.23203247809,50142,10,True,1.1836327000055462
Po10_B_14-25_mrc2,Po10_B,inf,poly6-gscalar,poly6,scalar,anderson,mean,,247887.86456049373,-395491.72912098747,112202.18132107798,50143,11,True,1.4011321000289172
Po10_B_14-25_mrc2,Po10_B,inf,poly6-gscalar,poly6,scalar,anderson,rand0,0.0,247887.86455631076,-395491.7291126215,112202.18132944393,50143,10,True,1.2900995999807492
Po10_B_14-25_mrc2,Po10_B,inf,poly6-gscalar,poly6,scalar,anderson,rand1,1.0,247887.86455427104,-395491.7291085421,112202.18133352336,50143,10,True,1.2158500000368804
Po10_B_14-25_mrc2,Po10_B,inf,poly6-gvarying,poly6,varying,anderson,mean,,247947.73965302896,-395601.4793060579,112143.05675030721,50148,11,True,1.9157384000718594
Po10_B_14-25_mrc2,Po10_B,inf,poly6-gvarying,poly6,varying,anderson,rand0,0.0,247947.73963882733,-395601.47927765467,112143.05677871045,50148,11,True,1.832990900031291
Po10_B_14-25_mrc2,Po10_B,inf,poly6-gvarying,poly6,varying,anderson,rand1,1.0,247947.73963702848,-395601.47927405697,112143.05678230815,50148,11,True,1.8289496999932453
Po10_B_14-25_mrc2,Po10_B,inf,spline3-goff,spline3,off,anderson,mean,,243594.18308336328,-386914.36616672657,120728.91866103932,50138,9,True,0.5089359000558034
Po10_B_14-25_mrc2,Po10_B,inf,spline3-goff,spline3,off,anderson,rand0,0.0,243594.18308352813,-386914.36616705626,120728.91866070963,50138,9,True,0.5476106000132859
Po10_B_14-25_mrc2,Po10_B,inf,spline3-goff,spline3,off,anderson,rand1,1.0,243594.18308333785,-386914.3661666757,120728.9186610902,50138,9,True,0.7484538999851793
Po10_B_14-25_mrc2,Po10_B,inf,spline3-gscalar,spline3,scalar,anderson,mean,,247816.67161485643,-395357.34322971286,112296.06672091299,50139,10,True,0.9830869000870734
Po10_B_14-25_mrc2,Po10_B,inf,spline3-gscalar,spline3,scalar,anderson,rand0,0.0,247816.67161492276,-395357.3432298455,112296.06672078033,50139,10,True,0.930208700010553
Po10_B_14-25_mrc2,Po10_B,inf,spline3-gscalar,spline3,scalar,anderson,rand1,1.0,247816.67161494424,-395357.3432298885,112296.06672073738,50139,10,True,0.9590995999751613
Po10_B_14-25_mrc2,Po10_B,inf,spline3-gvarying,spline3,varying,anderson,mean,,247853.38131096328,-395428.76262192655,112234.77245155914,50140,10,True,0.9958342999452725
Po10_B_14-25_mrc2,Po10_B,inf,spline3-gvarying,spline3,varying,anderson,rand0,0.0,247853.38130975538,-395428.76261951076,112234.77245397493,50140,10,True,0.9108255000319332
Po10_B_14-25_mrc2,Po10_B,inf,spline3-gvarying,spline3,varying,anderson,rand1,1.0,247853.38130989985,-395428.7626197997,112234.77245368599,50140,10,True,1.0413834999781102
Po10_B_14-25_mrc2,Po10_B,inf,spline4-goff,spline4,off,anderson,mean,,243640.64761840415,-387005.2952368083,120648.11471381754,50139,9,True,0.9823882998898625
Po10_B_14-25_mrc2,Po10_B,inf,spline4-goff,spline4,off,anderson,rand0,0.0,243640.64761832543,-387005.29523665085,120648.114713975,50139,9,True,0.9072827000636607
Po10_B_14-25_mrc2,Po10_B,inf,spline4-goff,spline4,off,anderson,rand1,1.0,243640.64761846227,-387005.29523692455,120648.1147137013,50139,9,True,0.8323001000098884
