slug,nu,solver,cand,reference,pearson,spearman,top10_jaccard,max_abs_rank_shift_frac,mean_abs_dv,max_abs_dv
Po10_B_14-25_mrc2,8,anderson,poly2-goff,poly2-gscalar,0.9924378234524527,0.990684687705542,0.8571428571428571,0.23018867924528302,0.002027210223502677,0.019957660739209397
Po10_B_14-25_mrc2,8,anderson,poly2-gscalar,poly2-gscalar,1.0,1.0,1.0,0.0,0.0,0.0
Po10_B_14-25_mrc2,8,anderson,poly2-gvarying,poly2-gscalar,0.999955927547325,0.9998484633539252,1.0,0.026415094339622643,0.00016150424890401416,0.0009096611091572704
Po10_B_14-25_mrc2,8,anderson,poly3-goff,poly2-gscalar,0.9914622725059813,0.9884690284888894,0.8571428571428571,0.24528301886792453,0.0023764420702902405,0.01842637849723386
Po10_B_14-25_mrc2,8,anderson,poly3-gscalar,poly2-gscalar,0.9985310307331514,0.9974522498355669,0.9259259259259259,0.05660377358490566,0.00111148003919558,0.0030585085709136164
Po10_B_14-25_mrc2,8,anderson,poly3-gvarying,poly2-gscalar,0.998315937536851,0.9971698113207549,0.9259259259259259,0.06792452830188679,0.0011752266910841388,0.003653130847770983
Po10_B_14-25_mrc2,8,anderson,poly4-goff,poly2-gscalar,0.9909154291914395,0.987762287365068,0.8571428571428571,0.24150943396226415,0.0024666374066437424,0.02015937406503822
Po10_B_14-25_mrc2,8,anderson,poly4-gscalar,poly2-gscalar,0.9983187015012298,0.9972336501631439,0.9259259259259259,0.06792452830188679,0.0011369921081677344,0.003533744529124347
Po10_B_14-25_mrc2,8,anderson,poly4-gvarying,poly2-gscalar,0.9981564606461009,0.9969299320342022,0.9259259259259259,0.06415094339622641,0.0011906192660359417,0.0032496809351709316
Po10_B_14-25_mrc2,8,anderson,poly5-goff,poly2-gscalar,0.9909264891815983,0.9879821767110746,0.8571428571428571,0.25660377358490566,0.002433764180523358,0.019205480093491614
Po10_B_14-25_mrc2,8,anderson,poly5-gscalar,poly2-gscalar,0.9982553182758422,0.9970711512916082,0.8571428571428571,0.06792452830188679,0.00115808838182003,0.004014501148790664
Po10_B_14-25_mrc2,8,anderson,poly5-gvarying,poly2-gscalar,0.9981214058782379,0.9969454081172056,0.9259259259259259,0.06415094339622641,0.001194300555527653,0.003733252811398774
Po10_B_14-25_mrc2,8,anderson,poly6-goff,poly2-gscalar,0.9906297536501298,0.9875797985529864,0.8571428571428571,0.26037735849056604,0.0024668780494715016,0.019886797233618213
Po10_B_14-25_mrc2,8,anderson,poly6-gscalar,poly2-gscalar,0.9982098939053073,0.9968054785333833,0.9259259259259259,0.07547169811320754,0.0011666367407153434,0.003981969789303666
Po10_B_14-25_mrc2,8,anderson,poly6-gvarying,poly2-gscalar,0.9981212704650588,0.9966726421542708,0.9259259259259259,0.06792452830188679,0.0011920993343971585,0.0037234828187318256
Po10_B_14-25_mrc2,8,anderson,spline3-goff,poly2-gscalar,0.9918511961407569,0.9892312255768066,0.8571428571428571,0.2490566037735849,0.002262819415506723,0.018891415234949485
Po10_B_14-25_mrc2,8,anderson,spline3-gscalar,poly2-gscalar,0.9990083361767944,0.9982660338668284,0.9259259259259259,0.052830188679245285,0.0009142800903098854,0.0024012622158508974
Po10_B_14-25_mrc2,8,anderson,spline3-gvarying,poly2-gscalar,0.9989040652109001,0.9980010059453954,0.9259259259259259,0.06415094339622641,0.0009515108672348033,0.0027981604383425507
Po10_B_14-25_mrc2,8,anderson,spline4-goff,poly2-gscalar,0.9904814504769701,0.9870445840157858,0.8571428571428571,0.24150943396226415,0.0025905182243408363,0.018995326456425876
Po10_B_14-25_mrc2,8,anderson,spline4-gscalar,poly2-gscalar,0.9976037032114993,0.9961567727208245,0.8571428571428571,0.07169811320754717,0.0013912788694706135,0.003953519774590672
Po10_B_14-25_mrc2,8,anderson,spline4-gvarying,poly2-gscalar,0.9974379856089077,0.9957202182127705,0.9259259259259259,0.0830188679245283,0.0014266703098388164,0.003678288010386707
Po10_B_14-25_mrc2,8,anderson,spline5-goff,poly2-gscalar,0.9905486914609867,0.9871374405138061,0.8571428571428571,0.26037735849056604,0.002496639587786833,0.0196205419738522
Po10_B_14-25_mrc2,8,anderson,spline5-gscalar,poly2-gscalar,0.9981163712403516,0.9966152516797999,0.9259259259259259,0.07924528301886792,0.0012233861249647366,0.0037315478141657366
Po10_B_14-25_mrc2,8,anderson,spline5-gvarying,poly2-gscalar,0.9980271793835098,0.9965939720656704,0.9259259259259259,0.06792452830188679,0.0012420515795027241,0.003479485562237712
Po10_B_14-25_mrc2,8,anderson,spline6-goff,poly2-gscalar,0.9905861095013863,0.9872702768929185,0.8571428571428571,0.26037735849056604,0.002479862499474689,0.019672104358201617
Po10_B_14-25_mrc2,8,anderson,spline6-gscalar,poly2-gscalar,0.9981587331209671,0.9966894079108578,0.9259259259259259,0.07924528301886792,0.0012058081338286915,0.003719426884915257
Po10_B_14-25_mrc2,8,anderson,spline6-gvarying,poly2-gscalar,0.9980637375785004,0.9966371761307214,0.9259259259259259,0.06792452830188679,0.0012307611289307295,0.0034705923326206825
