slug,nu,solver,form_a,form_b,pearson,spearman
Po10_B_14-25_mrc2,8,anderson,poly2-goff,poly2-goff,1.0,1.0
Po10_B_14-25_mrc2,8,anderson,poly2-goff,poly2-gscalar,0.9924378234524527,0.990684687705542
Po10_B_14-25_mrc2,8,anderson,poly2-goff,poly2-gvarying,0.9924109445757948,0.9909580985052683
Po10_B_14-25_mrc2,8,anderson,poly2-goff,poly3-goff,0.99852315000617,0.9977566128013002
Po10_B_14-25_mrc2,8,anderson,poly2-goff,poly3-gscalar,0.9904783799726538,0.98844065567005
Po10_B_14-25_mrc2,8,anderson,poly2-goff,poly3-gvarying,0.9900590542339655,0.988450973058719
Po10_B_14-25_mrc2,8,anderson,poly2-goff,poly4-goff,0.9982930599062139,0.9971395039915399
Po10_B_14-25_mrc2,8,anderson,poly2-goff,poly4-gscalar,0.9906641854554873,0.9881279098260232
Po10_B_14-25_mrc2,8,anderson,poly2-goff,poly4-gvarying,0.9903128507979008,0.988064070983634
Po10_B_14-25_mrc2,8,anderson,poly2-goff,poly5-goff,0.9982135071382483,0.9969415390964549
Po10_B_14-25_mrc2,8,anderson,poly2-goff,poly5-gscalar,0.9904712843014116,0.9879737938327809
Po10_B_14-25_mrc2,8,anderson,poly2-goff,poly5-gvarying,0.990171133152559,0.9879260759101871
Po10_B_14-25_mrc2,8,anderson,poly2-goff,poly6-goff,0.9981767194239126,0.9967145565457384
Po10_B_14-25_mrc2,8,anderson,poly2-goff,poly6-gscalar,0.9907331230731607,0.9878054914301191
Po10_B_14-25_mrc2,8,anderson,poly2-goff,poly6-gvarying,0.9905351394026161,0.9878145191452045
Po10_B_14-25_mrc2,8,anderson,poly2-goff,spline3-goff,0.9990700029583683,0.9985323514618452
Po10_B_14-25_mrc2,8,anderson,poly2-goff,spline3-gscalar,0.9910938307252609,0.9894066211841784
Po10_B_14-25_mrc2,8,anderson,poly2-goff,spline3-gvarying,0.9909430095469492,0.9895426817472499
Po10_B_14-25_mrc2,8,anderson,poly2-goff,spline4-goff,0.9975771607747542,0.9960516643237597
