slug,solver,nu,cand,basis,gamma_form,fold,train_loglik,heldout_logdens,heldout_per_cell,heldout_rmse,n_test,n_orphan,n_iter
Po10_M_14-25_mrc2,anderson,inf,poly2-gscalar,poly2,scalar,0,130378.47171131769,18549.950561008496,0.7658306729835891,0.0928670423896208,24222,0,10
Po10_M_14-25_mrc2,anderson,8,poly2-gscalar,poly2,scalar,0,141265.13676476618,21533.76582846622,0.8890168371094964,0.09325277843669032,24222,0,215
Po10_M_14-25_mrc2,anderson,inf,poly2-gscalar,poly2,scalar,1,130543.82000247891,18167.766824421495,0.7466921550458877,0.09352773724059654,24331,0,10
Po10_M_14-25_mrc2,anderson,8,poly2-gscalar,poly2,scalar,1,141317.6376187484,21320.817924379342,0.8762820239356928,0.09338412718868681,24331,0,178
Po10_M_14-25_mrc2,anderson,inf,poly2-gscalar,poly2,scalar,2,130448.19252715059,18114.085499775338,0.742380553269481,0.09371299080706547,24400,0,10
Po10_M_14-25_mrc2,anderson,8,poly2-gscalar,poly2,scalar,2,141077.87868943863,21418.32489347498,0.8778002005522533,0.09424770361930644,24400,0,157
Po10_M_14-25_mrc2,anderson,inf,poly2-gscalar,poly2,scalar,3,130428.72356246469,18284.367005230622,0.7517624786296613,0.09337740047073491,24322,0,10
Po10_M_14-25_mrc2,anderson,8,poly2-gscalar,poly2,scalar,3,141206.93432188284,21469.127260241057,0.8827040235277139,0.09354393749541058,24322,0,208
Po10_M_14-25_mrc2,anderson,inf,poly2-gscalar,poly2,scalar,4,130328.4854666245,18540.365952360982,0.7647088452200859,0.09292531812709734,24245,0,10
Po10_M_14-25_mrc2,anderson,8,poly2-gscalar,poly2,scalar,4,141265.54437430145,21430.754909719537,0.8839247230241096,0.09313947268933827,24245,0,300
Po10_M_14-25_mrc2,anderson,inf,poly2-gvarying,poly2,varying,0,130399.1043162217,18541.095947605783,0.7654651121957635,0.09287231188683272,24222,0,11
Po10_M_14-25_mrc2,anderson,8,poly2-gvarying,poly2,varying,0,141303.76683532668,21579.396854721443,0.8909007041004642,0.09317981797501426,24222,0,202
Po10_M_14-25_mrc2,anderson,inf,poly2-gvarying,poly2,varying,1,130556.63699527679,18173.42334080616,0.7469246369161218,0.09351111380523824,24331,0,11
Po10_M_14-25_mrc2,anderson,8,poly2-gvarying,poly2,varying,1,141341.66114503072,21321.052106006515,0.8762916487611079,0.0933500469150209,24331,0,176
Po10_M_14-25_mrc2,anderson,inf,poly2-gvarying,poly2,varying,2,130461.64586293182,18118.375151559394,0.742556358670467,0.0936984235659531,24400,0,11
Po10_M_14-25_mrc2,anderson,8,poly2-gvarying,poly2,varying,2,141105.53574473842,21474.61570127157,0.8801072008717856,0.09423424376856052,24400,0,204
Po10_M_14-25_mrc2,anderson,inf,poly2-gvarying,poly2,varying,3,130445.04260689694,18280.811492091896,0.751616293565163,0.09337517269535694,24322,0,11
Po10_M_14-25_mrc2,anderson,8,poly2-gvarying,poly2,varying,3,141239.6063386858,21527.670508507013,0.8851110315149664,0.09339113498575129,24322,0,179
Po10_M_14-25_mrc2,anderson,inf,poly2-gvarying,poly2,varying,4,130341.60304561448,18542.96332728668,0.764815975553173,0.09291398579668189,24245,0,11
Po10_M_14-25_mrc2,anderson,8,poly2-gvarying,poly2,varying,4,141295.20514933998,21481.725446029093,0.8860270342763082,0.09311465082313712,24245,0,204
Po10_M_14-25_mrc2,anderson,inf,poly3-gscalar,poly3,scalar,0,130440.82161527578,18523.064415940997,0.7647206843341177,0.09288315487851652,24222,0,11
Po10_M_14-25_mrc2,anderson,8,poly3-gscalar,poly3,scalar,0,141344.81670686658,21403.13953432101,0.8836239589761791,0.09369415873881541,24222,0,247
Po10_M_14-25_mrc2,anderson,inf,poly3-gscalar,poly3,scalar,1,130609.41797548991,18137.959195619318,0.7454670665249812,0.09354557534099135,24331,0,11
