slug,slice,solver,nu,cand,basis,gamma_form,full_loglik,full_aic,full_bic,n_params,n_iter,converged,cv_logdens,cv_per_cell,heldout_rmse,n_test_total,n_orphan_total
Po10_M_14-25_mrc2,Po10_M,anderson,inf,poly2-gscalar,poly2,scalar,157188.8098313955,-249823.61966279102,63516.14278586162,32278,10,True,91656.53584279693,0.7542506241178154,0.09328355469678266,121520,0
Po10_M_14-25_mrc2,Po10_M,anderson,8,poly2-gscalar,poly2,scalar,169355.25169014625,-274156.5033802925,39183.259068360145,32278,296,True,107172.79081628114,0.8819354082972444,0.09351533649077032,121520,0
Po10_M_14-25_mrc2,Po10_M,anderson,inf,poly2-gvarying,poly2,varying,157206.49699721579,-249856.99399443157,63492.47628835839,32279,10,True,91656.6692593499,0.7542517220157168,0.09327562658160118,121520,0
Po10_M_14-25_mrc2,Po10_M,anderson,8,poly2-gvarying,poly2,varying,169391.37026473123,-274226.74052946246,39122.7297533275,32279,225,True,107384.46061653562,0.883677259846409,0.09345578552770106,121520,0
Po10_M_14-25_mrc2,Po10_M,anderson,inf,poly3-gscalar,poly3,scalar,157250.35254651937,-249944.70509303873,63404.765189751226,32279,9,True,91564.70204314924,0.7534949147724592,0.09328637667956491,121520,0
Po10_M_14-25_mrc2,Po10_M,anderson,8,poly3-gscalar,poly3,scalar,169437.10285444878,-274318.20570889756,39031.264573892404,32279,235,True,106600.09975979189,0.8772226774176423,0.09392926193543319,121520,0
Po10_M_14-25_mrc2,Po10_M,anderson,inf,poly3-gvarying,poly3,varying,157291.4975189963,-250022.9950379926,63345.89091307187,32281,11,True,91581.66058542338,0.7536344682803109,0.09326260707765406,121520,0
Po10_M_14-25_mrc2,Po10_M,anderson,8,poly3-gvarying,poly3,varying,169494.95802944162,-274429.91605888325,38938.96989218122,32281,289,True,106825.493906712,0.8790774679617511,0.09379621080571193,121520,0
Po10_M_14-25_mrc2,Po10_M,anderson,inf,poly4-gscalar,poly4,scalar,157262.93848982934,-249967.87697965867,63391.30113726854,32280,11,True,91540.54096970055,0.7532960909290697,0.0932888007410165,121520,0
Po10_M_14-25_mrc2,Po10_M,anderson,8,poly4-gscalar,poly4,scalar,169453.94143113203,-274349.88286226406,39009.29525466316,32280,191,True,106467.78926806836,0.8761338814028008,0.09405420573320869,121520,0
Po10_M_14-25_mrc2,Po10_M,anderson,inf,poly4-gvarying,poly4,varying,157308.0701603312,-250052.1403206624,63336.16129867663,32283,11,True,91554.42730360402,0.7534103629328837,0.09326432984180438,121520,0
Po10_M_14-25_mrc2,Po10_M,anderson,8,poly4-gvarying,poly4,varying,169515.80276781134,-274467.6055356227,38920.69608371635,32283,207,True,106815.87805360355,0.8789983381632945,0.09382096412698408,121520,0
Po10_M_14-25_mrc2,Po10_M,anderson,inf,poly5-gscalar,poly5,scalar,157277.83937527475,-249995.6787505495,63373.20720051497,32281,11,True,91519.91815880708,0.7531263837953183,0.09328898756436006,121520,0
Po10_M_14-25_mrc2,Po10_M,anderson,8,poly5-gscalar,poly5,scalar,169469.93229728378,-274379.86459456757,38989.0213564969,32281,144,True,106545.71783090278,0.8767751631904442,0.09396803805098633,121520,0
Po10_M_14-25_mrc2,Po10_M,anderson,inf,poly5-gvarying,poly5,varying,157324.411217375,-250080.82243474998,63326.89485286357,32285,11,True,91532.2092557222,0.753227528437477,0.09326437106184228,121520,0
Po10_M_14-25_mrc2,Po10_M,anderson,8,poly5-gvarying,poly5,varying,169532.88480653346,-274497.7696130669,38909.94767454662,32285,190,True,106676.03299817123,0.8778475394846217,0.09389998819125502,121520,0
Po10_M_14-25_mrc2,Po10_M,anderson,inf,poly6-gscalar,poly6,scalar,157286.6918555716,-250011.38371114322,63367.2100740585,32282,11,True,91513.1629418174,0.7530707944520852,0.09328732479078372,121520,0
Po10_M_14-25_mrc2,Po10_M,anderson,8,poly6-gscalar,poly6,scalar,169476.10739355985,-274390.2147871197,38988.378998082015,32282,254,True,106656.21533534596,0.8776844579933012,0.09388186734451591,121520,0
Po10_M_14-25_mrc2,Po10_M,anderson,inf,poly6-gvarying,poly6,varying,157334.31417701254,-250096.62835402507,63330.50460186304,32287,11,True,91526.37777817559,0.7531795406367313,0.09326194523346358,121520,0
Po10_M_14-25_mrc2,Po10_M,anderson,8,poly6-gvarying,poly6,varying,169541.4200402298,-274510.8400804596,38916.29287542851,32287,156,True,106695.46672368134,0.878007461518115,0.09388981842569911,121520,0
Po10_M_14-25_mrc2,Po10_M,anderson,inf,spline3-gscalar,spline3,scalar,157245.55847495334,-249937.1169499067,63402.64549874596,32278,10,True,91590.97330955957,0.7537111036007207,0.09327987660394507,121520,0
Po10_M_14-25_mrc2,Po10_M,anderson,8,spline3-gscalar,spline3,scalar,169431.43332177648,-274308.86664355296,39030.89580509969,32278,270,True,106789.02633206635,0.8787773727128567,0.09380589663116626,121520,0
