slug,slice,nu,cand,basis,gamma_form,solver,init,seed,loglik,aic,bic,n_params,n_iter,converged,wall_s
Po10_M_14-25_mrc2,Po10_M,inf,poly2-goff,poly2,off,anderson,mean,,154279.4326796961,-244006.8653593922,69323.1892551232,32277,9,True,0.25871490000281483
Po10_M_14-25_mrc2,Po10_M,inf,poly2-goff,poly2,off,anderson,rand0,0.0,154279.43267972989,-244006.86535945977,69323.18925505562,32277,9,True,0.25025929999537766
Po10_M_14-25_mrc2,Po10_M,inf,poly2-goff,poly2,off,anderson,rand1,1.0,154279.4326797081,-244006.86535941617,69323.18925509922,32277,9,True,0.2502058999380097
Po10_M_14-25_mrc2,Po10_M,inf,poly2-gscalar,poly2,scalar,anderson,mean,,157188.8098313955,-249823.61966279102,63516.14278586162,32278,10,True,0.3082981000188738
Po10_M_14-25_mrc2,Po10_M,inf,poly2-gscalar,poly2,scalar,anderson,rand0,0.0,157188.80983148265,-249823.6196629653,63516.14278568735,32278,10,True,0.3507130000507459
Po10_M_14-25_mrc2,Po10_M,inf,poly2-gscalar,poly2,scalar,anderson,rand1,1.0,157188.80983144563,-249823.61966289126,63516.14278576139,32278,10,True,0.3353813000721857
Po10_M_14-25_mrc2,Po10_M,inf,poly2-gvarying,poly2,varying,anderson,mean,,157206.49699721579,-249856.99399443157,63492.47628835839,32279,10,True,0.48116880003362894
Po10_M_14-25_mrc2,Po10_M,inf,poly2-gvarying,poly2,varying,anderson,rand0,0.0,157206.49699663927,-249856.99399327853,63492.476289511425,32279,10,True,0.46360420004930347
Po10_M_14-25_mrc2,Po10_M,inf,poly2-gvarying,poly2,varying,anderson,rand1,1.0,157206.49699668665,-249856.9939933733,63492.47628941666,32279,10,True,0.4591000999789685
Po10_M_14-25_mrc2,Po10_M,inf,poly3-goff,poly3,off,anderson,mean,,154345.49145751266,-244136.98291502532,69202.77953362733,32278,9,True,0.24929519998840988
Po10_M_14-25_mrc2,Po10_M,inf,poly3-goff,poly3,off,anderson,rand0,0.0,154345.49145757547,-244136.98291515093,69202.77953350171,32278,9,True,0.2763539000879973
Po10_M_14-25_mrc2,Po10_M,inf,poly3-goff,poly3,off,anderson,rand1,1.0,154345.49145765873,-244136.98291531747,69202.77953333518,32278,9,True,0.27979589998722076
Po10_M_14-25_mrc2,Po10_M,inf,poly3-gscalar,poly3,scalar,anderson,mean,,157250.35254651937,-249944.70509303873,63404.765189751226,32279,9,True,0.43537079996895045
Po10_M_14-25_mrc2,Po10_M,inf,poly3-gscalar,poly3,scalar,anderson,rand0,0.0,157250.352547142,-249944.70509428403,63404.76518850593,32279,9,True,0.4162847000407055
Po10_M_14-25_mrc2,Po10_M,inf,poly3-gscalar,poly3,scalar,anderson,rand1,1.0,157250.35254668322,-249944.70509336644,63404.76518942352,32279,9,True,0.44054069998674095
Po10_M_14-25_mrc2,Po10_M,inf,poly3-gvarying,poly3,varying,anderson,mean,,157291.4975189963,-250022.9950379926,63345.89091307187,32281,11,True,0.6630730000324547
Po10_M_14-25_mrc2,Po10_M,inf,poly3-gvarying,poly3,varying,anderson,rand0,0.0,157291.4975159652,-250022.9950319304,63345.89091913408,32281,11,True,0.7730089999968186
Po10_M_14-25_mrc2,Po10_M,inf,poly3-gvarying,poly3,varying,anderson,rand1,1.0,157291.49751083893,-250022.99502167787,63345.8909293866,32281,11,True,0.6793115000473335
Po10_M_14-25_mrc2,Po10_M,inf,poly4-goff,poly4,off,anderson,mean,,154360.25283693706,-244164.5056738741,69184.96460891585,32279,9,True,0.5287590000079945
Po10_M_14-25_mrc2,Po10_M,inf,poly4-goff,poly4,off,anderson,rand0,0.0,154360.2528366253,-244164.5056732506,69184.96460953937,32279,9,True,0.6000719000585377
