slug,nu,cand,basis,gamma_form,solver,entry_age_label,entry_age,peak_an,peak_age,peak_depth,peak_pct,improve_span_yr,breakeven_an,tail_value,plateau_p05_yr,plateau_p10_yr,plateau_p25_yr,tail_an_cut,tail_sign_changes,tail_nonmonotone
Po10_W_14-25_mrc2,inf,poly2-goff,poly2,off,anderson,mean,39.88595455886692,3.6363336188127495,43.52228817767967,-0.011973707731158073,-0.011902308149438013,7.272667237625499,7.311758618057464,0.04558439935440004,1.642215182689629,2.3460216895566126,3.6363336188127495,8.566735112936344,0.0,0.0
Po10_W_14-25_mrc2,inf,poly2-goff,poly2,off,anderson,p10,26.5,3.6363336188127495,30.13633361881275,-0.011973707731158073,-0.011902308149438013,7.272667237625499,7.311758618057464,0.04558439935440004,1.642215182689629,2.3460216895566126,3.6363336188127495,8.566735112936344,0.0,0.0
Po10_W_14-25_mrc2,inf,poly2-goff,poly2,off,anderson,p50,40.5,3.6363336188127495,44.13633361881275,-0.011973707731158073,-0.011902308149438013,7.272667237625499,7.311758618057464,0.04558439935440004,1.642215182689629,2.3460216895566126,3.6363336188127495,8.566735112936344,0.0,0.0
Po10_W_14-25_mrc2,inf,poly2-goff,poly2,off,anderson,p90,53.5,3.6363336188127495,57.13633361881275,-0.011973707731158073,-0.011902308149438013,7.272667237625499,7.311758618057464,0.04558439935440004,1.642215182689629,2.3460216895566126,3.6363336188127495,8.566735112936344,0.0,0.0
Po10_W_14-25_mrc2,8,poly2-goff,poly2,off,anderson,mean,39.88595455886692,3.519032534334919,43.40498709320184,-0.011444508779015681,-0.011379269502750979,7.038065068669838,7.067373048261049,0.04924823167650504,1.5835646404507135,2.2287206050787822,3.519032534334919,8.566735112936344,0.0,0.0
Po10_W_14-25_mrc2,8,poly2-goff,poly2,off,anderson,p10,26.5,3.519032534334919,30.01903253433492,-0.011444508779015681,-0.011379269502750979,7.038065068669838,7.067373048261049,0.04924823167650504,1.5835646404507135,2.2287206050787822,3.519032534334919,8.566735112936344,0.0,0.0
Po10_W_14-25_mrc2,8,poly2-goff,poly2,off,anderson,p50,40.5,3.519032534334919,44.01903253433492,-0.011444508779015681,-0.011379269502750979,7.038065068669838,7.067373048261049,0.04924823167650504,1.5835646404507135,2.2287206050787822,3.519032534334919,8.566735112936344,0.0,0.0
Po10_W_14-25_mrc2,8,poly2-goff,poly2,off,anderson,p90,53.5,3.519032534334919,57.01903253433492,-0.011444508779015681,-0.011379269502750979,7.038065068669838,7.067373048261049,0.04924823167650504,1.5835646404507135,2.2287206050787822,3.519032534334919,8.566735112936344,0.0,0.0
Po10_W_14-25_mrc2,inf,poly2-gscalar,poly2,scalar,anderson,mean,39.88595455886692,3.870935787768411,43.75689034663533,-0.012856990031127424,-0.012774692013958438,7.683221033297906,7.740886183999778,0.039372876090056755,1.7008657249285442,2.4046722317955282,3.870935787768411,8.566735112936344,0.0,0.0
Po10_W_14-25_mrc2,inf,poly2-gscalar,poly2,scalar,anderson,p10,26.5,7.800522117775738,34.300522117775735,-0.052374126958825866,-0.051026236248026206,11.671457905544148,,-0.039588725012543194,3.460381992096004,4.926645548068887,7.800522117775738,8.566735112936344,0.0,0.0
Po10_W_14-25_mrc2,inf,poly2-gscalar,poly2,scalar,anderson,p50,40.5,3.694984161051665,44.194984161051664,-0.011683854387181973,-0.011615863217774877,7.331317779864415,7.379226730520743,0.042995031758402635,1.642215182689629,2.2873711473176974,3.694984161051665,8.566735112936344,0.0,0.0
Po10_W_14-25_mrc2,inf,poly2-gscalar,poly2,scalar,anderson,p90,53.5,0.0,53.5,0.0,0.0,0.0,,0.11967994875999519,0.05865054223891532,0.05865054223891532,0.05865054223891532,8.566735112936344,0.0,0.0
Po10_W_14-25_mrc2,8,poly2-gscalar,poly2,scalar,anderson,mean,39.88595455886692,3.9295863300073264,43.815540888874246,-0.013626966064970932,-0.013534539271482177,7.859172660014653,7.86154708641225,0.03921744251213911,1.7595162671674596,2.5219733162733586,3.9295863300073264,8.566735112936344,0.0,0.0
