slug,slice,solver,nu,cand,basis,gamma_form,full_loglik,full_aic,full_bic,n_params,n_iter,converged,cv_logdens,cv_per_cell,heldout_rmse,n_test_total,n_orphan_total
Po10_W_14-25_mrc2,Po10_W,anderson,inf,poly2-gscalar,poly2,scalar,90332.72179284567,-144897.44358569133,16655.677026129473,17885,10,True,52449.87488738253,0.8472365788583284,0.0813835316708805,61907,0
Po10_W_14-25_mrc2,Po10_W,anderson,8,poly2-gscalar,poly2,scalar,95693.42490805587,-155618.84981611173,5934.270795709075,17885,149,True,60502.65129502285,0.9773151872166774,0.08151495110183082,61907,0
Po10_W_14-25_mrc2,Po10_W,anderson,inf,poly2-gvarying,poly2,varying,90345.80254289316,-144921.60508578632,16640.54891457237,17886,10,True,52443.51760288266,0.8471338879752316,0.08137648867070983,61907,0
Po10_W_14-25_mrc2,Po10_W,anderson,8,poly2-gvarying,poly2,varying,95711.18577916497,-155652.37155832993,5909.782442028751,17886,118,True,60464.97699381258,0.9767066243528613,0.0815682650656493,61907,0
Po10_W_14-25_mrc2,Po10_W,anderson,inf,poly3-gscalar,poly3,scalar,90356.15427507588,-144942.30855015176,16619.84545020692,17886,10,True,52414.49459545367,0.8466650717278121,0.08138309423451898,61907,0
Po10_W_14-25_mrc2,Po10_W,anderson,8,poly3-gscalar,poly3,scalar,95722.3996269523,-155674.7992539046,5887.354746454075,17886,190,True,60385.10656009114,0.9754164562988215,0.08170526769906707,61907,0
Po10_W_14-25_mrc2,Po10_W,anderson,inf,poly3-gvarying,poly3,varying,90372.12411161407,-144970.24822322815,16609.972554206353,17888,11,True,52408.54214328222,0.8465689202074437,0.08137357287118717,61907,0
Po10_W_14-25_mrc2,Po10_W,anderson,8,poly3-gvarying,poly3,varying,95745.56823652783,-155717.13647305567,5863.084304378834,17888,164,True,60384.831446977674,0.9754120123245784,0.08168243660067807,61907,0
Po10_W_14-25_mrc2,Po10_W,anderson,inf,poly4-gscalar,poly4,scalar,90371.00082116875,-144970.0016423375,16601.185746559087,17887,9,True,52392.84716441868,0.846315395099402,0.0813824878378778,61907,0
Po10_W_14-25_mrc2,Po10_W,anderson,8,poly4-gscalar,poly4,scalar,95742.02418260791,-155712.04836521583,5859.139023680764,17887,193,True,60190.691939464436,0.9722760259657944,0.08191964582276205,61907,0
Po10_W_14-25_mrc2,Po10_W,anderson,inf,poly4-gvarying,poly4,varying,90387.03656228234,-144996.0731245647,16602.214429945598,17890,11,True,52379.79194646729,0.8461045107413909,0.08137645703818355,61907,0
Po10_W_14-25_mrc2,Po10_W,anderson,8,poly4-gvarying,poly4,varying,95768.56856401864,-155759.13712803728,5839.150426473003,17890,212,True,60225.27078209921,0.9728345870757622,0.08187128576848572,61907,0
Po10_W_14-25_mrc2,Po10_W,anderson,inf,poly5-gscalar,poly5,scalar,90379.55147838275,-144985.1029567655,16595.117820668995,17888,10,True,52374.14079826827,0.8460132262630764,0.08138552486019877,61907,0
Po10_W_14-25_mrc2,Po10_W,anderson,8,poly5-gscalar,poly5,scalar,95748.75202261978,-155723.50404523956,5856.716732194938,17888,166,True,60078.52450686082,0.9704641560221109,0.08206288586855923,61907,0
Po10_W_14-25_mrc2,Po10_W,anderson,inf,poly5-gvarying,poly5,varying,90395.56810957697,-145009.13621915394,16607.218112432165,17892,11,True,52356.39306945763,0.8457265425470081,0.08138187016138536,61907,0
Po10_W_14-25_mrc2,Po10_W,anderson,8,poly5-gvarying,poly5,varying,95775.24939045125,-155768.4987809025,5847.855550683598,17892,160,True,60085.76348640634,0.9705810891564175,0.08206652290916087,61907,0
Po10_W_14-25_mrc2,Po10_W,anderson,inf,poly6-gscalar,poly6,scalar,90387.65129882429,-144999.30259764858,16589.951568323828,17889,10,True,52360.08046671942,0.8457861060416337,0.0813862541089944,61907,0
Po10_W_14-25_mrc2,Po10_W,anderson,8,poly6-gscalar,poly6,scalar,95756.70073594971,-155737.40147189941,5851.8526940729935,17889,177,True,60042.88402306494,0.9698884459441571,0.08211623968883576,61907,0
Po10_W_14-25_mrc2,Po10_W,anderson,inf,poly6-gvarying,poly6,varying,90405.15388835123,-145024.30777670245,16610.113331959466,17894,11,True,52340.59929706219,0.8454714216011467,0.08138232605847542,61907,0
Po10_W_14-25_mrc2,Po10_W,anderson,8,poly6-gvarying,poly6,varying,95784.72777063279,-155783.45554126558,5850.9655673963425,17894,136,True,60023.49710172999,0.9695752839215273,0.08214195617443534,61907,0
Po10_W_14-25_mrc2,Po10_W,anderson,inf,spline3-gscalar,spline3,scalar,90354.62654985515,-144941.2530997103,16611.867512110504,17885,10,True,52422.54945829247,0.8467951840388401,0.08138015775854521,61907,0
Po10_W_14-25_mrc2,Po10_W,anderson,8,spline3-gscalar,spline3,scalar,95720.97024925961,-155673.94049851922,5879.180113301583,17885,149,True,60500.70358348104,0.9772837253215474,0.08152061860071785,61907,0
Po10_W_14-25_mrc2,Po10_W,anderson,inf,spline3-gvarying,spline3,varying,90369.43926564622,-144968.87853129243,16593.275469066255,17886,10,True,52418.60524396952,0.8467314721109005,0.08137053622113258,61907,0
Po10_W_14-25_mrc2,Po10_W,anderson,8,spline3-gvarying,spline3,varying,95741.79043073027,-155713.58086146053,5848.573138898151,17886,141,True,60432.22128507591,0.9761775128026865,0.08163043496153102,61907,0
Po10_W_14-25_mrc2,Po10_W,anderson,inf,spline4-gscalar,spline4,scalar,90371.46021063453,-144972.92042126905,16589.233579089632,17886,9,True,52387.20116592926,0.8462241938056967,0.08138522348718291,61907,0
