slug,slice,nu,cand,basis,gamma_form,solver,init,seed,loglik,aic,bic,n_params,n_iter,converged,wall_s
Po10_W_14-25_mrc2,Po10_W,inf,poly2-goff,poly2,off,anderson,mean,,89040.21781704806,-142314.43563409612,19229.651589186775,17884,8,True,0.08904850005637854
Po10_W_14-25_mrc2,Po10_W,inf,poly2-goff,poly2,off,anderson,rand0,0.0,89040.2178168241,-142314.4356336482,19229.651589634712,17884,8,True,0.08244680007919669
Po10_W_14-25_mrc2,Po10_W,inf,poly2-goff,poly2,off,anderson,rand1,1.0,89040.2178169882,-142314.4356339764,19229.651589306508,17884,8,True,0.08568569994531572
Po10_W_14-25_mrc2,Po10_W,inf,poly2-gscalar,poly2,scalar,anderson,mean,,90332.72179284567,-144897.44358569133,16655.677026129473,17885,10,True,0.12260330002754927
Po10_W_14-25_mrc2,Po10_W,inf,poly2-gscalar,poly2,scalar,anderson,rand0,0.0,90332.72179287915,-144897.4435857583,16655.677026062505,17885,10,True,0.1303000000771135
Po10_W_14-25_mrc2,Po10_W,inf,poly2-gscalar,poly2,scalar,anderson,rand1,1.0,90332.72179289898,-144897.44358579797,16655.677026022837,17885,10,True,0.13049450004473329
Po10_W_14-25_mrc2,Po10_W,inf,poly2-gvarying,poly2,varying,anderson,mean,,90345.80254289316,-144921.60508578632,16640.54891457237,17886,10,True,0.11591350007802248
Po10_W_14-25_mrc2,Po10_W,inf,poly2-gvarying,poly2,varying,anderson,rand0,0.0,90345.80254264912,-144921.60508529824,16640.54891506044,17886,10,True,0.14194570004474372
Po10_W_14-25_mrc2,Po10_W,inf,poly2-gvarying,poly2,varying,anderson,rand1,1.0,90345.80254267552,-144921.60508535104,16640.548915007646,17886,10,True,0.12164190004114062
Po10_W_14-25_mrc2,Po10_W,inf,poly3-goff,poly3,off,anderson,mean,,89065.25212344043,-142362.50424688085,19190.616364939953,17885,9,True,0.10117120004724711
Po10_W_14-25_mrc2,Po10_W,inf,poly3-goff,poly3,off,anderson,rand0,0.0,89065.25212340098,-142362.50424680195,19190.616365018854,17885,9,True,0.09070279996376485
Po10_W_14-25_mrc2,Po10_W,inf,poly3-goff,poly3,off,anderson,rand1,1.0,89065.2521233979,-142362.5042467958,19190.616365024995,17885,9,True,0.0856531000463292
Po10_W_14-25_mrc2,Po10_W,inf,poly3-gscalar,poly3,scalar,anderson,mean,,90356.15427507588,-144942.30855015176,16619.84545020692,17886,10,True,0.10518949991092086
Po10_W_14-25_mrc2,Po10_W,inf,poly3-gscalar,poly3,scalar,anderson,rand0,0.0,90356.1542746939,-144942.3085493878,16619.845450970897,17886,10,True,0.10371249995660037
Po10_W_14-25_mrc2,Po10_W,inf,poly3-gscalar,poly3,scalar,anderson,rand1,1.0,90356.15427539585,-144942.3085507917,16619.845449566987,17886,10,True,0.10543469991534948
Po10_W_14-25_mrc2,Po10_W,inf,poly3-gvarying,poly3,varying,anderson,mean,,90372.12411161407,-144970.24822322815,16609.972554206353,17888,11,True,0.1334290000377223
Po10_W_14-25_mrc2,Po10_W,inf,poly3-gvarying,poly3,varying,anderson,rand0,0.0,90372.12410919263,-144970.24821838527,16609.97255904923,17888,11,True,0.11724980000872165
Po10_W_14-25_mrc2,Po10_W,inf,poly3-gvarying,poly3,varying,anderson,rand1,1.0,90372.12410802627,-144970.24821605254,16609.97256138196,17888,10,True,0.11602449999190867
Po10_W_14-25_mrc2,Po10_W,inf,poly4-goff,poly4,off,anderson,mean,,89081.71908254414,-142393.43816508827,19168.715835270414,17886,9,True,0.10469950002152473
Po10_W_14-25_mrc2,Po10_W,inf,poly4-goff,poly4,off,anderson,rand0,0.0,89081.71908238418,-142393.43816476836,19168.715835590323,17886,9,True,0.10743550001643598
Po10_W_14-25_mrc2,Po10_W,inf,poly4-goff,poly4,off,anderson,rand1,1.0,89081.71908240081,-142393.43816480163,19168.715835557057,17886,9,True,0.09226479998324066
Po10_W_14-25_mrc2,Po10_W,inf,poly4-gscalar,poly4,scalar,anderson,mean,,90371.00082116875,-144970.0016423375,16601.185746559087,17887,9,True,0.11512219998985529
Po10_W_14-25_mrc2,Po10_W,inf,poly4-gscalar,poly4,scalar,anderson,rand0,0.0,90371.00082138709,-144970.00164277418,16601.185746122414,17887,9,True,0.10853540000971407
Po10_W_14-25_mrc2,Po10_W,inf,poly4-gscalar,poly4,scalar,anderson,rand1,1.0,90371.00082136597,-144970.00164273195,16601.185746164643,17887,9,True,0.11046280001755804
Po10_W_14-25_mrc2,Po10_W,inf,poly4-gvarying,poly4,varying,anderson,mean,,90387.03656228234,-144996.0731245647,16602.214429945598,17890,11,True,0.2687796000391245
Po10_W_14-25_mrc2,Po10_W,inf,poly4-gvarying,poly4,varying,anderson,rand0,0.0,90387.03655798757,-144996.07311597513,16602.214438535157,17890,11,True,0.30449100001715124
Po10_W_14-25_mrc2,Po10_W,inf,poly4-gvarying,poly4,varying,anderson,rand1,1.0,90387.03655878472,-144996.07311756944,16602.21443694085,17890,11,True,0.3124489999609068
Po10_W_14-25_mrc2,Po10_W,inf,poly5-goff,poly5,off,anderson,mean,,89091.47754463919,-142410.95508927837,19160.23229961822,17887,9,True,0.10450259991921484
Po10_W_14-25_mrc2,Po10_W,inf,poly5-goff,poly5,off,anderson,rand0,0.0,89091.47754445532,-142410.95508891065,19160.232299985946,17887,9,True,0.10898299992550164
Po10_W_14-25_mrc2,Po10_W,inf,poly5-goff,poly5,off,anderson,rand1,1.0,89091.47754445707,-142410.95508891414,19160.232299982454,17887,9,True,0.09722200001124293
Po10_W_14-25_mrc2,Po10_W,inf,poly5-gscalar,poly5,scalar,anderson,mean,,90379.55147838275,-144985.1029567655,16595.117820668995,17888,10,True,0.14740230003371835
Po10_W_14-25_mrc2,Po10_W,inf,poly5-gscalar,poly5,scalar,anderson,rand0,0.0,90379.551477145,-144985.10295429,16595.11782314451,17888,9,True,0.13852019992191344
Po10_W_14-25_mrc2,Po10_W,inf,poly5-gscalar,poly5,scalar,anderson,rand1,1.0,90379.55147887886,-144985.1029577577,16595.117819676787,17888,10,True,0.15348390000872314
Po10_W_14-25_mrc2,Po10_W,inf,poly5-gvarying,poly5,varying,anderson,mean,,90395.56810957697,-145009.13621915394,16607.218112432165,17892,11,True,0.5885723000392318
Po10_W_14-25_mrc2,Po10_W,inf,poly5-gvarying,poly5,varying,anderson,rand0,0.0,90395.56810558989,-145009.13621117978,16607.218120406324,17892,11,True,0.4912162999389693
Po10_W_14-25_mrc2,Po10_W,inf,poly5-gvarying,poly5,varying,anderson,rand1,1.0,90395.56810594644,-145009.13621189288,16607.21811969322,17892,11,True,0.47399849991779774
