slug,slice,nu,cand,basis,gamma_form,solver,loglik_best,best_init,loglik_gap_across_inits,max_abs_dv_across_inits,all_converged
ALL_B_14-25_mrc2,ALL_B,inf,poly2-goff,poly2,off,anderson,1821714.341041834,rand0,5.7470519095659256e-05,0.0002070744561209,True
ALL_B_14-25_mrc2,ALL_B,inf,poly2-gscalar,poly2,scalar,anderson,1826387.3599770688,mean,0.0017395368777215,0.0011604172393717,True
ALL_B_14-25_mrc2,ALL_B,inf,poly2-gvarying,poly2,varying,anderson,1827770.719029256,rand0,0.0095359552651643,0.0028041299329274,True
ALL_B_14-25_mrc2,ALL_B,inf,poly3-goff,poly3,off,anderson,1822377.4132846976,mean,0.0004595639184117,0.0001844190711243,True
ALL_B_14-25_mrc2,ALL_B,inf,poly3-gscalar,poly3,scalar,anderson,1827000.5441922736,rand1,0.0002296802122145,0.0002941747336601,True
ALL_B_14-25_mrc2,ALL_B,inf,poly3-gvarying,poly3,varying,anderson,1830785.422306561,rand0,0.0119861769489943,0.0027855853221881,True
ALL_B_14-25_mrc2,ALL_B,inf,poly4-goff,poly4,off,anderson,1822796.83460076,rand1,0.0005083202850073,0.0002329858772814,True
ALL_B_14-25_mrc2,ALL_B,inf,poly4-gscalar,poly4,scalar,anderson,1827383.3702597425,rand1,0.0003227132838219,0.0001511332815056,True
ALL_B_14-25_mrc2,ALL_B,inf,poly4-gvarying,poly4,varying,anderson,1833335.9410045785,rand0,0.0096805891953408,0.0025072590409966,True
ALL_B_14-25_mrc2,ALL_B,inf,poly5-goff,poly5,off,anderson,1822964.7926695957,rand1,0.0003401925787329,0.000273977421321,True
ALL_B_14-25_mrc2,ALL_B,inf,poly5-gscalar,poly5,scalar,anderson,1827547.3142762173,rand1,0.0001725868787616,0.0003668936613759,True
ALL_B_14-25_mrc2,ALL_B,inf,poly5-gvarying,poly5,varying,anderson,1833871.4066508915,rand0,0.0094051794148981,0.0025780626831256,True
ALL_B_14-25_mrc2,ALL_B,inf,poly6-goff,poly6,off,anderson,1822986.905694855,rand1,0.0003796862438321,0.0001531172564023,True
ALL_B_14-25_mrc2,ALL_B,inf,poly6-gscalar,poly6,scalar,anderson,1827570.178675128,mean,0.0001364664640277,0.0001605071803898,True
ALL_B_14-25_mrc2,ALL_B,inf,poly6-gvarying,poly6,varying,anderson,1834036.0322806009,rand0,0.01002475223504,0.0026940668228423,True
ALL_B_14-25_mrc2,ALL_B,inf,spline3-goff,spline3,off,anderson,1822326.1381146084,mean,0.0002818126231431,0.0001794782913978,True
ALL_B_14-25_mrc2,ALL_B,inf,spline3-gscalar,spline3,scalar,anderson,1826957.7464657407,rand1,0.0002790843136608,0.0005221307669514,True
ALL_B_14-25_mrc2,ALL_B,inf,spline3-gvarying,spline3,varying,anderson,1828995.5190991112,rand0,0.0125594516284763,0.0030955474603263,True
ALL_B_14-25_mrc2,ALL_B,inf,spline4-goff,spline4,off,anderson,1822830.7008413733,mean,0.0005061686970293,0.0001699079979878,True
ALL_B_14-25_mrc2,ALL_B,inf,spline4-gscalar,spline4,scalar,anderson,1827413.5893313987,rand1,0.0002743639051914,0.0001461084276802,True
ALL_B_14-25_mrc2,ALL_B,inf,spline4-gvarying,spline4,varying,anderson,1829505.563464729,rand1,0.0001971081364899,0.0003824032452449,True
ALL_B_14-25_mrc2,ALL_B,inf,spline5-goff,spline5,off,anderson,1822948.7359923911,rand1,0.0003875559195876,0.0001621423778367,True
ALL_B_14-25_mrc2,ALL_B,inf,spline5-gscalar,spline5,scalar,anderson,1827532.0626968036,rand1,0.0001783529296517,0.0001487129783721,True
