slug,slice,solver,nu,cand,basis,gamma_form,full_loglik,full_aic,full_bic,n_params,n_iter,converged,cv_logdens,cv_per_cell,heldout_rmse,n_test_total,n_orphan_total
ALL_B_14-25_mrc2,ALL_B,anderson,inf,poly2-gscalar,poly2,scalar,1826387.3599770688,-2846882.7199541377,2002199.924527062,402947,48,True,1041862.3400876888,0.8373147257373191,0.0812509377984307,1244290,0
ALL_B_14-25_mrc2,ALL_B,anderson,8.0,poly2-gscalar,poly2,scalar,1940697.5004065544,-3075503.0008131084,1773579.6436680914,402947,97,True,1148206.52229427,0.9227804790637796,0.0875297262804054,1244290,0
ALL_B_14-25_mrc2,ALL_B,anderson,inf,poly2-gvarying,poly2,varying,1827770.7094933009,-2849647.4189866013,1999447.2595702424,402948,40,True,1038189.7324346656,0.834363156848215,0.0812878738220754,1244290,0
ALL_B_14-25_mrc2,ALL_B,anderson,8.0,poly2-gvarying,poly2,varying,1940850.5486128568,-3075807.0972257145,1773287.5813311292,402948,159,True,1147636.1509265872,0.9223220880394338,0.0868370137049661,1244290,0
ALL_B_14-25_mrc2,ALL_B,anderson,inf,poly3-gscalar,poly3,scalar,1827000.543981901,-2848107.0879638023,2000987.5905930412,402948,52,True,1041819.7703087496,0.8372805136332764,0.0812275232899702,1244290,0
ALL_B_14-25_mrc2,ALL_B,anderson,8.0,poly3-gscalar,poly3,scalar,1941424.910334739,-3076955.820669478,1772138.857887366,402948,116,True,1148698.6678034407,0.9231760022208976,0.0874856121765672,1244290,0
ALL_B_14-25_mrc2,ALL_B,anderson,inf,poly3-gvarying,poly3,varying,1830785.411489841,-2855672.822979682,1993445.9237284493,402950,39,True,1040508.3919955528,0.8362265966901227,0.0811092859120359,1244290,0
ALL_B_14-25_mrc2,ALL_B,anderson,8.0,poly3-gvarying,poly3,varying,1943196.1917097813,-3080494.383419563,1768624.3632885683,402950,139,True,1152775.6379872723,0.9264525456182018,0.0832048555034962,1244290,0
ALL_B_14-25_mrc2,ALL_B,anderson,inf,spline3-gscalar,spline3,scalar,1826957.7461869367,-2848023.492373873,2001059.1521073263,402947,53,True,1041839.9761932858,0.8372967525201406,0.0812286692555061,1244290,0
ALL_B_14-25_mrc2,ALL_B,anderson,8.0,spline3-gscalar,spline3,scalar,1941369.1499865877,-3076846.299973175,1772236.3445080249,402947,131,True,1148447.744927384,0.9229743427395414,0.0875011837676129,1244290,0
