slug,slice,nu,cand,basis,gamma_form,solver,init,seed,loglik,aic,bic,n_params,n_iter,converged,wall_s
ALL_B_14-25_mrc2,ALL_B,inf,poly2-goff,poly2,off,anderson,mean,,1821714.3410167815,-2837538.6820335635,2011531.9283719924,402946,49,True,14.665584600064903
ALL_B_14-25_mrc2,ALL_B,inf,poly2-goff,poly2,off,anderson,rand0,0.0,1821714.341041834,-2837538.682083668,2011531.928321888,402946,49,True,13.179547799983991
ALL_B_14-25_mrc2,ALL_B,inf,poly2-goff,poly2,off,anderson,rand1,1.0,1821714.340984364,-2837538.681968727,2011531.9284368288,402946,51,True,13.839213999919592
ALL_B_14-25_mrc2,ALL_B,inf,poly2-gscalar,poly2,scalar,anderson,mean,,1826387.3599770688,-2846882.7199541377,2002199.924527062,402947,48,True,15.433963900082745
ALL_B_14-25_mrc2,ALL_B,inf,poly2-gscalar,poly2,scalar,anderson,rand0,0.0,1826387.359935769,-2846882.7198715387,2002199.924609661,402947,41,True,12.22941760008689
ALL_B_14-25_mrc2,ALL_B,inf,poly2-gscalar,poly2,scalar,anderson,rand1,1.0,1826387.358237532,-2846882.716475064,2002199.928006136,402947,69,True,20.057850799988955
ALL_B_14-25_mrc2,ALL_B,inf,poly2-gvarying,poly2,varying,anderson,mean,,1827770.7094933009,-2849647.4189866013,1999447.2595702424,402948,40,True,13.649321499979123
ALL_B_14-25_mrc2,ALL_B,inf,poly2-gvarying,poly2,varying,anderson,rand0,0.0,1827770.719029256,-2849647.438058512,1999447.240498332,402948,48,True,16.12650000001304
ALL_B_14-25_mrc2,ALL_B,inf,poly2-gvarying,poly2,varying,anderson,rand1,1.0,1827770.7185281436,-2849647.4370562867,1999447.241500557,402948,57,True,17.31725089997053
ALL_B_14-25_mrc2,ALL_B,inf,poly3-goff,poly3,off,anderson,mean,,1822377.4132846976,-2838862.826569395,2010219.817911805,402947,47,True,14.005391899961978
ALL_B_14-25_mrc2,ALL_B,inf,poly3-goff,poly3,off,anderson,rand0,0.0,1822377.4128251337,-2838862.825650268,2010219.8188309325,402947,49,True,14.05412639991846
ALL_B_14-25_mrc2,ALL_B,inf,poly3-goff,poly3,off,anderson,rand1,1.0,1822377.413231878,-2838862.826463756,2010219.818017444,402947,49,True,14.391895600012504
ALL_B_14-25_mrc2,ALL_B,inf,poly3-gscalar,poly3,scalar,anderson,mean,,1827000.543981901,-2848107.0879638023,2000987.5905930412,402948,52,True,16.29328290000558
ALL_B_14-25_mrc2,ALL_B,inf,poly3-gscalar,poly3,scalar,anderson,rand0,0.0,1827000.5439625937,-2848107.087925188,2000987.5906316563,402948,47,True,14.509307299973443
ALL_B_14-25_mrc2,ALL_B,inf,poly3-gscalar,poly3,scalar,anderson,rand1,1.0,1827000.5441922736,-2848107.088384548,2000987.590172296,402948,49,True,14.919214299996383
ALL_B_14-25_mrc2,ALL_B,inf,poly3-gvarying,poly3,varying,anderson,mean,,1830785.411489841,-2855672.822979682,1993445.9237284493,402950,39,True,13.44391779997386
ALL_B_14-25_mrc2,ALL_B,inf,poly3-gvarying,poly3,varying,anderson,rand0,0.0,1830785.422306561,-2855672.844613122,1993445.9020950096,402950,50,True,18.96957529999781
ALL_B_14-25_mrc2,ALL_B,inf,poly3-gvarying,poly3,varying,anderson,rand1,1.0,1830785.410320384,-2855672.820640768,1993445.9260673637,402950,39,True,14.163572299992666
ALL_B_14-25_mrc2,ALL_B,inf,poly4-goff,poly4,off,anderson,mean,,1822796.834583949,-2839699.669167898,2009395.0093889453,402948,46,True,14.366676600067876
ALL_B_14-25_mrc2,ALL_B,inf,poly4-goff,poly4,off,anderson,rand0,0.0,1822796.83409244,-2839699.6681848792,2009395.0103719644,402948,47,True,13.861298099975102
ALL_B_14-25_mrc2,ALL_B,inf,poly4-goff,poly4,off,anderson,rand1,1.0,1822796.83460076,-2839699.66920152,2009395.009355324,402948,46,True,13.44267120002769
ALL_B_14-25_mrc2,ALL_B,inf,poly4-gscalar,poly4,scalar,anderson,mean,,1827383.3701466904,-2848870.740293381,2000235.9723391067,402949,50,True,15.872598499991
