slug,mrc,nu,cell,loglik,rss,aic,bic,n_params
Po10_W_14-25_mrc2,2,8.0,baseline,93716.46872638245,224.31322127761229,-151670.9374527649,9855.082993442193,17882.0
Po10_W_14-25_mrc2,2,8.0,aging,95768.2728603637,213.4748836978559,-155762.5457207274,5817.675056707114,17888.0
Po10_W_14-25_mrc2,2,8.0,drift,104871.2642646052,158.56745885582654,-161189.8439608249,58107.78817136245,27010.0
Po10_W_14-25_mrc2,2,8.0,full,106024.3980429749,156.28697498295008,-163812.90770876905,54053.852882178326,27016.0
Po10_W_14-25_mrc5,5,8.0,baseline,35590.501323503464,110.34814839127984,-63937.00264700693,-34456.84963629453,3623.0
Po10_W_14-25_mrc5,5,8.0,aging,36808.02350891208,102.50374115251464,-66360.04701782417,-36831.0588557964,3629.0
Po10_W_14-25_mrc5,5,8.0,drift,41457.355581601085,71.58818285047712,-69975.3793915563,-17317.52730921333,7081.0
Po10_W_14-25_mrc5,5,8.0,full,41593.63863722354,71.6898412025446,-70579.78710020275,-19272.39623634635,7087.0
Po10_M_14-25_mrc2,2,8.0,baseline,164759.45668402727,618.1659667234985,-264970.91336805455,48339.72557818628,32275.0
Po10_M_14-25_mrc2,2,8.0,aging,169519.56969060304,583.1099997001652,-274479.13938120607,38889.7465698584,32281.0
Po10_M_14-25_mrc2,2,8.0,drift,186075.657283339,447.8770987850585,-282816.224352174,150808.89486803935,50434.0
Po10_M_14-25_mrc2,2,8.0,full,188468.3334629941,441.1551209719478,-288648.05362009874,139897.55347145826,50440.0
Po10_M_14-25_mrc5,5,8.0,baseline,73637.49065117358,338.5769010467703,-131660.98130234715,-61682.9555124293,7808.0
Po10_M_14-25_mrc5,5,8.0,aging,76716.73215392994,310.40058177199546,-137807.4643078599,-67775.6575323215,7814.0
Po10_M_14-25_mrc5,5,8.0,drift,86478.02887153727,226.0717907821785,-144915.01061347185,-19242.08124164908,15401.0
Po10_M_14-25_mrc5,5,8.0,full,86880.10834369116,225.5436162553571,-146640.17606939125,-25094.96652735208,15407.0
Po10_B_14-25_mrc2,2,8.0,baseline,259356.79167420603,848.0467702677381,-418443.58334841207,89179.45123363403,50136.0
Po10_B_14-25_mrc2,2,8.0,aging,266173.7284364969,802.3913617167684,-432065.45687299385,75618.32844621176,50142.0
Po10_B_14-25_mrc2,2,8.0,drift,292011.3906317639,611.240736472698,-446020.43808375887,252624.9017421835,77555.0
Po10_B_14-25_mrc2,2,8.0,full,295579.7623516134,601.6870965756344,-454491.81142824393,237396.8825184576,77561.0
Po10_B_14-25_mrc5,5,8.0,baseline,111487.5432350373,458.8928697106143,-200009.0864700746,-92655.13212459473,11484.0
Po10_B_14-25_mrc5,5,8.0,aging,115870.58005812744,422.21911444274485,-208763.16011625488,-101353.11209089406,11490.0
Po10_B_14-25_mrc5,5,8.0,drift,130556.54574941742,304.5867803220349,-219719.82826067906,-26228.123484949465,22733.0
Po10_B_14-25_mrc5,5,8.0,full,131092.85371947504,304.0271326173131,-222091.62720204197,-34672.91870787504,22739.0
ALL_W_14-25_mrc2,2,8.0,baseline,601485.3371838825,1176.990346394799,-952998.674367765,403178.91868155333,124987.0
ALL_W_14-25_mrc2,2,8.0,aging,608935.6039355556,1232.3701136074196,-967887.2078711111,388355.48899430083,124993.0
ALL_W_14-25_mrc2,2,8.0,drift,662342.8534255491,847.6921915391988,-1003601.6616552529,738381.3907675785,176062.0
ALL_W_14-25_mrc2,2,8.0,full,665864.1124643849,926.2129102964418,-1012084.375072126,722085.1596421648,176068.0
ALL_W_14-25_mrc5,5,8.0,baseline,181453.73860301034,570.0382586135252,-321785.4772060207,-120575.81568356193,20562.0
ALL_W_14-25_mrc5,5,8.0,aging,184659.28671858346,587.8495029333394,-328184.5734371669,-126916.19599772288,20568.0
ALL_W_14-25_mrc5,5,8.0,drift,209510.4997404204,367.758091302209,-346241.8601255397,9865.965261746489,40830.0
ALL_W_14-25_mrc5,5,8.0,full,209663.18438557695,409.33145811219396,-347656.3232459144,3024.713703471527,40836.0
ALL_M_14-25_mrc2,2,8.0,baseline,1314520.1910110146,3061.7439775115968,-2072548.3820220293,1174096.4525352782,278247.0
ALL_M_14-25_mrc2,2,8.0,aging,1336858.660743388,3331.6614974098175,-2117213.321486776,1129501.52259091,278253.0
ALL_M_14-25_mrc2,2,8.0,drift,1456141.226518132,2199.6104484307425,-2189416.592539985,2027874.42342802,399270.0
ALL_M_14-25_mrc2,2,8.0,full,1464680.9462492592,2525.346328974434,-2211895.0450818916,1973897.4445339646,399276.0
ALL_M_14-25_mrc5,5,8.0,baseline,388643.27090485964,1570.5863252249549,-684880.5418097193,-194612.29905304033,46204.0
ALL_M_14-25_mrc5,5,8.0,aging,399284.9642947883,1499.4516240092705,-706151.9285895766,-215820.01876676467,46210.0
ALL_M_14-25_mrc5,5,8.0,drift,452158.3730518119,1023.914321122047,-740374.537602159,129435.4149513793,92081.0
ALL_M_14-25_mrc5,5,8.0,full,453220.9622351783,1048.2526928876382,-746178.2031027956,104115.20914879057,92087.0
ALL_B_14-25_mrc2,2,8.0,baseline,1914943.036368348,4245.685416709173,-3024000.072736696,1825046.4695175714,402944.0
ALL_B_14-25_mrc2,2,8.0,aging,1944506.7218095232,4543.907616304785,-3083115.4436190464,1766003.303089085,402950.0
ALL_B_14-25_mrc2,2,8.0,drift,2117474.554655126,3051.8449639270175,-3191579.3309480697,3086416.087832926,575072.0
ALL_B_14-25_mrc2,2,8.0,full,2129447.9811959825,3431.029659070814,-3222270.1278596725,3015146.725827149,575078.0
ALL_B_14-25_mrc5,5,8.0,baseline,570759.088821383,2147.927707217831,-1008318.1776427659,-277265.5391357329,66601.0
ALL_B_14-25_mrc5,5,8.0,aging,584515.4985458117,2107.235271474947,-1035818.9970916235,-304700.4979865268,66607.0
ALL_B_14-25_mrc5,5,8.0,drift,662395.524946587,1397.1822695726933,-1088254.7095874697,209947.36010684422,132873.0
ALL_B_14-25_mrc5,5,8.0,full,663556.1257781025,1478.8385243224725,-1095355.2698182694,176615.84873987013,132879.0
WA_M_14-25_mrc2,2,8.0,baseline,41379.806973429775,38.40853303384969,-71627.61394685955,-27572.058048620907,5567.0
WA_M_14-25_mrc2,2,8.0,aging,41884.181435270235,36.96307320268727,-72624.36287054047,-28521.316254481237,5573.0
WA_M_14-25_mrc2,2,8.0,drift,45521.98839343427,28.32041034901945,-75386.89157637024,-13423.040274304702,8697.0
WA_M_14-25_mrc2,2,8.0,full,45987.703821082585,27.733032548206168,-76317.85878675048,-14352.172582193889,8703.0
WA_M_14-25_mrc5,5,8.0,baseline,14008.427640660113,25.655597153280276,-25530.855281320226,-16841.27190545266,1244.0
WA_M_14-25_mrc5,5,8.0,aging,14312.778573056288,24.266075900686705,-26127.557146112576,-17396.028878647907,1250.0
WA_M_14-25_mrc5,5,8.0,drift,15849.177789503112,18.847876462016465,-27344.9339667951,-12127.950833403167,2369.0
WA_M_14-25_mrc5,5,8.0,full,15915.649515148072,18.66167941951508,-27563.85414190203,-12647.394705208339,2375.0
WA_W_14-25_mrc2,2,8.0,baseline,23774.428939134137,29.091359849495202,-40388.857878268274,-13705.811253865191,3581.0
WA_W_14-25_mrc2,2,8.0,aging,24231.366030764944,27.286665861258626,-41290.73206152989,-14562.965247253509,3587.0
WA_W_14-25_mrc2,2,8.0,drift,26847.024290777794,19.458691262464814,-43576.78793170948,-5872.969826809705,5575.0
WA_W_14-25_mrc2,2,8.0,full,27122.270464183108,18.965256002496808,-44151.217305689,-6536.604900788836,5581.0
WA_W_14-25_mrc5,5,8.0,baseline,6854.50951977611,17.22519475986745,-12281.01903955222,-7712.39375287366,715.0
WA_W_14-25_mrc5,5,8.0,aging,7071.516282559108,15.8950424021556,-12703.032565118216,-8096.015469307902,721.0
WA_W_14-25_mrc5,5,8.0,drift,8046.6280972711165,11.232217263177377,-13585.490788555118,-5562.35322073267,1362.0
WA_W_14-25_mrc5,5,8.0,full,8050.155141778573,11.210074318315971,-13634.966573561112,-5747.549477033233,1368.0
